Messstelle:                ;Muhr
HZB-Nummer:                ;203745
HD-Nummer:                 ;
DBMS-Nummer:               ;5001069
Gewässer:                  ;Mur
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Salzburg AG für Energie, Verkehr und Telekommunikation
orogr.Einzugsgebiet [km²]: ;75,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;01137,50
   01.01.1992              ;01119,67
   10.04.2008              ;01119,83
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.11.1950              ;460735,00 - 218670,00
   01.01.1992              ;461780,00 - 218210,00
   10.04.2010              ;461742,00 - 218224,70
Exportzeitreihe:           ;(5001069,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[22.01.1961 12:00,01.01.2022 00:00]
Werte:
08.03.1983 02:30:00; 0,594
18.04.1983 05:00:00; 0,719
14.05.1983 13:30:00;  1,44
24.06.1983 12:00:00;  3,41
29.07.1983 00:30:00;  1,24
30.08.1983 06:30:00; 0,899
02.09.1983 00:00:00;  1,18
26.10.1983 04:30:00; 0,857
30.11.1983 23:59:55; 0,399
17.12.1983 18:30:00; 0,361
23.01.1984 04:30:00; 0,522
17.02.1984 14:15:00; 0,448
28.03.1984 09:00:00; 0,343
08.04.1984 12:30:00; 0,411
02.05.1984 07:00:00; 0,544
13.06.1984 09:00:00;  2,59
22.07.1984 10:45:00;  1,67
23.08.1984 14:45:00; 0,966
15.09.1984 05:15:00;  1,35
21.10.1984 21:30:00; 0,934
08.11.1984 15:15:00; 0,517
03.12.1984 09:45:00; 0,533
18.01.1985 01:45:00; 0,385
19.02.1985 02:30:00; 0,426
04.03.1985 02:15:00; 0,342
01.04.1985 07:15:00; 0,594
06.05.1985 07:30:00; 0,594
23.06.1985 16:00:00;  1,86
15.07.1985 18:45:00;  1,94
03.08.1985 23:45:00;  1,36
26.09.1985 20:30:00;  1,13
31.10.1985 14:00:00; 0,570
24.11.1985 12:45:00; 0,522
02.12.1985 12:00:00; 0,594
01.01.1986 18:15:00; 0,564
22.02.1986 20:15:00; 0,472
31.03.1986 00:15:00; 0,499
07.04.1986 06:45:00; 0,522
11.05.1986 18:15:00;  3,01
10.06.1986 00:15:00;  1,86
19.07.1986 16:00:00;  1,16
10.08.1986 17:00:00; 0,934
30.09.1986 00:10:00;  1,04
01.10.1986 14:15:00; 0,611
16.11.1986 10:45:00; 0,583
14.12.1986 12:15:00; 0,486
06.01.1987 19:45:00; 0,420
13.02.1987 15:45:00; 0,377
08.03.1987 08:30:00; 0,377
17.04.1987 13:45:00; 0,339
09.05.1987 21:00:00;  1,41
01.06.1987 14:45:00;  1,84
28.07.1987 15:15:00;  1,98
22.08.1987 11:45:00;  1,65
26.09.1987 13:15:00;  1,41
19.10.1987 08:15:00;  1,03
17.11.1987 09:45:00; 0,646
04.12.1987 15:00:00; 0,710
25.01.1988 00:00:00; 0,858
23.02.1988 14:00:00; 0,380
29.03.1988 17:00:00; 0,426
07.04.1988 09:30:00; 0,426
10.05.1988 05:45:00;  2,28
22.06.1988 14:00:00;  3,56
21.07.1988 20:30:00;  3,32
18.08.1988 19:00:00;  2,10
10.09.1988 01:45:00;  1,17
30.10.1988 03:00:00;  1,29
16.11.1988 21:45:00; 0,817
14.12.1988 12:30:00; 0,744
24.01.1989 13:15:00; 0,486
03.02.1989 14:15:00; 0,486
23.03.1989 13:45:00; 0,594
18.04.1989 23:30:00; 0,979
05.05.1989 11:15:00;  1,08
09.06.1989 19:45:00;  3,63
22.07.1989 02:15:00;  3,79
31.08.1989 10:30:00;  1,94
27.09.1989 11:00:00;  1,08
30.10.1989 12:45:00; 0,863
14.11.1989 14:00:00; 0,778
31.12.1989 04:00:00; 0,573
01.01.1990 00:00:05; 0,573
01.02.1990 11:30:00; 0,523
10.03.1990 00:00:00; 0,573
01.04.1990 00:00:00; 0,783
01.05.1990 00:00:00;  1,06
12.06.1990 00:10:00;  1,65
29.07.1990 11:00:00;  1,94
27.08.1990 09:15:00;  1,69
29.09.1990 01:15:00;  1,41
30.10.1990 00:00:00; 0,778
16.11.1990 07:15:00; 0,778
31.12.1990 12:30:00; 0,863
23.01.1991 14:45:00; 0,362
01.02.1991 21:45:00; 0,477
01.03.1991 00:00:00; 0,681
25.04.1991 09:15:00; 0,561
