Messstelle:                ;Böheimkirchen
HZB-Nummer:                ;209486
HD-Nummer:                 ;no300
DBMS-Nummer:               ;3001164
Gewässer:                  ;Perschling
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;55,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1982              ;00230,50
   01.01.2016              ;00230,53
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   31.12.1981              ;707430,70 - 339772,40
   01.01.2015              ;707426,00 - 339799,00
Exportzeitreihe:           ;(3001164,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1982 01:00,01.01.2022 00:00]
Werte:
26.01.2010 21:18:35; 0,158
17.02.2010 03:43:55; 0,178
31.03.2010 07:52:30; 0,287
05.04.2010 04:37:45; 0,280
01.05.2010 15:38:15; 0,333
12.06.2010 18:24:20; 0,619
15.07.2010 22:16:40; 0,257
23.08.2010 17:52:15; 0,422
25.09.2010 16:53:55; 0,202
09.10.2010 11:23:30; 0,197
14.11.2010 11:51:10; 0,164
29.12.2010 04:37:30; 0,145
06.01.2011 04:28:30; 0,125
25.02.2011 02:58:55; 0,136
08.03.2011 06:43:10; 0,111
28.04.2011 11:55:25; 0,151
26.05.2011 15:28:40; 0,093
22.06.2011 17:37:10; 0,108
21.07.2011 01:38:25; 0,080
25.08.2011 09:42:20; 0,093
26.09.2011 11:17:05; 0,091
06.10.2011 00:20:35; 0,067
30.11.2011 23:59:55; 0,094
01.12.2011 08:24:30; 0,093
02.01.2012 11:52:25; 0,117
11.02.2012 07:33:20; 0,159
28.03.2012 06:03:00; 0,129
12.04.2012 04:08:20; 0,143
28.05.2012 15:44:35; 0,104
08.06.2012 23:31:50; 0,106
02.07.2012 10:30:00; 0,134
31.08.2012 12:16:00; 0,080
12.09.2012 07:15:00; 0,051
05.10.2012 21:21:30; 0,093
30.11.2012 23:59:55; 0,120
09.12.2012 06:00:30; 0,058
27.01.2013 07:22:10; 0,213
13.02.2013 14:56:15; 0,422
28.03.2013 10:44:15; 0,374
30.04.2013 23:59:55; 0,457
29.05.2013 21:33:45; 0,295
22.06.2013 19:40:35; 0,395
28.07.2013 20:05:00; 0,252
08.08.2013 19:10:00; 0,188
13.09.2013 15:10:00; 0,204
31.10.2013 23:59:55; 0,187
10.11.2013 11:40:00; 0,179
31.12.2013 23:59:55; 0,189
21.01.2014 06:05:00; 0,160
04.02.2014 15:15:00; 0,169
31.03.2014 22:40:00; 0,146
30.04.2014 23:59:55; 0,133
02.05.2014 23:20:00; 0,122
29.06.2014 23:15:00; 0,171
20.07.2014 21:15:00; 0,133
19.08.2014 02:45:00; 0,161
01.09.2014 01:25:00; 0,262
17.10.2014 10:30:00; 0,297
30.11.2014 23:59:55; 0,256
05.12.2014 10:45:00; 0,222
01.01.2015 00:00:00; 0,249
09.02.2015 19:55:00; 0,194
30.03.2015 18:05:00; 0,402
30.04.2015 23:59:55; 0,264
19.05.2015 10:40:00; 0,186
18.06.2015 18:40:00; 0,188
19.07.2015 23:30:00; 0,098
15.08.2015 00:30:00; 0,061
30.09.2015 23:59:55; 0,078
03.10.2015 17:30:00; 0,077
14.11.2015 10:30:00; 0,152
31.12.2015 23:59:55; 0,144
22.01.2016 03:40:00; 0,079
17.02.2016 08:05:05; 0,249
02.03.2016 02:25:00; 0,385
30.04.2016 23:59:55; 0,273
01.05.2016 19:10:00; 0,262
20.06.2016 00:10:00; 0,237
12.07.2016 03:35:00; 0,216
31.08.2016 23:59:55; 0,238
30.09.2016 23:59:55; 0,157
02.10.2016 20:55:00; 0,156
06.11.2016 04:00:00; 0,470
27.12.2016 11:35:00; 0,322
27.01.2017 06:45:00; 0,173
01.02.2017 03:45:00; 0,162
31.03.2017 03:30:20; 0,280
17.04.2017 17:30:00; 0,258
20.05.2017 04:30:00; 0,220
30.06.2017 23:59:55; 0,118
12.07.2017 16:30:00; 0,091
26.08.2017 11:40:00; 0,084
01.09.2017 03:55:00; 0,088
19.10.2017 21:00:10; 0,137
05.11.2017 18:35:00; 0,152
19.12.2017 15:45:00; 0,153
15.01.2018 19:35:00; 0,273
28.02.2018 23:55:00; 0,188
01.03.2018 00:30:00; 0,176
30.04.2018 13:30:00; 0,141
14.05.2018 11:25:00; 0,107
21.06.2018 22:15:00; 0,072
31.07.2018 23:30:00; 0,084
23.08.2018 14:50:00; 0,052
21.09.2018 05:35:00; 0,061
17.10.2018 04:10:00; 0,046
13.11.2018 05:20:00; 0,046
01.12.2018 17:55:00; 0,100
04.01.2019 15:10:00; 0,226
01.02.2019 14:40:00; 0,227
09.03.2019 08:20:00; 0,183
27.04.2019 10:40:00; 0,102
03.05.2019 01:40:00; 0,217
30.06.2019 06:05:00; 0,140
24.07.2019 13:30:00; 0,074
26.08.2019 18:30:00; 0,057
22.09.2019 00:40:00; 0,045
01.10.2019 00:00:00; 0,057
05.11.2019 00:25:00; 0,067
19.12.2019 04:50:00; 0,070
14.01.2020 01:20:00; 0,087
29.02.2020 10:55:00; 0,125
31.03.2020 11:30:00; 0,110
26.04.2020 03:20:00; 0,074
21.05.2020 23:55:50; 0,057
09.06.2020 11:15:00; 0,143
16.07.2020 04:20:00; 0,154
02.08.2020 23:05:00; 0,346
24.09.2020 23:15:00; 0,337
10.10.2020 05:25:00; 0,303
30.11.2020 23:59:55; 0,241
09.12.2020 19:10:00; 0,221
11.01.2021 14:10:00; 0,196
15.02.2021 03:45:00; 0,230
15.03.2021 09:25:00; 0,290
12.04.2021 08:05:00; 0,252
31.05.2021 05:47:10; 0,197
30.06.2021 17:05:00; 0,112
17.07.2021 06:45:15; 0,088
16.08.2021 05:30:00; 0,187
26.09.2021 01:15:00; 0,108
02.10.2021 06:25:00; 0,108
22.11.2021 01:25:00; 0,102
12.12.2021 15:35:00; 0,196
