Messstelle:                ;Roßleithen (Klammstein)
HZB-Nummer:                ;206821
HD-Nummer:                 ;8460
DBMS-Nummer:               ;4001223
Gewässer:                  ;Hinterer Rettenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;15,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1991              ;00590,00
   10.11.1992              ;00593,60
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1990              ;523065,00 - 290890,00
   01.01.2018              ;523078,07 - 290908,33
Exportzeitreihe:           ;(4001223,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1991 00:15,01.01.2022 00:00]
Werte:
21.06.2007 14:30:00; 0,283
28.07.2007 21:30:00; 0,160
28.08.2007 17:00:00; 0,200
30.09.2007 23:59:55; 0,259
13.10.2007 12:15:00; 0,178
19.11.2007 11:30:00; 0,387
31.12.2007 23:59:55; 0,286
05.01.2008 16:15:00; 0,248
19.02.2008 07:15:00; 0,189
26.03.2008 21:30:00; 0,280
08.04.2008 10:45:00; 0,429
24.05.2008 12:15:00;  1,28
17.06.2008 13:00:00; 0,474
12.07.2008 16:00:00; 0,340
31.08.2008 23:59:55; 0,190
13.09.2008 00:30:00; 0,139
31.10.2008 23:59:55; 0,128
13.11.2008 03:00:00; 0,067
30.12.2008 21:45:00; 0,185
31.01.2009 23:59:55; 0,107
02.02.2009 04:15:00; 0,099
22.03.2009 12:30:00; 0,275
01.04.2009 00:00:00; 0,824
28.05.2009 21:30:00; 0,733
18.06.2009 11:00:00; 0,584
31.07.2009 23:59:55; 0,256
26.08.2009 16:45:00; 0,204
30.09.2009 23:59:55; 0,127
08.10.2009 21:30:00; 0,084
30.11.2009 17:45:00; 0,223
22.12.2009 05:30:00; 0,131
31.01.2010 23:59:55; 0,066
05.02.2010 11:00:00; 0,059
16.03.2010 17:30:00; 0,100
13.04.2010 15:15:00; 0,380
08.05.2010 12:45:00; 0,671
30.06.2010 14:30:00; 0,351
17.07.2010 16:30:00; 0,248
24.08.2010 01:00:00; 0,196
23.09.2010 18:15:00; 0,181
20.10.2010 22:24:00; 0,102
30.11.2010 23:59:55; 0,117
07.12.2010 03:30:00; 0,084
07.01.2011 22:30:00; 0,161
28.02.2011 08:15:00; 0,154
04.03.2011 18:45:00; 0,156
27.04.2011 17:00:00; 0,440
06.05.2011 15:15:00; 0,296
18.06.2011 16:30:00; 0,232
20.07.2011 19:15:00; 0,143
27.08.2011 13:45:00; 0,163
05.09.2011 11:30:00; 0,110
07.10.2011 01:15:00; 0,088
30.11.2011 23:59:55; 0,003
01.12.2011 18:45:00; 0,001
01.01.2012 00:00:00; 0,171
22.02.2012 16:45:00; 0,152
10.03.2012 13:45:00; 0,509
10.04.2012 12:45:00; 0,631
18.05.2012 12:00:00; 0,516
30.06.2012 13:45:00; 0,468
04.07.2012 04:00:00; 0,404
22.08.2012 23:00:00; 0,121
11.09.2012 23:00:00; 0,223
30.10.2012 18:15:00; 0,135
30.11.2012 23:59:55; 0,107
07.12.2012 15:45:00; 0,074
29.01.2013 17:15:00; 0,208
25.02.2013 09:15:00; 0,194
28.03.2013 15:00:00; 0,239
04.04.2013 16:15:00; 0,345
