Messstelle:                ;Klausenleopoldsdorf
HZB-Nummer:                ;209478
HD-Nummer:                 ;no400
DBMS-Nummer:               ;3001163
Gewässer:                  ;Schwechat
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;56,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1982              ;00369,53
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1982              ;726477,00 - 327740,00
Exportzeitreihe:           ;(3001163,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1982 01:00,01.01.2022 00:00]
Werte:
28.06.2018 08:45:00;   194
06.07.2018 21:45:00;   194
26.08.2018 09:10:00;   128
03.09.2018 19:30:00;   155
28.10.2018 13:45:00;   138
26.11.2018 17:55:00;   146
24.12.2018 09:20:00;   231
14.01.2019 09:45:00;   175
22.02.2019 11:10:00;   176
16.03.2019 11:10:00;   221
30.04.2019 19:40:00;   189
06.05.2019 07:20:00;   199
01.06.2019 00:00:00;   147
01.07.2019 22:25:00;   138
13.08.2019 02:00:00;   123
09.09.2019 03:05:00;   144
03.10.2019 02:25:00;   125
13.11.2019 20:25:00;   129
23.12.2019 12:50:00;   151
31.01.2020 16:25:00;   144
03.02.2020 14:30:00;   166
06.03.2020 16:00:00;   134
14.04.2020 09:00:00;   123
26.05.2020 19:50:00;   192
21.06.2020 08:10:00;   300
18.07.2020 14:50:00;   159
05.08.2020 16:25:00;   144
01.09.2020 20:35:00;   174
14.10.2020 00:05:00;   219
02.11.2020 09:20:00;   146
24.12.2020 11:25:00;   134
29.01.2021 07:45:00;   200
01.02.2021 00:15:00;   148
24.03.2021 20:15:00;   145
17.04.2021 20:05:00;   148
23.05.2021 16:40:00;   137
06.06.2021 13:50:00;   130
17.07.2021 23:30:00;   188
16.08.2021 23:30:00;   148
17.09.2021 11:10:00;   122
07.10.2021 10:45:00;   134
02.11.2021 09:25:00;   132
14.12.2021 08:20:00;   147
