Messstelle:                ;Friedburg
HZB-Nummer:                ;204636
HD-Nummer:                 ;2220
DBMS-Nummer:               ;4001013
Gewässer:                  ;Schwemmbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;82,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1965              ;00505,00
   01.01.1989              ;00507,72
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1965              ;443585,00 - 319840,00
   20.07.2009              ;443597,00 - 319813,00
   24.03.2020              ;443595,25 - 319806,27
Exportzeitreihe:           ;(4001013,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
22.03.1996 22:15:00;    44
12.04.1996 19:45:00;    49
14.05.1996 16:15:00;    94
01.06.1996 23:15:00;    63
09.07.1996 01:30:00;    65
24.08.1996 20:30:00;    68
14.09.1996 18:45:00;    81
21.10.1996 20:30:00;   117
01.11.1996 19:15:00;    60
02.12.1996 19:45:00;    38
01.01.1997 19:30:00;    30
15.02.1997 12:30:00;    56
17.03.1997 20:15:00;    62
06.04.1997 01:00:00;    63
08.05.1997 19:45:00;    59
20.06.1997 03:30:00;    71
06.07.1997 06:15:00;   149
01.08.1997 16:15:00;    56
07.09.1997 03:15:00;    59
01.10.1997 23:00:00;    65
30.11.1997 19:30:00;    54
12.12.1997 07:30:00;    92
07.01.1998 09:45:00;    40
17.02.1998 15:15:00;    42
17.03.1998 16:00:00;   129
16.04.1998 18:45:00;    45
22.05.1998 03:30:00;    40
13.06.1998 05:30:00;    70
11.07.1998 11:30:00;    51
23.08.1998 04:00:00;    40
18.09.1998 14:15:00;    64
29.10.1998 20:45:00;    56
10.11.1998 23:00:00;    81
15.12.1998 00:00:00;    58
08.01.1999 13:55:25;    62
20.02.1999 19:02:15;   133
02.03.1999 13:05:40;    81
04.04.1999 23:52:30;    63
21.05.1999 09:11:05;    79
17.06.1999 15:42:40;    37
10.07.1999 15:47:40;    44
29.08.1999 23:52:55;    37
01.09.1999 01:11:10;    33
01.10.1999 01:02:30;    30
10.11.1999 03:38:45;    36
19.12.1999 08:35:05;    68
31.01.2000 03:35:55;    68
09.02.2000 05:05:15;    73
17.03.2000 18:47:35;   101
01.04.2000 00:00:00;    58
31.05.2000 14:59:45;    52
15.06.2000 18:32:30;    46
14.07.2000 14:55:20;    46
07.08.2000 09:53:10;    65
21.09.2000 06:03:20;    77
03.10.2000 12:06:30;    73
05.11.2000 06:37:10;    31
15.12.2000 18:18:15;    35
27.01.2001 13:59:30;    31
04.02.2001 15:30:05;    49
13.03.2001 09:51:30;    64
08.04.2001 16:00:15;    51
16.05.2001 02:28:50;    41
11.06.2001 09:28:00;    81
20.07.2001 19:12:00;    55
10.08.2001 12:02:00;    53
12.09.2001 20:21:20;   103
24.10.2001 18:52:30;    39
26.11.2001 15:32:20;    51
07.12.2001 00:38:00;    88
28.01.2002 03:05:20;    78
25.02.2002 20:41:55;    69
22.03.2002 20:05:20;   120
24.04.2002 21:04:30;    48
28.05.2002 19:44:55;    48
07.06.2002 19:46:45;    79
17.07.2002 06:59:35;   148
12.08.2002 11:28:55;   195
27.09.2002 16:04:15;    85
18.10.2002 14:11:00;    60
10.11.2002 00:07:35;    76
22.12.2002 23:31:35;    79
02.01.2003 21:33:10;    78
01.02.2003 00:00:00;    38
12.03.2003 18:21:35;    69
02.04.2003 19:41:25;    40
14.05.2003 07:15:45;    40
18.06.2003 21:29:45;    43
29.07.2003 01:18:30;    39
18.08.2003 20:51:00;    38
12.09.2003 11:03:25;    51
05.10.2003 12:46:30;    64
17.11.2003 18:46:20;    30
14.12.2003 20:42:15;    32
14.01.2004 10:51:10;    70
07.02.2004 22:03:45;    45
21.03.2004 19:27:50;    62
12.04.2004 05:29:45;    52
16.05.2004 18:25:05;    53
03.06.2004 17:53:00;    90
24.07.2004 23:44:40;    55
26.08.2004 08:32:15;    54
29.09.2004 17:45:40;    52
09.10.2004 07:51:35;    73
23.11.2004 21:21:00;    44
24.12.2004 17:41:35;    29
06.01.2005 17:54:50;    44
12.02.2005 18:50:10;    75
19.03.2005 23:23:25;   100
26.04.2005 08:30:00;    97
18.05.2005 18:30:00;    55
16.06.2005 11:45:00;    44
10.07.2005 11:30:00;    79
16.08.2005 10:45:00;   114
03.09.2005 10:00:00;    53
02.10.2005 17:00:00;    43
17.11.2005 08:30:00;    31
16.12.2005 20:30:00;    39
01.01.2006 21:07:40;    41
17.02.2006 12:49:20;    56
29.03.2006 05:45:40;   110
01.04.2006 00:00:00;    87
28.05.2006 23:21:45;    71
01.06.2006 23:44:45;    88
06.07.2006 19:40:30;    80
07.08.2006 08:40:30;   148
19.09.2006 03:55:30;   109
04.10.2006 02:40:30;    46
12.11.2006 08:15:05;    56
10.12.2006 20:30:00;    38
19.01.2007 15:45:00;    77
28.02.2007 06:45:00;    57
03.03.2007 18:00:00;    61
02.04.2007 16:52:55;    35
09.05.2007 11:30:00;    98
01.06.2007 23:45:00;    58
10.07.2007 15:15:00;    56
12.08.2007 14:00:00;    37
07.09.2007 02:15:00;   119
25.10.2007 01:00:00;    36
11.11.2007 21:00:00;    82
08.12.2007 10:15:00;    56
22.01.2008 18:30:00;    42
29.02.2008 17:30:00;    43
14.03.2008 23:45:00;    83
22.04.2008 05:51:10;    56
19.05.2008 07:56:15;    36
23.06.2008 22:37:05;    58
12.07.2008 18:15:00;    68
16.08.2008 11:45:00;    56
13.09.2008 01:00:00;    54
17.10.2008 04:00:00;    33
21.11.2008 15:15:00;    81
21.12.2008 01:00:00;    85
24.01.2009 02:00:00;    30
28.02.2009 15:30:00;    44
13.03.2009 17:00:00;    86
02.04.2009 18:30:00;    93
06.05.2009 14:30:00;    51
24.06.2009 10:15:00;   138
18.07.2009 12:13:45;   103
04.08.2009 17:30:20;    58
05.09.2009 05:44:10;    57
17.10.2009 10:30:00;    53
03.11.2009 08:30:00;    51
11.12.2009 11:30:00;    63
02.01.2010 05:00:00;    37
27.02.2010 00:30:00;    38
22.03.2010 18:00:00;    59
14.04.2010 13:00:00;    46
14.05.2010 05:00:00;    64
03.06.2010 01:30:00;   140
24.07.2010 18:00:00;   111
07.08.2010 16:30:00;    91
01.09.2010 00:00:00;    45
25.10.2010 17:45:00;    51
12.11.2010 13:45:00;    47
09.12.2010 09:30:00;    36
13.01.2011 22:00:00;   154
12.02.2011 12:45:00;    54
18.03.2011 13:30:00;   104
04.04.2011 17:15:00;    48
27.05.2011 21:37:20;    56
23.06.2011 21:27:40;    51
21.07.2011 00:15:00;   121
04.08.2011 14:00:00;    66
05.09.2011 15:07:35;    65
13.10.2011 08:45:00;    78
08.11.2011 18:15:00;    32
07.12.2011 20:45:00;    55
22.01.2012 14:15:00;    93
29.02.2012 10:14:15;    64
01.03.2012 16:45:00;    56
17.04.2012 00:27:45;    44
06.05.2012 06:00:00;    37
20.06.2012 21:45:00;   185
05.07.2012 18:45:00;    40
31.08.2012 19:15:00;    46
13.09.2012 02:15:00;    59
09.10.2012 20:45:00;    35
05.11.2012 10:15:00;    51
23.12.2012 14:00:00;   111
05.01.2013 13:15:00;   142
02.02.2013 12:15:00;    99
09.03.2013 17:00:00;    50
10.04.2013 19:15:00;    46
31.05.2013 16:00:00;   113
02.06.2013 11:00:00;   215
01.07.2013 00:00:00;    54
29.08.2013 10:15:00;    62
19.09.2013 10:00:00;    87
12.10.2013 04:00:00;    50
24.11.2013 17:07:00;    84
10.12.2013 04:52:00;    48
10.01.2014 10:45:00;    35
16.02.2014 21:30:00;    34
24.03.2014 19:15:00;    35
10.04.2014 15:30:00;    32
28.05.2014 04:15:00;    81
30.06.2014 17:45:00;    47
09.07.2014 15:00:00;    52
04.08.2014 00:45:00;   137
13.09.2014 23:30:00;    88
23.10.2014 07:30:00;   122
18.11.2014 21:30:00;    40
19.12.2014 02:00:00;    50
10.01.2015 05:45:00;    81
24.02.2015 19:00:00;    36
30.03.2015 12:45:00;    60
02.04.2015 18:15:00;    63
24.05.2015 03:30:00;    70
01.06.2015 21:15:00;    60
08.07.2015 19:45:00;    32
20.08.2015 06:30:00;    36
04.09.2015 04:30:00;    47
08.10.2015 01:30:00;    70
21.11.2015 02:45:00;    65
02.12.2015 01:15:00;    56
31.01.2016 23:59:55;    62
01.02.2016 08:45:00;   121
03.03.2016 01:30:00;    49
13.04.2016 21:45:00;    49
13.05.2016 21:00:00;    73
01.06.2016 11:15:00;    97
14.07.2016 10:15:00;   101
05.08.2016 22:30:00;    63
20.09.2016 00:15:00;    72
20.10.2016 06:30:00;    58
17.11.2016 01:30:00;    67
29.12.2016 12:00:00;    31
31.01.2017 23:00:00;    36
21.02.2017 22:30:00;    88
19.03.2017 11:15:00;    74
29.04.2017 17:15:00;    57
09.05.2017 02:00:00;    87
29.06.2017 00:15:00;    39
27.07.2017 04:45:00;   117
11.08.2017 15:45:00;    58
03.09.2017 00:15:00;    61
09.10.2017 17:30:00;    57
12.11.2017 23:00:00;    71
31.12.2017 07:30:00;    67
05.01.2018 01:30:00;   104
01.02.2018 19:15:00;    41
12.03.2018 14:45:00;    51
02.04.2018 05:45:00;    37
10.05.2018 23:45:00;    53
29.06.2018 10:30:00;    53
06.07.2018 00:30:00;    39
26.08.2018 06:45:00;    55
24.09.2018 05:00:00;    38
25.10.2018 01:15:00;    43
01.11.2018 14:30:00;    26
24.12.2018 10:00:00;    98
14.01.2019 05:30:00;    76
22.02.2019 14:15:00;    54
15.03.2019 22:00:00;    91
30.04.2019 22:15:00;    44
22.05.2019 09:30:00;   122
06.06.2019 23:00:00;    44
13.07.2019 14:15:00;    36
25.08.2019 23:45:00;   110
02.09.2019 00:00:00;    54
09.10.2019 23:30:00;    47
05.11.2019 14:15:00;    42
25.12.2019 17:15:00;    66
31.01.2020 16:00:00;    38
03.02.2020 19:30:00;   115
11.03.2020 02:30:00;    50
29.04.2020 14:45:00;    31
25.05.2020 23:30:00;    41
15.06.2020 19:15:00;    87
18.07.2020 23:30:00;    57
04.08.2020 11:30:00;   142
26.09.2020 22:45:00;    64
30.10.2020 10:15:00;    68
04.11.2020 04:15:00;    45
25.12.2020 11:45:00;    48
29.01.2021 12:00:00;    87
04.02.2021 00:00:00;    66
12.03.2021 05:15:00;    37
10.04.2021 22:15:00;    33
14.05.2021 00:00:00;    74
23.06.2021 02:00:00;    60
18.07.2021 19:00:00;    70
05.08.2021 04:45:00;    60
27.09.2021 08:30:00;    41
13.10.2021 05:45:00;    33
04.11.2021 14:30:00;    44
30.12.2021 08:15:00;    76
01.01.2022 00:00:00;    47
