Messstelle:                ;Trausdorf an der Wulka
HZB-Nummer:                ;210328
HD-Nummer:                 ;
DBMS-Nummer:               ;1001029
Gewässer:                  ;Wulka
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;235,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.06.1976              ;00145,25
   01.04.1992              ;00142,68
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.06.1976              ;767528,00 - 297565,00
   03.02.2012              ;767510,00 - 297589,00
   05.10.2018              ;767509,98 - 297558,51
Exportzeitreihe:           ;(1001029,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.06.1976 00:00,01.01.2022 00:00]
Werte:
15.09.2004 15:01:00;   134
09.10.2004 13:48:50;   140
09.11.2004 17:06:35;   140
27.12.2004 15:30:55;   137
21.01.2005 14:04:15;   142
01.02.2005 17:16:15;   125
19.03.2005 15:47:55;   145
09.04.2005 18:28:00;   140
19.05.2005 04:18:00;   143
04.06.2005 22:48:00;   132
11.07.2005 19:19:50;   137
15.08.2005 06:53:45;   164
17.09.2005 10:27:45;   150
07.10.2005 20:36:20;   125
27.11.2005 10:29:35;   143
06.12.2005 17:35:15;   155
03.01.2006 15:18:50;   142
20.02.2006 19:24:30;   172
29.03.2006 09:21:50;   140
29.04.2006 23:59:25;   173
01.05.2006 09:00:35;   159
29.06.2006 11:29:05;   215
08.07.2006 07:01:40;   147
03.08.2006 23:06:50;   187
18.09.2006 19:59:45;   136
25.10.2006 00:39:25;   139
22.11.2006 15:14:45;   145
07.12.2006 11:51:50;   130
19.01.2007 16:48:50;   166
09.02.2007 07:00:00;   138
24.03.2007 20:58:15;   188
07.04.2007 20:00:30;   133
06.05.2007 03:06:30;   183
14.06.2007 02:27:55;   212
10.07.2007 02:30:55;   162
11.08.2007 13:26:00;   155
07.09.2007 16:11:05;   211
28.10.2007 18:07:50;   177
11.11.2007 16:59:25;   142
10.12.2007 04:07:40;   176
27.01.2008 18:50:05;   141
22.02.2008 12:50:50;   133
16.03.2008 21:57:50;   142
22.04.2008 00:32:00;   175
20.05.2008 12:12:10;   154
27.06.2008 03:29:05;   207
24.07.2008 02:26:40;   209
02.08.2008 20:46:45;   267
26.09.2008 01:58:10;   183
03.10.2008 23:46:30;   144
08.11.2008 11:08:05;   143
18.12.2008 17:22:20;   153
24.01.2009 00:26:35;   143
08.02.2009 20:04:00;   158
30.03.2009 13:13:35;   188
18.04.2009 18:38:00;   156
30.05.2009 14:54:20;   157
25.06.2009 09:22:15;   341
18.07.2009 18:52:45;   173
04.08.2009 11:54:35;   192
04.09.2009 23:51:30;   151
12.10.2009 10:15:45;   135
04.11.2009 19:19:20;   145
25.12.2009 20:00:20;   144
24.01.2010 09:25:20;   126
20.02.2010 04:20:05;   138
31.03.2010 17:35:05;   129
15.04.2010 05:39:55;   164
27.05.2010 19:00:55;   192
16.06.2010 14:36:05;   229
16.07.2010 01:48:20;   200
15.08.2010 09:15:20;   289
26.09.2010 08:11:55;   243
25.10.2010 19:51:30;   156
19.11.2010 12:57:05;   135
12.12.2010 19:00:00;   145
14.01.2011 14:56:15;   130
12.02.2011 08:51:55;   127
18.03.2011 00:05:20;   129
29.04.2011 21:58:30;   136
27.05.2011 23:54:35;   164
23.06.2011 22:40:35;   186
28.07.2011 19:15:00;   160
07.08.2011 20:00:00;   212
14.09.2011 17:45:00;   174
07.10.2011 12:15:00;   176
28.11.2011 20:30:00;   124
08.12.2011 02:15:00;   125
22.01.2012 09:15:00;   129
26.02.2012 21:00:00;   123
29.03.2012 16:45:00;   128
06.04.2012 02:45:00;   135
04.05.2012 11:30:00;   158
21.06.2012 01:30:00;   166
29.07.2012 19:30:00;   220
05.08.2012 04:45:00;   200
13.09.2012 03:00:00;   167
16.10.2012 10:30:00;   157
05.11.2012 14:30:00;   239
23.12.2012 23:30:00;   149
31.01.2013 08:00:00;   183
27.02.2013 19:45:00;   221
01.03.2013 00:00:00;   185
01.04.2013 00:00:00;   168
14.05.2013 04:30:00;   161
24.06.2013 18:30:00;   191
11.07.2013 07:45:00;   125
28.08.2013 05:00:00;   169
17.09.2013 02:30:00;   214
30.10.2013 06:15:00;   132
24.11.2013 16:30:00;   201
27.12.2013 06:15:00;   132
05.01.2014 21:45:00;   125
12.02.2014 16:00:00;   157
23.03.2014 23:00:00;   153
09.04.2014 01:15:00;   181
16.05.2014 10:15:00;   271
30.06.2014 11:15:00;   172
22.07.2014 23:15:00;   206
23.08.2014 22:30:00;   155
13.09.2014 10:45:00;   248
22.10.2014 04:15:00;   155
18.11.2014 10:15:00;   149
08.12.2014 03:30:00;   168
30.01.2015 14:30:00;   144
24.02.2015 18:00:00;   143
11.03.2015 17:00:00;   129
18.04.2015 00:00:00;   140
23.05.2015 13:15:00;   219
13.06.2015 22:30:00;   153
09.07.2015 00:00:00;   167
17.08.2015 05:40:00;   147
25.09.2015 21:40:00;   168
14.10.2015 12:32:00;   149
20.11.2015 12:02:00;   124
01.12.2015 12:47:00;   122
11.01.2016 22:17:00;   141
03.02.2016 19:17:00;   153
16.03.2016 19:32:00;   130
08.04.2016 19:32:00;   150
31.05.2016 16:02:00;   206
05.06.2016 21:32:00;   144
14.07.2016 07:17:00;   175
21.08.2016 13:17:00;   174
04.09.2016 21:02:00;   181
20.10.2016 07:01:00;   147
06.11.2016 23:16:00;   191
28.12.2016 12:46:00;   140
13.01.2017 12:01:00;   124
06.02.2017 19:31:00;   170
19.03.2017 10:46:00;   131
28.04.2017 15:30:00;   137
02.05.2017 07:00:00;   144
25.06.2017 18:30:00;   151
10.07.2017 02:45:00;   151
11.08.2017 01:30:00;   153
20.09.2017 03:45:00;   166
27.10.2017 16:45:00;   126
21.11.2017 13:45:00;   124
28.12.2017 12:00:00;   138
10.01.2018 18:00:00;   128
02.02.2018 00:30:00;   127
30.03.2018 02:15:00;   133
01.04.2018 06:15:00;   137
25.05.2018 12:30:00;   158
13.06.2018 21:15:00;   185
23.07.2018 11:45:00;   149
02.08.2018 22:15:00;   141
01.09.2018 11:45:00;   170
24.10.2018 17:30:00;   139
26.11.2018 15:00:00;   152
24.12.2018 11:45:00;   147
08.01.2019 18:30:00;   122
22.02.2019 11:48:00;   124
02.03.2019 17:18:00;   127
30.04.2019 20:30:00;   141
12.05.2019 03:15:00;   263
24.06.2019 02:30:00;   199
29.07.2019 00:30:00;   141
25.08.2019 06:45:00;   147
09.09.2019 05:15:00;   173
02.10.2019 19:30:00;   128
05.11.2019 16:00:00;   144
21.12.2019 20:15:00;   138
28.01.2020 21:45:00;   123
26.02.2020 08:15:00;   125
06.03.2020 13:15:00;   140
13.04.2020 23:45:00;   120
24.05.2020 01:30:00;   147
21.06.2020 06:00:00;   177
20.07.2020 20:00:00;   152
29.08.2020 23:45:00;   173
28.09.2020 09:15:00;   165
12.10.2020 05:30:00;   198
01.11.2020 22:15:00;   122
10.12.2020 06:30:00;   131
29.01.2021 05:45:00;   139
08.02.2021 07:15:00;   126
07.03.2021 07:15:00;   123
14.04.2021 00:00:00;   129
15.05.2021 19:30:00;   138
13.06.2021 04:45:00;   123
17.07.2021 09:30:00;   186
01.08.2021 19:30:00;   204
17.09.2021 06:15:00;   128
07.10.2021 12:45:00;   149
02.11.2021 09:00:00;   145
05.12.2021 04:15:00;   123
