Messstelle:                ;Nußdorf
HZB-Nummer:                ;203844
HD-Nummer:                 ;
DBMS-Nummer:               ;5001079
Gewässer:                  ;Oichten
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;40,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1983              ;00416,00
   26.04.2007              ;00414,11
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1983              ;425530,00 - 315620,00
Exportzeitreihe:           ;(5001079,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1983 01:00,01.01.2022 00:00]
Werte:
13.01.2011 20:45:00;   200
12.02.2011 21:15:00;    67
18.03.2011 12:15:00;   161
04.04.2011 14:45:00;    44
27.05.2011 19:30:00;    55
22.06.2011 22:45:00;   125
21.07.2011 00:00:00;   185
08.08.2011 18:00:00;   118
19.09.2011 16:15:00;    75
10.10.2011 16:00:00;   129
01.11.2011 00:00:00;    33
23.12.2011 06:15:00;   109
20.01.2012 11:00:00;   155
24.02.2012 16:15:00;   114
01.03.2012 00:00:00;    59
16.04.2012 14:30:00;    80
05.05.2012 15:00:00;    44
13.06.2012 03:00:00;   206
15.07.2012 07:00:00;    46
31.08.2012 21:30:00;    88
23.09.2012 01:52:25;   102
09.10.2012 18:00:00;    84
05.11.2012 10:15:00;   141
23.12.2012 12:30:00;   191
05.01.2013 04:30:00;   214
02.02.2013 10:45:00;   175
19.03.2013 11:15:00;    81
01.04.2013 16:45:00;    81
31.05.2013 07:45:00;   198
02.06.2013 13:15:00;   278
01.07.2013 00:00:00;    46
28.08.2013 10:15:00;    50
18.09.2013 17:45:00;   180
11.10.2013 01:15:00;    66
24.11.2013 17:00:00;   140
01.12.2013 00:00:00;    41
27.01.2014 16:15:00;    56
06.02.2014 19:00:00;    46
25.03.2014 14:30:00;    71
10.04.2014 12:00:00;    34
28.05.2014 03:00:00;   193
01.06.2014 00:00:00;    49
31.07.2014 04:30:00;   232
04.08.2014 10:15:00;   258
13.09.2014 21:30:00;   162
23.10.2014 15:30:00;   223
18.11.2014 18:00:00;    63
19.12.2014 03:00:00;    57
04.01.2015 02:45:00;   175
24.02.2015 17:45:00;    60
02.03.2015 15:15:00;    89
01.04.2015 06:00:00;    72
24.05.2015 02:30:00;   179
02.06.2015 00:00:00;    79
08.07.2015 20:00:00;    44
02.08.2015 20:00:00;    31
04.09.2015 03:30:00;    32
08.10.2015 01:15:00;    46
21.11.2015 06:00:00;    65
02.12.2015 02:15:00;    35
31.01.2016 23:59:55;   162
01.02.2016 07:00:00;   170
03.03.2016 01:00:00;    95
18.04.2016 04:45:00;    74
24.05.2016 22:00:00;   159
01.06.2016 14:30:00;   292
