Messstelle:                ;Arzberg (Moderbach)
HZB-Nummer:                ;210955
HD-Nummer:                 ;ow4025
DBMS-Nummer:               ;6001046
Gewässer:                  ;Moderbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;82,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00570,68
   01.01.1982              ;00574,01
   01.01.1996              ;00575,18
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1972              ;687859,40 - 234915,40
   01.01.1996              ;687863,90 - 234887,70
   01.01.2018              ;687863,20 - 234887,40
Exportzeitreihe:           ;(6001046,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
16.06.1999 12:43:05;   104
10.07.1999 23:58:40;   113
16.08.1999 23:55:40;   152
07.09.1999 14:13:45;   143
04.10.1999 07:44:50;    67
10.11.1999 01:23:00;    54
11.12.1999 01:43:40;    60
31.01.2000 16:04:00;    68
05.02.2000 16:03:10;    63
29.03.2000 20:52:05;   118
01.04.2000 19:47:50;    73
04.05.2000 17:52:20;    76
06.06.2000 16:51:50;    89
11.07.2000 15:35:00;    59
06.08.2000 03:38:45;    94
16.09.2000 19:42:05;    66
01.10.2000 18:51:05;    97
07.11.2000 05:56:00;    85
28.12.2000 06:57:05;    73
08.01.2001 16:41:50;    74
01.02.2001 03:25:45;    53
25.03.2001 19:21:15;    58
08.04.2001 09:15:45;    59
09.05.2001 16:13:40;    68
06.06.2001 17:52:45;    91
20.07.2001 10:20:35;    84
20.08.2001 21:44:35;    48
14.09.2001 21:07:05;    61
05.10.2001 00:43:45;    47
12.11.2001 12:05:20;    50
06.12.2001 11:53:00;    47
01.01.2002 11:08:00;    44
17.02.2002 20:23:00;    48
03.03.2002 11:53:00;    46
22.04.2002 18:13:00;    51
12.05.2002 19:58:00;    75
06.06.2002 23:13:00;    94
15.07.2002 02:49:00;    63
11.08.2002 16:34:00;   140
10.09.2002 13:19:00;    81
12.10.2002 14:49:00;    72
22.11.2002 19:49:00;    61
06.12.2002 18:19:00;    86
28.01.2003 17:04:00;    59
02.02.2003 13:04:00;    55
03.03.2003 16:19:00;    55
06.04.2003 00:19:00;    51
27.05.2003 14:37:00;    64
06.06.2003 15:52:00;    91
23.07.2003 17:37:00;    79
31.08.2003 11:07:00;    79
10.09.2003 01:22:00;    71
05.10.2003 06:22:00;    70
28.11.2003 22:07:00;    69
31.12.2003 14:07:00;    73
01.01.2004 00:00:00;    66
03.02.2004 14:22:00;    83
17.03.2004 15:37:00;    77
04.04.2004 16:22:00;    67
28.05.2004 13:37:00;    71
22.06.2004 18:52:00;   122
06.07.2004 16:14:00;   231
09.08.2004 15:59:00;    86
15.09.2004 20:44:00;    63
16.10.2004 16:44:00;    66
11.11.2004 03:59:00;    75
27.12.2004 07:44:00;    87
21.01.2005 13:59:00;    57
13.02.2005 16:29:00;    53
18.03.2005 13:55:00;   116
19.04.2005 22:25:00;    77
18.05.2005 14:25:00;    68
15.06.2005 14:55:00;    70
30.07.2005 22:15:00;   263
21.08.2005 18:59:15;   205
27.09.2005 14:37:15;    93
04.10.2005 06:28:15;    83
01.11.2005 03:10:25;    56
06.12.2005 14:34:45;    55
11.01.2006 13:42:00;    53
21.02.2006 18:27:00;    56
29.03.2006 02:42:00;    86
29.04.2006 00:42:00;    73
20.05.2006 07:12:00;    86
29.06.2006 18:27:00;   107
07.07.2006 18:42:00;    94
03.08.2006 19:42:00;    81
18.09.2006 17:12:00;   101
04.10.2006 07:12:00;    67
22.11.2006 11:00:00;    63
09.12.2006 19:15:00;    53
19.01.2007 19:15:00;    77
26.02.2007 03:45:00;    55
25.03.2007 18:15:00;    60
04.04.2007 00:00:00;    58
26.05.2007 21:45:00;    62
04.06.2007 00:15:00;    84
09.07.2007 23:16:05;    62
30.08.2007 15:58:00;    91
28.09.2007 05:58:00;    98
01.10.2007 00:00:00;    60
11.11.2007 22:13:00;    57
08.12.2007 06:13:00;    61
17.01.2008 21:13:00;    54
07.02.2008 07:28:00;    50
02.03.2008 13:43:00;    52
21.04.2008 20:01:00;    76
20.05.2008 16:01:00;    57
11.06.2008 13:01:00;    89
17.07.2008 18:24:00;    88
15.08.2008 23:09:00;    92
12.09.2008 02:39:00;    59
03.10.2008 21:36:00;    58
08.11.2008 13:06:00;    61
11.12.2008 21:51:00;    72
21.01.2009 21:21:00;    78
08.02.2009 12:36:00;    80
05.03.2009 14:51:00;    87
01.04.2009 01:43:00;    64
18.05.2009 20:24:55;   234
28.06.2009 19:08:25;    89
02.07.2009 10:30:40;   188
10.08.2009 17:44:00;   116
04.09.2009 19:22:25;   111
10.10.2009 22:28:15;    74
08.11.2009 19:58:15;    69
25.12.2009 17:53:05;    74
01.01.2010 18:19:40;    56
27.02.2010 17:33:55;    60
01.03.2010 16:59:40;    63
02.04.2010 03:29:05;    54
26.05.2010 21:14:00;    63
16.06.2010 08:59:00;   189
23.07.2010 17:14:00;    89
11.08.2010 20:14:00;    85
26.09.2010 02:44:00;    81
17.10.2010 20:44:00;    63
22.11.2010 03:44:00;    75
25.12.2010 03:44:00;    66
15.01.2011 16:44:00;    65
05.02.2011 15:44:00;    60
17.03.2011 07:29:00;    98
25.04.2011 17:44:00;    63
28.05.2011 09:44:00;    61
23.06.2011 19:44:00;   182
24.07.2011 13:44:00;    78
15.08.2011 17:29:00;    89
19.09.2011 17:29:00;   101
07.10.2011 08:44:00;    76
02.11.2011 08:29:00;    63
17.12.2011 01:29:00;    67
27.01.2012 10:29:00;    66
25.02.2012 14:29:00;    83
01.03.2012 00:00:00;    71
12.04.2012 05:00:00;    72
22.05.2012 09:00:00;    78
21.06.2012 21:14:00;   232
21.07.2012 14:44:00;   122
01.08.2012 03:59:00;    67
13.09.2012 00:19:00;    74
15.10.2012 23:34:00;    96
05.11.2012 10:34:00;   136
01.12.2012 03:19:00;    57
05.01.2013 01:19:00;    59
26.02.2013 22:34:00;    68
10.03.2013 16:19:00;    87
15.04.2013 20:30:00;    77
07.05.2013 01:30:00;   160
10.06.2013 18:15:00;   123
04.07.2013 17:45:00;   102
09.08.2013 19:15:00;    84
10.09.2013 23:00:00;    78
30.10.2013 06:45:00;    78
09.11.2013 20:45:00;    97
