Messstelle:                ;Arzberg (Raab)
HZB-Nummer:                ;211698
HD-Nummer:                 ;ow4027
DBMS-Nummer:               ;6001118
Gewässer:                  ;Raab
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;119,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1982              ;00566,62
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1982              ;688410,60 - 234572,20
   01.01.2018              ;688446,30 - 234565,00
Exportzeitreihe:           ;(6001118,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1982 00:30,01.01.2022 00:00]
Werte:
06.12.2001 13:26:00; 0,446
09.01.2002 14:11:00; 0,373
17.02.2002 21:11:00; 0,475
03.03.2002 11:11:00; 0,385
22.04.2002 18:11:00; 0,485
12.05.2002 20:11:00;  3,57
06.06.2002 22:41:00;  7,97
15.07.2002 02:04:00;  2,34
11.08.2002 16:34:00;  25,8
10.09.2002 13:34:00;  4,57
12.10.2002 14:49:00;  3,46
22.11.2002 20:19:00;  1,54
06.12.2002 18:04:00;  6,55
28.01.2003 16:49:00;  1,02
02.02.2003 13:04:00; 0,681
03.03.2003 16:04:00; 0,577
10.04.2003 19:49:00; 0,522
28.05.2003 14:49:20;  2,81
06.06.2003 15:50:00;  11,9
23.07.2003 17:43:10;  3,80
31.08.2003 11:27:00;  4,28
10.09.2003 01:27:00;  3,27
05.10.2003 06:12:00;  2,80
28.11.2003 22:27:00;  2,47
31.12.2003 13:42:00;  3,70
01.01.2004 00:00:00;  1,95
03.02.2004 14:57:05;  5,69
17.03.2004 16:12:00;  4,77
20.04.2004 14:12:00;  3,00
28.05.2004 14:42:00;  3,50
22.06.2004 18:42:00;  17,2
06.07.2004 16:12:00;  33,5
09.08.2004 15:27:00;  10,6
15.09.2004 20:30:00;  1,89
16.10.2004 17:00:00;  2,69
11.11.2004 04:15:00;  4,63
27.12.2004 11:30:00;  8,45
21.01.2005 13:45:00; 0,901
01.02.2005 14:30:00; 0,646
18.03.2005 14:45:00;  16,2
19.04.2005 22:15:00;  4,84
18.05.2005 14:15:00;  3,02
15.06.2005 14:45:00;  4,50
30.07.2005 22:30:00;   107
21.08.2005 19:00:00;  54,0
27.09.2005 14:19:55;  8,49
04.10.2005 08:50:00;  4,28
01.11.2005 07:50:00;  1,01
06.12.2005 12:00:20;  1,01
01.01.2006 12:05:40; 0,766
21.02.2006 19:19:10; 0,828
29.03.2006 03:03:00;  4,95
29.04.2006 01:03:00;  3,15
20.05.2006 07:33:00;  5,31
29.06.2006 18:48:00;  8,39
07.07.2006 19:11:00;  7,13
03.08.2006 20:03:00;  2,93
18.09.2006 17:47:20;  7,56
04.10.2006 07:47:20;  1,71
22.11.2006 11:39:25;  1,46
09.12.2006 21:36:50; 0,756
19.01.2007 19:23:00;  3,52
26.02.2007 03:36:00; 0,896
24.03.2007 19:00:00;  1,34
03.04.2007 23:15:00;  1,19
26.05.2007 21:53:00;  1,51
