Messstelle:                ;Lustenau (Hofsteig)
HZB-Nummer:                ;200220
HD-Nummer:                 ;
DBMS-Nummer:               ;8001022
Gewässer:                  ;Rheintalbinnenkanal
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;78,51
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00400,50
   01.01.1986              ;00399,60
   01.01.1996              ;00399,56
   14.10.2014              ;00399,52
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1949              ;101964,00 - 255286,00
Exportzeitreihe:           ;(8001022,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 01:00,01.01.2022 00:00]
Werte:
10.12.1994 10:00:00;  18,6
23.01.1995 22:30:00;  8,59
18.02.1995 08:15:00;  7,05
20.03.1995 02:45:00;  8,26
26.04.1995 07:45:00;  16,4
31.05.1995 03:15:00;  15,8
01.06.1995 22:00:00;  26,7
22.07.1995 22:30:00;  5,21
30.08.1995 12:15:00;  19,8
28.09.1995 06:00:00;  8,87
01.10.1995 21:15:00;  1,95
18.11.1995 00:45:00;  7,69
25.12.1995 09:00:00;  18,0
08.01.1996 19:00:00;  3,27
19.02.1996 04:00:00;  2,97
23.03.1996 08:45:00;  16,0
13.04.1996 13:15:00;  8,93
27.05.1996 11:30:00;  8,78
13.06.1996 04:15:00;  9,78
08.07.1996 18:00:00;  26,7
03.08.1996 19:15:00;  17,6
23.09.1996 23:15:00;  16,6
17.10.1996 08:45:00;  9,45
30.11.1996 08:00:00;  12,0
01.12.1996 07:15:00;  6,44
01.01.1997 00:00:00; 0,761
15.02.1997 14:35:20;  5,98
28.03.1997 17:04:50;  2,69
30.04.1997 00:55:15;  9,04
06.05.1997 20:57:15;  10,0
22.06.1997 18:09:25;  6,53
20.07.1997 03:12:55;  19,0
29.08.1997 00:39:40;  8,21
07.09.1997 12:19:10;  5,23
12.10.1997 11:02:40;  7,82
12.11.1997 20:53:45;  1,44
22.12.1997 01:28:10;  11,6
06.01.1998 08:47:45;  1,80
23.02.1998 07:37:50;  3,36
16.03.1998 13:13:55;  10,8
06.04.1998 02:06:40;  4,25
02.05.1998 14:08:30;  11,2
12.06.1998 23:00:55;  14,8
13.07.1998 23:36:20;  5,11
23.08.1998 04:19:20;  6,68
12.09.1998 08:40:40;  13,2
25.10.1998 09:41:40;  9,93
11.11.1998 03:32:40;  13,4
13.12.1998 04:32:35;  7,81
09.01.1999 03:16:35;  3,20
22.02.1999 05:55:40;  23,7
04.03.1999 22:49:00;  13,7
17.04.1999 17:02:05;  8,78
22.05.1999 05:28:30;  54,4
22.06.1999 10:37:25;  22,3
12.07.1999 06:11:40;  31,1
20.08.1999 11:19:55;  6,89
26.09.1999 18:08:40;  12,3
06.10.1999 00:25:20;  7,97
10.11.1999 10:12:20;  15,4
27.12.1999 07:20:05;  11,3
05.01.2000 20:09:15;  3,42
03.02.2000 03:19:30;  7,52
18.03.2000 11:08:55;  22,5
06.04.2000 09:15:55;  4,71
31.05.2000 17:28:45;  11,4
15.06.2000 03:20:00;  11,2
28.07.2000 10:34:25;  13,0
06.08.2000 16:19:45;  59,2
21.09.2000 13:59:45;  36,5
06.10.2000 12:27:20;  8,11
17.11.2000 11:01:00;  10,0
15.12.2000 10:57:50;  2,23
09.01.2001 04:11:10;  4,53
04.02.2001 09:00:45;  5,77
09.03.2001 10:16:30;  10,1
10.04.2001 08:16:45;  10,8
06.05.2001 01:05:50;  3,32
10.06.2001 15:19:40;  19,2
