Messstelle:                ;Riedau
HZB-Nummer:                ;204784
HD-Nummer:                 ;2810
DBMS-Nummer:               ;4001027
Gewässer:                  ;Pram
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;60,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.05.1969              ;00369,00
   01.01.1988              ;00366,89
   01.01.2014              ;00365,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.05.1969              ;472140,00 - 351620,00
   22.06.2009              ;472118,00 - 351637,00
   01.01.2014              ;472216,93 - 351857,88
   25.03.2020              ;472212,75 - 351857,14
Exportzeitreihe:           ;(4001027,Abfluss,I,Mit,T,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
30.03.1977 00:00:00; 0,668
31.03.1977 00:00:00; 0,693
01.04.1977 00:00:00; 0,717
02.04.1977 00:00:00; 0,714
03.04.1977 00:00:00; 0,699
04.04.1977 00:00:00; 0,645
05.04.1977 00:00:00; 0,573
06.04.1977 00:00:00; 0,547
07.04.1977 00:00:00; 0,496
08.04.1977 00:00:00; 0,637
09.04.1977 00:00:00;  1,70
10.04.1977 00:00:00;  2,03
11.04.1977 00:00:00;  1,93
12.04.1977 00:00:00;  2,50
13.04.1977 00:00:00;  6,46
14.04.1977 00:00:00;  5,66
15.04.1977 00:00:00;  2,12
16.04.1977 00:00:00;  2,68
17.04.1977 00:00:00;  2,00
18.04.1977 00:00:00;  1,33
19.04.1977 00:00:00;  1,09
20.04.1977 00:00:00;  1,04
21.04.1977 00:00:00; 0,871
22.04.1977 00:00:00; 0,805
23.04.1977 00:00:00; 0,743
24.04.1977 00:00:00;  1,23
25.04.1977 00:00:00;  1,42
26.04.1977 00:00:00; 0,967
27.04.1977 00:00:00;  1,15
28.04.1977 00:00:00;  2,87
29.04.1977 00:00:00;  1,18
30.04.1977 00:00:00; 0,958
01.05.1977 00:00:00; 0,823
02.05.1977 00:00:00; 0,712
03.05.1977 00:00:00; 0,651
04.05.1977 00:00:00; 0,606
05.05.1977 00:00:00; 0,571
06.05.1977 00:00:00; 0,536
07.05.1977 00:00:00; 0,543
08.05.1977 00:00:00; 0,581
09.05.1977 00:00:00;  1,27
10.05.1977 00:00:00; 0,726
11.05.1977 00:00:00; 0,570
12.05.1977 00:00:00; 0,520
13.05.1977 00:00:00; 0,482
14.05.1977 00:00:00; 0,504
15.05.1977 00:00:00; 0,471
16.05.1977 00:00:00; 0,448
17.05.1977 00:00:00; 0,426
18.05.1977 00:00:00; 0,384
19.05.1977 00:00:00; 0,391
20.05.1977 00:00:00; 0,393
21.05.1977 00:00:00; 0,389
22.05.1977 00:00:00; 0,784
23.05.1977 00:00:00; 0,398
24.05.1977 00:00:00; 0,375
25.05.1977 00:00:00; 0,333
26.05.1977 00:00:00; 0,329
27.05.1977 00:00:00; 0,321
28.05.1977 00:00:00; 0,307
29.05.1977 00:00:00; 0,301
30.05.1977 00:00:00; 0,305
31.05.1977 00:00:00; 0,440
01.06.1977 00:00:00; 0,366
02.06.1977 00:00:00; 0,325
03.06.1977 00:00:00; 0,311
04.06.1977 00:00:00; 0,336
05.06.1977 00:00:00; 0,354
06.06.1977 00:00:00; 0,474
07.06.1977 00:00:00; 0,391
08.06.1977 00:00:00; 0,528
09.06.1977 00:00:00; 0,378
10.06.1977 00:00:00; 0,346
11.06.1977 00:00:00; 0,317
12.06.1977 00:00:00; 0,651
13.06.1977 00:00:00; 0,362
14.06.1977 00:00:00; 0,339
15.06.1977 00:00:00; 0,388
16.06.1977 00:00:00; 0,365
17.06.1977 00:00:00; 0,327
18.06.1977 00:00:00; 0,308
19.06.1977 00:00:00; 0,512
20.06.1977 00:00:00; 0,371
21.06.1977 00:00:00; 0,343
22.06.1977 00:00:00; 0,585
23.06.1977 00:00:00; 0,406
24.06.1977 00:00:00; 0,313
