Messstelle:                ;Koflerkreuz
HZB-Nummer:                ;202077
HD-Nummer:                 ;
DBMS-Nummer:               ;7001098
Gewässer:                  ;Zirmbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;64,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.06.1978              ;01370,00
   03.05.1983              ;01383,55
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1973              ;210448,31 - 229472,79
Exportzeitreihe:           ;(7001098,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1981 00:30,01.01.2022 00:00]
Werte:
27.11.2002 14:00:00;    31
31.12.2002 23:59:55;    26
28.01.2003 17:00:00;    20
16.02.2003 20:15:00;    17
04.03.2003 10:45:00;    18
05.04.2003 06:00:00;    19
04.05.2003 07:00:00;    30
28.06.2003 11:00:00;    39
15.07.2003 14:15:00;    28
27.08.2003 15:30:00;    24
03.09.2003 13:00:00;    25
01.10.2003 00:00:00;    25
29.11.2003 22:00:00;    22
23.12.2003 17:45:00;    20
31.01.2004 23:59:55;    19
09.02.2004 06:45:00;    16
10.03.2004 08:15:00;    16
01.04.2004 09:00:00;    21
10.05.2004 11:45:00;    32
01.06.2004 08:15:00;    48
31.07.2004 08:30:00;    43
25.08.2004 18:30:00;    30
22.09.2004 08:00:00;    29
23.10.2004 17:00:00;    27
28.11.2004 06:00:00;    22
18.12.2004 07:00:00;    19
26.01.2005 11:30:00;    17
20.02.2005 06:15:00;    16
01.03.2005 19:30:00;    16
01.04.2005 10:00:00;    21
11.05.2005 08:30:00;    26
30.06.2005 20:00:00;    32
04.07.2005 14:30:00;    32
14.08.2005 10:30:00;    32
30.09.2005 19:30:00;    29
31.10.2005 23:45:00;    26
29.11.2005 00:30:00;    20
30.12.2005 21:45:00;    19
30.01.2006 02:00:00;    17
25.02.2006 11:45:00;    16
24.03.2006 09:00:00;    15
07.04.2006 07:45:00;    17
02.05.2006 11:00:00;    29
08.06.2006 09:45:00;    41
31.07.2006 14:45:00;    32
24.08.2006 03:00:00;    30
29.09.2006 01:45:00;    27
26.10.2006 16:45:00;    23
23.11.2006 03:00:00;    21
