Messstelle:                ;Kolming
23.08.1996 16:45:00;   148
01.09.1996 00:00:00;   152
02.10.1996 00:30:00;   154
25.11.1996 09:15:00;   153
29.12.1996 23:45:00;   147
29.01.1997 17:28:35;   144
03.02.1997 06:47:15;   140
03.03.1997 07:37:40;   148
27.04.1997 09:08:55;   143
31.05.1997 23:59:55;   148
02.06.1997 12:14:55;   146
04.07.1997 18:34:25;   147
26.08.1997 12:43:55;   145
10.09.1997 07:04:40;   145
07.10.1997 16:21:05;   150
14.11.1997 04:43:10;   151
07.12.1997 02:24:45;   158
31.01.1998 02:06:55;   149
16.02.1998 07:35:35;   147
05.03.1998 08:19:45;   150
30.04.1998 23:59:55;   151
06.05.1998 14:53:15;   142
06.06.1998 00:52:05;   147
01.07.1998 00:00:00;   150
19.08.1998 17:41:55;   148
05.09.1998 08:00:20;   145
09.10.1998 12:42:35;   150
30.11.1998 17:08:25;   153
11.12.1998 18:22:45;   150
29.01.1999 11:10:25;   143
01.02.1999 08:13:30;   139
22.03.1999 11:25:50;   154
27.04.1999 16:58:40;   139
10.05.1999 19:21:50;   148
21.06.1999 06:42:10;   143
04.07.1999 07:56:05;   138
05.08.1999 07:09:05;   143
29.09.1999 06:42:45;   138
28.10.1999 12:15:10;   141
30.11.1999 01:25:40;   139
01.12.1999 00:48:40;   143
26.01.2000 12:58:20;   136
24.02.2000 16:59:25;   157
07.03.2000 10:57:00;   157
30.04.2000 22:31:50;   147
16.05.2000 20:22:05;   145
21.06.2000 06:48:05;   139
01.07.2000 19:59:35;   143
30.08.2000 07:08:00;   140
16.09.2000 18:45:15;   145
31.10.2000 07:23:30;   143
22.11.2000 13:00:05;   143
29.12.2000 08:42:05;   139
01.01.2001 10:33:35;   136
03.02.2001 13:41:55;   141
03.03.2001 10:05:00;   148
03.04.2001 19:39:05;   150
28.05.2001 06:11:40;   143
05.06.2001 08:04:05;   139
28.07.2001 20:37:35;   142
28.08.2001 18:00:35;   142
04.09.2001 06:51:45;   148
19.10.2001 16:39:05;   141
02.11.2001 07:08:30;   144
27.12.2001 23:29:15;   142
11.01.2002 07:04:55;   144
15.02.2002 21:58:15;   144
11.03.2002 13:15:55;   142
17.04.2002 15:45:50;   147
22.05.2002 21:38:30;   141
20.06.2002 21:20:25;   144
16.07.2002 06:59:25;   139
01.08.2002 14:02:15;   146
13.09.2002 16:41:25;   148
29.10.2002 06:23:25;   146
21.11.2002 09:28:55;   150
15.12.2002 06:02:20;   149
13.01.2003 07:41:20;   151
20.02.2003 06:12:55;   147
30.03.2003 04:25:00;   152
29.04.2003 11:15:55;   146
25.05.2003 12:45:10;   144
30.06.2003 09:38:15;   144
27.07.2003 20:02:55;   142
26.08.2003 07:47:05;   141
29.09.2003 04:25:00;   141
28.10.2003 07:09:55;   139
26.11.2003 05:34:10;   137
25.12.2003 10:19:15;   139
04.01.2004 10:44:40;   141
01.02.2004 00:25:30;   144
06.03.2004 07:22:30;   143
18.04.2004 06:23:35;   143
12.05.2004 00:27:00;   137
01.06.2004 12:05:20;   144
03.07.2004 07:45:45;   142
05.08.2004 07:24:45;   140
14.09.2004 20:37:45;   138
28.10.2004 09:45:00;   142
05.11.2004 13:53:40;   141
21.12.2004 08:50:25;   139
17.01.2005 06:15:00;   139
07.02.2005 08:45:00;   134
11.03.2005 07:30:00;   136
17.04.2005 16:00:00;   147
30.05.2005 16:45:00;   144
30.06.2005 08:45:00;   143
28.07.2005 17:30:00;   144
12.08.2005 08:30:00;   143
08.09.2005 07:00:00;   143
30.10.2005 07:15:00;   144
03.11.2005 16:30:00;   145
30.12.2005 10:00:00;   142
23.01.2006 08:45:00;   139
10.02.2006 09:00:00;   138
08.03.2006 08:15:00;   142
26.04.2006 17:00:00;   158
24.05.2006 21:15:00;   149
21.06.2006 09:45:00;   148
31.07.2006 18:15:00;   145
03.08.2006 10:30:00;   145
05.09.2006 07:15:00;   145
05.10.2006 03:45:00;   139
03.11.2006 17:30:00;   144
20.12.2006 14:30:00;   144
17.01.2007 08:30:00;   144
22.02.2007 10:15:00;   149
29.03.2007 12:30:00;   150
23.04.2007 19:45:00;   144
27.05.2007 16:45:00;   142
19.06.2007 08:15:00;   146
27.07.2007 09:45:00;   145
28.08.2007 20:15:00;   143
04.09.2007 11:30:00;   144
18.10.2007 09:15:00;   145
01.11.2007 08:45:00;   147
29.12.2007 22:45:00;   147
29.01.2008 16:30:00;   145
14.02.2008 15:00:00;   143
10.03.2008 14:15:00;   147
21.04.2008 12:15:00;   147
31.05.2008 22:15:00;   144
20.06.2008 17:45:00;   142
04.07.2008 06:30:00;   140
29.08.2008 12:45:00;   139
25.09.2008 15:45:00;   139
13.10.2008 09:30:00;   145
05.11.2008 08:15:00;   144
30.12.2008 12:13:00;   149
09.01.2009 08:15:00;   139
18.02.2009 10:45:00;   140
02.03.2009 11:00:00;   157
26.04.2009 22:30:00;   148
20.05.2009 09:45:00;   143
05.06.2009 13:45:00;   144
14.07.2009 18:15:00;   136
28.08.2009 09:15:00;   141
29.09.2009 12:45:00;   145
27.10.2009 11:30:00;   145
11.11.2009 20:00:00;   145
01.12.2009 12:30:00;   141
27.01.2010 11:00:00;   145
03.02.2010 13:00:00;   147
16.03.2010 10:00:00;   144
27.04.2010 10:30:00;   146
11.05.2010 23:15:00;   149
30.06.2010 16:00:00;   150
20.07.2010 12:45:00;   145
26.08.2010 09:00:00;   146
25.09.2010 01:30:00;   140
17.10.2010 06:15:00;   145
02.11.2010 07:15:00;   141
05.12.2010 12:00:00;   145
06.01.2011 07:45:00;   143
24.02.2011 07:30:00;   144
25.03.2011 07:45:00;   143
15.04.2011 13:00:00;   138
11.05.2011 07:30:00;   140
15.06.2011 01:30:00;   140
18.07.2011 11:00:00;   139
31.08.2011 15:45:00;   145
29.09.2011 07:00:00;   140
30.10.2011 21:00:00;   141
10.11.2011 16:15:00;   136
06.12.2011 18:45:00;   140
18.01.2012 13:27:05;   152
11.02.2012 17:30:00;   142
27.03.2012 09:00:00;   142
02.04.2012 12:00:00;   139
15.05.2012 19:00:00;   141
03.06.2012 11:45:00;   137
04.07.2012 21:30:00;   143
04.08.2012 04:30:00;   139
12.09.2012 09:30:00;   134
28.10.2012 02:30:00;   134
30.11.2012 13:45:00;   139
04.12.2012 00:30:00;   137
29.01.2013 13:30:00;   146
20.02.2013 09:30:00;   151
29.03.2013 09:15:00;   147
29.04.2013 04:15:00;   145
02.05.2013 18:30:00;   141
19.06.2013 13:00:00;   150
26.07.2013 06:45:00;   145
06.08.2013 02:30:00;   139
04.09.2013 22:45:00;   144
09.10.2013 22:15:00;   149
03.11.2013 05:45:00;   152
31.12.2013 11:30:00;   149
04.01.2014 05:30:00;   149
27.02.2014 16:45:00;   150
23.03.2014 05:00:00;   146
18.04.2014 19:30:00;   145
26.05.2014 14:15:00;   145
22.06.2014 09:30:00;   146
27.07.2014 20:30:00;   143
23.08.2014 23:00:00;   147
29.09.2014 14:45:00;   149
18.10.2014 18:00:00;   146
17.11.2014 07:00:00;   145
01.12.2014 04:00:00;   146
02.01.2015 11:15:00;   149
12.02.2015 10:45:00;   148
21.03.2015 21:00:00;   145
28.04.2015 01:14:05;   154
31.05.2015 23:55:35;   153
29.06.2015 13:15:00;   147
30.07.2015 07:45:00;   139
13.08.2015 02:15:00;   142
30.09.2015 23:59:55;   142
22.10.2015 12:30:00;   139
11.11.2015 08:00:00;   141
21.12.2015 21:00:00;   143
05.01.2016 15:00:00;   145
17.02.2016 04:45:00;   141
15.03.2016 09:45:00;   139
03.04.2016 16:45:00;   140
09.05.2016 01:15:00;   143
25.06.2016 15:30:00;   147
31.07.2016 01:30:00;   145
02.08.2016 10:00:00;   144
02.09.2016 02:00:00;   142
19.10.2016 06:15:00;   146
30.11.2016 11:00:00;   148
23.12.2016 06:30:00;   144
07.01.2017 08:30:00;   142
28.02.2017 12:30:00;   145
03.03.2017 10:15:00;   140
15.04.2017 02:30:00;   145
30.05.2017 14:00:00;   144
14.06.2017 10:15:00;   137
18.07.2017 17:15:00;   137
05.08.2017 17:00:00;   142
01.09.2017 00:00:00;   143
01.10.2017 01:30:00;   146
28.11.2017 07:00:00;   145
04.12.2017 07:45:00;   144
15.01.2018 17:15:00;   150
28.02.2018 23:59:55;   147
02.03.2018 07:45:00;   146
30.04.2018 11:15:00;   143
03.05.2018 01:45:00;   139
08.06.2018 01:00:00;   142
31.07.2018 21:45:00;   141
23.08.2018 02:45:00;   140
12.09.2018 15:45:00;   141
04.10.2018 08:30:00;   140
17.11.2018 20:00:00;   141
01.12.2018 00:00:00;   142
30.01.2019 12:00:00;   145
06.02.2019 09:30:00;   143
31.03.2019 23:30:00;   146
23.04.2019 02:00:00;   142
02.05.2019 22:30:00;   143
28.06.2019 13:30:00;   142
02.07.2019 06:45:00;   135
18.08.2019 23:45:00;   140
21.09.2019 11:45:00;   142
23.10.2019 08:15:00;   134
03.11.2019 13:00:00;   142
20.12.2019 02:00:00;   142
30.01.2020 10:15:00;   140
22.02.2020 20:45:00;   146
31.03.2020 06:00:00;   143
26.04.2020 00:00:00;   140
23.05.2020 13:15:00;   140
02.06.2020 07:45:00;   137
31.07.2020 23:00:00;   143
01.08.2020 06:00:00;   140
22.09.2020 13:30:00;   142
15.10.2020 10:15:00;   142
30.11.2020 06:15:00;   143
08.12.2020 11:45:00;   142
11.01.2021 07:00:00;   141
26.02.2021 20:45:00;   146
11.03.2021 13:30:00;   144
29.04.2021 18:30:00;   142
31.05.2021 09:15:00;   141
23.06.2021 05:30:00;   133
06.07.2021 23:30:00;   141
22.08.2021 02:15:00;   145
26.09.2021 01:00:00;   143
27.10.2021 12:45:00;   141
01.11.2021 00:15:00;   142
23.12.2021 10:15:00;   145
