Messstelle:                ;Timelkam
HZB-Nummer:                ;205393
HD-Nummer:                 ;5490
DBMS-Nummer:               ;4001086
Gewässer:                  ;Vöckla
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;331,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1940              ;00441,65
   01.01.1977              ;00441,60
   05.12.1989              ;00441,00
   01.01.2006              ;00441,65
   29.06.2013              ;00442,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1962              ;470600,00 - 318500,00
   29.06.2013              ;470204,30 - 318586,40
   01.01.2020              ;470298,62 - 318612,52
Exportzeitreihe:           ;(4001086,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
11.10.1992 18:15:00;    85
08.11.1992 17:45:00;   103
30.12.1992 02:15:00;   103
04.01.1993 20:00:00;    97
27.02.1993 05:30:00;    98
05.03.1993 02:45:00;    93
11.04.1993 04:45:00;    97
20.05.1993 18:00:00;    92
02.06.1993 07:30:00;    94
05.07.1993 15:15:00;    94
15.08.1993 20:15:00;    88
19.09.1993 15:30:00;    92
31.10.1993 12:45:00;    92
21.11.1993 20:45:00;    86
02.12.1993 17:45:00;    92
23.01.1994 15:30:00;   103
21.02.1994 22:45:00;    99
31.03.1994 14:45:00;    95
08.04.1994 18:30:00;   109
16.05.1994 17:15:00;   111
29.06.1994 16:30:00;   103
30.07.1994 19:00:00;    89
17.08.1994 18:15:00;    86
05.09.1994 05:15:00;    79
07.10.1994 18:15:00;    84
10.11.1994 05:15:00;    91
04.12.1994 00:00:00;   104
17.01.1995 12:15:00;   105
13.02.1995 14:15:00;   112
16.03.1995 21:00:00;   113
23.04.1995 09:45:00;   106
29.05.1995 06:00:00;    90
21.06.1995 15:00:00;   104
31.07.1995 13:15:00;    92
25.08.1995 06:15:00;    81
26.09.1995 12:45:00;   106
22.10.1995 02:00:00;    93
01.11.1995 09:30:00;   104
17.12.1995 10:45:00;   103
19.01.1996 23:30:00;   104
13.02.1996 17:30:00;   101
11.03.1996 15:30:00;    87
26.04.1996 22:15:00;   103
09.05.1996 04:45:00;   108
