Messstelle:                ;Strötting
HZB-Nummer:                ;204974
HD-Nummer:                 ;3620
DBMS-Nummer:               ;4001046
Gewässer:                  ;Trattnach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;54
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00376,00
   01.01.1988              ;00379,04
   01.01.2009              ;00378,04
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1976              ;479880,00 - 342910,00
   22.06.2009              ;479868,00 - 342894,00
   01.10.2020              ;479873,64 - 342899,90
Exportzeitreihe:           ;(4001046,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
10.02.2005 20:41:15;    31
11.03.2005 05:45:00;    26
17.04.2005 19:45:00;    29
30.05.2005 17:15:00;    30
30.06.2005 22:15:00;    26
04.07.2005 18:45:00;    23
12.08.2005 21:00:00;    27
02.09.2005 15:15:00;    29
31.10.2005 07:45:00;    29
15.11.2005 13:30:00;    26
01.12.2005 04:30:00;    28
11.01.2006 09:30:00;    31
07.02.2006 04:15:00;    29
02.03.2006 07:45:00;    34
26.04.2006 12:00:00;    36
25.05.2006 21:30:00;    31
20.06.2006 22:15:00;    31
28.07.2006 13:00:00;    25
01.08.2006 00:00:00;    25
28.09.2006 08:30:00;    22
25.10.2006 09:15:00;    22
02.11.2006 16:45:00;    24
28.12.2006 13:45:00;    27
19.01.2007 00:30:00;    30
26.02.2007 08:15:00;    33
31.03.2007 10:15:00;    33
29.04.2007 21:00:00;    25
08.05.2007 07:30:00;    24
21.06.2007 08:00:00;    22
28.07.2007 08:15:00;    19
27.08.2007 21:00:00;    19
01.09.2007 01:00:00;    21
18.10.2007 11:00:00;    21
03.11.2007 15:15:00;    23
30.12.2007 12:15:00;    30
04.01.2008 07:30:00;    27
17.02.2008 05:15:00;    25
11.03.2008 20:45:00;    30
21.04.2008 06:00:00;    33
31.05.2008 21:45:00;    26
28.06.2008 21:45:00;    22
03.07.2008 17:45:00;    22
13.08.2008 11:45:00;    21
07.09.2008 13:15:00;    21
01.10.2008 09:15:00;    22
06.11.2008 15:03:50;    23
17.12.2008 21:38:20;    26
08.01.2009 11:30:00;   125
02.02.2009 06:15:00;   124
22.03.2009 06:00:00;   142
25.04.2009 23:30:00;   128
28.05.2009 20:15:00;   126
02.06.2009 06:30:00;   126
31.07.2009 03:45:00;   135
31.08.2009 21:30:00;   128
27.09.2009 07:15:00;   126
31.10.2009 03:15:00;   124
02.11.2009 11:15:00;   123
19.12.2009 00:30:00;   126
25.01.2010 09:15:00;   128
01.02.2010 09:00:00;   127
08.03.2010 08:45:00;   130
08.04.2010 10:30:00;   130
26.05.2010 03:30:00;   128
28.06.2010 15:15:00;   129
22.07.2010 19:30:00;   127
23.08.2010 22:00:00;   129
23.09.2010 07:00:00;   125
13.10.2010 10:15:00;   123
05.11.2010 11:00:00;   125
05.12.2010 02:45:00;   126
04.01.2011 05:45:00;   123
24.02.2011 02:00:00;   127
14.03.2011 19:15:00;   128
29.04.2011 07:30:00;   124
24.05.2011 02:15:00;   122
30.06.2011 02:30:00;   123
07.07.2011 21:30:00;   123
22.08.2011 09:45:00;   122
01.09.2011 16:00:00;   123
06.10.2011 06:00:00;   123
28.11.2011 00:15:00;   123
01.12.2011 06:30:00;   125
19.01.2012 03:45:00;   135
14.02.2012 18:30:00;   130
27.03.2012 15:00:00;   128
29.04.2012 13:45:00;   126
27.05.2012 09:00:00;   124
03.06.2012 18:45:00;   128
24.07.2012 08:30:00;   128
21.08.2012 06:00:00;   124
11.09.2012 00:15:00;   124
03.10.2012 13:15:00;   122
28.11.2012 08:00:00;   126
12.12.2012 19:30:00;   125
26.01.2013 23:45:00;   132
25.02.2013 15:30:00;   135
16.03.2013 10:15:00;   132
29.04.2013 07:00:00;   130
02.05.2013 06:00:00;   130
20.06.2013 18:45:00;   132
28.07.2013 22:15:00;   126
17.08.2013 23:45:00;   124
10.09.2013 00:30:00;   123
26.10.2013 13:00:00;   123
03.11.2013 04:00:00;   127
30.12.2013 11:30:00;   127
03.01.2014 15:30:00;   127
28.02.2014 19:15:00;   128
15.03.2014 08:15:00;   125
26.04.2014 12:30:00;   125
07.05.2014 14:00:00;   124
28.06.2014 20:00:00;   124
06.07.2014 22:00:00;   124
26.08.2014 03:45:00;   125
11.09.2014 05:00:00;   128
17.10.2014 04:15:00;   128
14.11.2014 09:15:00;   129
05.12.2014 11:15:00;   128
01.01.2015 05:00:00;   132
05.02.2015 01:00:00;   130
24.03.2015 13:45:00;   128
30.04.2015 21:30:00;   131
01.05.2015 00:00:00;   131
26.06.2015 21:45:00;   128
18.07.2015 11:00:00;   123
28.08.2015 19:15:00;   121
19.09.2015 19:45:00;   120
04.10.2015 11:15:00;   121
03.11.2015 10:45:00;   120
23.12.2015 12:00:00;   123
07.01.2016 10:30:00;   122
19.02.2016 13:15:00;   133
29.03.2016 18:00:00;   128
29.04.2016 18:15:00;   126
09.05.2016 17:00:00;   125
24.06.2016 21:15:00;   129
10.07.2016 19:30:00;   127
28.08.2016 21:15:00;   125
03.09.2016 17:15:00;   124
01.10.2016 00:00:00;   124
02.11.2016 08:30:00;   125
07.12.2016 12:15:00;   127
18.01.2017 23:30:00;   122
01.02.2017 00:30:00;   127
17.03.2017 06:15:00;   133
15.04.2017 07:00:00;   129
30.05.2017 00:15:00;   129
23.06.2017 21:30:00;   123
06.07.2017 13:45:00;   122
25.08.2017 15:30:00;   124
27.09.2017 12:15:00;   124
17.10.2017 12:45:00;   123
03.11.2017 16:30:00;   127
04.12.2017 07:30:00;   134
15.01.2018 11:30:00;   138
28.02.2018 23:59:55;   134
20.03.2018 13:00:00;   132
30.04.2018 18:45:00;   127
31.05.2018 20:45:00;   122
08.06.2018 13:15:00;   121
18.07.2018 18:30:00;   118
21.08.2018 13:15:00;   118
10.09.2018 14:15:00;   120
10.10.2018 20:15:00;   118
02.11.2018 18:15:00;   120
01.12.2018 00:00:00;   124
26.01.2019 05:45:00;   133
02.02.2019 14:00:00;   132
29.03.2019 16:30:00;   130
13.04.2019 07:45:00;   124
02.05.2019 22:15:00;   127
28.06.2019 20:00:00;   123
28.07.2019 13:30:00;   120
12.08.2019 05:00:00;   119
30.09.2019 07:15:00;   120
01.10.2019 00:00:00;   120
02.11.2019 09:30:00;   122
05.12.2019 10:45:00;   125
28.01.2020 10:15:00;   126
01.02.2020 17:30:00;   131
29.03.2020 08:00:00;   127
22.04.2020 07:15:00;   123
08.05.2020 05:45:00;   123
14.06.2020 06:45:00;   123
31.07.2020 08:15:00;   125
02.08.2020 23:15:00;   126
16.09.2020 11:30:00;   120
07.10.2020 05:45:00;   127
30.11.2020 07:15:00;   128
02.12.2020 05:30:00;   127
12.01.2021 09:15:00;   126
15.02.2021 01:45:00;   132
04.03.2021 02:00:00;   131
27.04.2021 06:30:00;   130
10.05.2021 11:00:00;   128
21.06.2021 19:30:00;   125
06.07.2021 23:15:00;   126
14.08.2021 18:30:00;   133
26.09.2021 22:15:00;   126
30.10.2021 13:45:00;   123
12.11.2021 16:45:00;   124
23.12.2021 18:00:00;   130
