Messstelle:                ;Mödling
HZB-Nummer:                ;208108
HD-Nummer:                 ;no415
DBMS-Nummer:               ;3001049
Gewässer:                  ;Mödling
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;59
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00223,46
   17.07.2000              ;00222,43
   01.01.2018              ;00223,23
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1896              ;746080,00 - 327182,00
Exportzeitreihe:           ;(3001049,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
03.08.2000 20:05:40;   109
16.09.2000 16:49:40;   111
02.10.2000 00:04:50;   112
09.11.2000 03:55:10;   113
31.12.2000 14:55:20;   112
15.01.2001 03:32:55;   112
03.02.2001 13:15:10;   114
08.03.2001 06:20:45;   112
06.04.2001 03:55:50;   114
28.05.2001 07:13:25;   111
28.06.2001 10:21:10;   106
19.07.2001 01:48:30;   106
27.08.2001 19:12:45;   105
03.09.2001 22:58:55;   107
12.10.2001 16:44:20;   110
22.11.2001 12:42:10;   110
24.12.2001 11:22:30;   112
19.01.2002 11:59:25;   111
01.02.2002 16:17:45;   113
11.03.2002 05:16:00;   113
29.04.2002 20:56:25;   114
31.05.2002 23:59:55;   110
27.06.2002 21:06:25;   107
11.07.2002 05:53:10;   105
04.08.2002 11:36:20;   109
10.09.2002 14:24:30;   111
02.10.2002 05:04:30;   113
22.11.2002 01:27:05;   116
21.12.2002 11:23:30;   116
12.01.2003 07:24:35;   115
24.02.2003 11:18:45;   115
01.03.2003 00:00:00;   117
28.04.2003 15:59:00;   113
09.05.2003 15:23:25;   110
30.06.2003 23:59:55;   105
01.07.2003 15:42:40;   105
24.08.2003 12:20:40;   103
09.09.2003 17:15:15;   104
05.10.2003 02:00:00;   108
18.11.2003 21:46:40;   109
09.12.2003 12:38:30;   109
10.01.2004 10:49:40;   111
01.02.2004 00:00:00;   113
06.03.2004 11:14:30;   113
19.04.2004 17:20:10;   116
12.05.2004 14:47:45;   115
29.06.2004 13:15:55;   113
25.07.2004 22:28:30;   110
30.08.2004 19:56:25;   106
15.09.2004 12:51:50;   106
16.10.2004 07:49:35;   107
03.11.2004 18:06:20;   108
14.12.2004 16:12:30;   110
20.01.2005 10:49:05;   122
05.02.2005 09:37:15;   125
04.03.2005 00:24:15;   124
29.04.2005 20:22:15;   130
31.05.2005 23:59:55;   122
26.06.2005 02:30:15;   112
31.07.2005 23:59:55;   106
04.08.2005 11:48:10;   105
10.09.2005 04:57:50;   122
27.10.2005 12:27:50;   123
08.11.2005 15:54:40;   123
03.12.2005 14:50:20;   123
16.01.2006 07:15:20;   125
06.02.2006 00:05:40;   126
08.03.2006 15:17:40;   130
18.04.2006 13:49:05;   130
23.05.2006 11:07:30;   130
20.06.2006 08:44:50;   128
27.07.2006 12:13:30;   123
01.08.2006 00:00:00;   124
30.09.2006 23:59:55;   124
18.10.2006 05:07:20;   123
23.11.2006 17:31:15;   124
29.12.2006 00:27:25;   123
19.01.2007 01:09:30;   123
04.02.2007 10:10:10;   124
17.03.2007 11:44:55;   125
30.04.2007 12:09:05;   124
05.05.2007 17:16:20;   124
27.06.2007 09:15:25;   122
28.07.2007 13:15:20;   119
07.08.2007 11:32:25;   121
05.09.2007 15:37:30;   121
15.10.2007 23:22:30;   125
05.11.2007 22:55:35;   129
31.12.2007 23:59:55;   132
26.01.2008 16:28:50;   130
17.02.2008 10:57:05;   128
14.03.2008 12:40:00;   128
20.04.2008 13:23:25;   128
18.05.2008 16:26:00;   127
24.06.2008 14:30:35;   124
11.07.2008 01:39:35;   125
26.08.2008 09:29:35;   123
12.09.2008 23:47:30;   121
31.10.2008 23:59:55;   124
01.11.2008 11:58:40;   124
05.12.2008 21:17:35;   126
09.01.2009 16:22:25;   125
04.02.2009 08:21:50;   127
29.03.2009 10:19:45;   141
29.04.2009 14:01:10;   132
27.05.2009 15:31:25;   128
19.06.2009 19:53:50;   125
29.07.2009 20:43:40;   131
29.08.2009 02:28:15;   129
14.09.2009 19:34:35;   125
14.10.2009 05:52:40;   125
02.11.2009 21:39:30;   125
01.12.2009 00:00:00;   127
27.01.2010 07:19:05;   126
19.02.2010 22:22:55;   126
31.03.2010 05:39:25;   127
04.04.2010 15:53:15;   127
13.05.2010 15:28:00;   128
30.06.2010 23:59:55;   130
29.07.2010 12:56:05;   125
03.08.2010 16:37:30;   125
25.09.2010 17:04:15;   125
24.10.2010 02:35:40;   127
16.11.2010 12:17:25;   126
05.12.2010 09:27:10;   126
30.01.2011 09:03:20;   127
24.02.2011 09:37:45;   126
08.03.2011 09:51:50;   126
09.04.2011 23:53:55;   128
27.05.2011 13:29:35;   125
30.06.2011 23:59:55;   124
14.07.2011 14:00:30;   121
26.08.2011 15:43:10;   122
05.09.2011 10:11:30;   121
01.10.2011 08:40:25;   121
29.11.2011 13:20:00;   124
01.12.2011 00:00:00;   124
01.01.2012 17:06:15;   125
23.02.2012 10:16:20;   127
27.03.2012 10:41:00;   126
30.04.2012 23:59:55;   125
30.05.2012 17:50:15;   122
23.06.2012 03:34:35;   121
12.07.2012 11:57:50;   121
31.08.2012 18:41:20;   120
12.09.2012 12:25:00;   120
07.10.2012 13:28:00;   121
29.11.2012 11:24:05;   121
09.12.2012 12:52:55;   120
04.01.2013 00:32:50;   125
23.02.2013 13:00:00;   128
28.03.2013 12:45:00;   127
30.04.2013 23:59:55;   132
26.05.2013 15:10:00;   126
21.06.2013 21:15:00;   126
29.07.2013 12:55:00;   122
04.08.2013 17:05:00;   121
09.09.2013 10:10:00;   122
04.10.2013 09:45:00;   122
22.11.2013 17:55:00;   123
09.12.2013 08:40:00;   124
26.01.2014 13:50:00;   123
