Messstelle:                ;Nötsch
HZB-Nummer:                ;212753
HD-Nummer:                 ;00419
DBMS-Nummer:               ;2001038
Gewässer:                  ;Gail
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;908,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1891              ;00549,15
   26.04.1929              ;00548,74
   15.07.1940              ;00545,74
   01.01.1954              ;00545,95
   01.01.1976              ;00545,95
   18.03.2003              ;00546,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1882              ;471650,10 - 160286,80
   04.08.2015              ;471573,00 - 160408,00
Exportzeitreihe:           ;(2001038,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 01:00,01.01.2022 00:00]
Werte:
28.06.1994 20:00:00;   145
18.07.1994 00:45:00;   137
06.08.1994 21:00:00;   132
08.09.1994 22:30:00;   150
24.10.1994 01:45:00;   143
30.11.1994 23:59:55;   142
18.12.1994 21:15:00;   130
08.01.1995 17:30:00;   123
01.02.1995 00:15:00;   125
01.03.1995 00:00:00;   130
02.04.1995 13:15:00;   139
05.05.1995 17:15:00;   161
30.06.1995 23:59:55;   168
31.07.1995 23:59:55;   139
07.08.1995 10:30:00;   133
04.09.1995 02:45:00;   135
31.10.1995 23:59:55;   130
27.11.1995 23:45:00;   126
23.12.1995 06:30:00;   123
31.01.1996 23:59:55;   122
10.02.1996 18:00:00;   117
04.03.1996 15:15:00;   117
05.04.1996 18:15:00;   129
31.05.1996 21:00:00;   166
19.06.1996 06:00:00;   137
30.07.1996 08:00:00;   156
10.08.1996 17:00:00;   152
21.09.1996 20:30:00;   146
02.10.1996 01:45:00;   149
09.11.1996 16:00:00;   170
31.12.1996 07:00:00;   157
29.01.1997 08:47:00;   149
19.02.1997 16:53:00;   144
31.03.1997 17:06:00;   146
26.04.1997 00:00:00;   138
02.05.1997 16:01:00;   146
07.06.1997 20:18:00;   152
29.07.1997 03:25:00;   160
28.08.1997 09:33:00;   148
30.09.1997 05:34:00;   142
30.10.1997 08:07:00;   133
02.11.1997 05:51:00;   133
17.12.1997 10:25:00;   149
31.01.1998 04:10:30;   140
05.02.1998 13:43:00;   138
25.03.1998 18:25:00;   137
01.04.1998 00:00:00;   139
29.05.1998 07:45:00;   165
22.06.1998 08:52:30;   166
21.07.1998 04:37:00;   160
27.08.1998 07:06:00;   152
03.09.1998 19:07:00;   152
01.10.1998 00:00:00;   172
30.11.1998 10:50:00;   157
31.12.1998 23:59:55;   110
31.01.1999 23:59:55;    73
18.02.1999 02:47:45;    71
01.03.1999 05:32:25;    73
01.04.1999 00:00:00;   100
31.05.1999 21:43:00;   146
30.06.1999 00:22:00;   109
09.07.1999 04:33:00;    97
05.08.1999 16:18:00;   102
18.09.1999 09:07:00;   103
23.10.1999 10:29:00;   120
30.11.1999 14:13:00;   106
31.12.1999 23:59:55;    90
27.01.2000 12:35:00;    79
03.02.2000 08:41:00;    80
01.03.2000 00:00:00;    84
03.04.2000 11:43:00;   106
31.05.2000 13:41:00;   119
21.06.2000 09:06:00;    97
05.07.2000 04:05:00;    98
27.08.2000 09:52:00;    96
14.09.2000 17:07:35;    89
01.10.2000 00:00:00;   109
30.11.2000 23:59:55;   190
31.12.2000 23:59:55;   138
06.01.2001 08:43:00;   131
27.02.2001 23:38:15;   109
03.03.2001 14:41:35;   108
19.04.2001 05:48:00;   133
27.05.2001 20:07:00;   166
30.06.2001 19:54:35;   118
11.07.2001 18:01:40;   106
30.08.2001 23:43:05;    90
13.09.2001 15:21:00;   100
31.10.2001 23:59:55;   100
30.11.2001 23:59:55;    96
31.12.2001 23:59:55;    87
14.01.2002 11:05:25;    87
01.02.2002 00:00:00;    88
02.03.2002 00:01:50;    91
03.04.2002 11:45:10;    96
01.05.2002 03:31:15;   116
23.06.2002 19:53:00;   126
29.07.2002 23:26:00;   117
04.08.2002 01:02:00;   116
21.09.2002 07:39:00;   111
10.10.2002 10:05:00;   122
14.11.2002 05:24:45;   121
27.12.2002 07:42:00;   145
30.01.2003 09:57:55;   128
26.02.2003 15:25:05;   118
25.03.2003 21:28:30;   116
02.04.2003 18:51:40;   119
13.05.2003 07:18:15;   142
30.06.2003 23:59:55;   123
16.07.2003 02:47:10;   119
14.08.2003 12:35:00;   113
29.09.2003 09:43:35;   122
03.10.2003 03:27:25;   121
17.11.2003 01:38:30;   166
26.12.2003 01:31:35;   140
31.01.2004 12:43:00;   124
21.02.2004 22:02:05;   123
12.03.2004 20:37:30;   122
01.04.2004 00:00:00;   165
18.05.2004 13:25:00;   187
19.06.2004 01:55:00;   175
31.07.2004 23:59:55;   149
19.08.2004 21:18:00;   137
11.09.2004 22:33:00;   138
09.10.2004 05:43:45;   135
28.11.2004 20:52:30;   150
22.12.2004 13:37:30;   131
29.01.2005 13:07:30;   122
17.02.2005 21:07:30;   118
07.03.2005 20:07:30;   115
08.04.2005 00:07:30;   140
14.05.2005 17:22:30;   151
28.06.2005 19:07:30;   129
01.07.2005 00:00:00;   133
11.08.2005 10:07:30;   131
15.09.2005 15:45:00;   136
31.10.2005 07:37:30;   148
24.11.2005 20:22:30;   130
26.12.2005 07:22:30;   122
27.01.2006 19:22:30;   114
08.02.2006 11:22:30;   106
03.03.2006 07:37:30;   120
09.04.2006 09:52:30;   161
31.05.2006 21:52:30;   182
27.06.2006 21:07:30;   142
22.07.2006 06:37:30;   128
01.08.2006 05:37:30;   131
15.09.2006 05:22:30;   135
22.10.2006 13:37:30;   136
30.11.2006 10:22:30;   128
05.12.2006 10:52:30;   126
18.01.2007 17:37:30;   126
01.02.2007 06:07:30;   127
01.03.2007 08:22:30;   140
03.04.2007 06:52:30;   156
26.05.2007 01:37:30;   143
21.06.2007 21:37:30;   139
28.07.2007 01:52:30;   137
07.08.2007 12:07:30;   132
26.09.2007 05:07:30;   134
23.10.2007 08:07:30;   136
20.11.2007 17:22:30;   129
29.12.2007 17:22:30;   126
03.01.2008 11:22:30;   123
17.02.2008 11:52:30;   126
01.03.2008 00:00:00;   131
06.04.2008 01:07:30;   134
01.05.2008 00:00:00;   163
29.06.2008 22:07:30;   153
06.07.2008 05:07:30;   148
06.08.2008 23:52:30;   145
30.09.2008 08:22:30;   141
27.10.2008 15:52:30;   135
28.11.2008 09:37:30;   166
31.12.2008 14:37:30;   148
16.01.2009 11:37:30;   141
26.02.2009 08:37:30;   147
01.03.2009 00:00:00;   148
01.04.2009 08:22:30;   195
31.05.2009 22:52:30;   205
30.06.2009 14:07:30;   172
30.07.2009 23:07:30;   152
28.08.2009 09:22:30;   140
04.09.2009 10:37:30;   142
20.10.2009 19:45:00;   142
28.11.2009 21:30:00;   142
21.12.2009 14:30:00;   143
29.01.2010 11:15:00;   145
18.02.2010 15:00:00;   135
14.03.2010 15:30:00;   139
16.04.2010 19:00:00;   162
24.05.2010 17:37:30;   185
30.06.2010 01:37:30;   165
28.07.2010 14:37:30;   141
03.08.2010 04:07:30;   141
16.09.2010 07:52:30;   148
24.10.2010 15:15:00;   154
30.11.2010 16:37:30;   189
21.12.2010 13:07:30;   168
31.01.2011 13:07:30;   156
24.02.2011 11:00:00;   146
08.03.2011 11:22:30;   142
01.04.2011 00:52:30;   169
07.05.2011 07:30:00;   170
03.06.2011 07:15:00;   185
13.07.2011 23:48:15;   160
