Messstelle:                ;Mettmach
HZB-Nummer:                ;204693
HD-Nummer:                 ;2460
DBMS-Nummer:               ;4001019
Gewässer:                  ;Mettmach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;30,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1961              ;00457,34
   01.01.2015              ;00454,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1961              ;450935,00 - 337355,00
   01.01.2015              ;450779,42 - 337521,00
   24.03.2020              ;450781,44 - 337530,63
Exportzeitreihe:           ;(4001019,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
04.11.2001 03:39:20;    14
19.12.2001 11:55:05;    34
18.01.2002 07:33:20;    30
06.02.2002 16:44:45;    27
13.03.2002 07:44:05;    29
07.04.2002 11:45:55;    31
26.05.2002 05:28:15;    27
23.06.2002 12:05:15;    27
11.07.2002 08:39:15;    27
26.08.2002 19:58:10;    24
17.09.2002 12:14:00;    28
10.10.2002 06:19:45;    28
17.11.2002 14:40:25;    34
05.12.2002 08:41:50;    31
22.01.2003 09:53:00;    35
22.02.2003 06:31:10;    35
24.03.2003 14:38:05;    35
30.04.2003 12:58:40;    31
27.05.2003 09:13:20;    30
28.06.2003 05:31:45;    29
08.07.2003 10:37:55;    28
11.08.2003 14:51:15;    29
25.09.2003 16:43:15;    26
27.10.2003 10:19:55;    28
09.11.2003 11:31:30;    27
21.12.2003 10:26:55;    30
29.01.2004 16:12:50;    31
09.02.2004 07:05:55;    30
16.03.2004 08:51:00;    31
30.04.2004 10:01:50;    30
01.05.2004 11:58:30;    30
02.06.2004 00:01:15;    31
12.07.2004 11:27:45;    27
26.08.2004 23:50:15;    30
21.09.2004 01:16:45;    31
30.10.2004 08:36:50;    27
21.11.2004 11:36:15;    27
03.12.2004 13:48:25;    28
08.01.2005 16:53:30;    32
14.02.2005 18:04:20;    28
15.03.2005 17:49:30;    32
09.04.2005 17:10:55;    30
15.05.2005 08:10:15;    25
29.06.2005 08:55:00;    26
06.07.2005 07:00:35;    27
22.08.2005 08:06:40;    25
30.09.2005 08:36:25;    28
03.10.2005 05:51:55;    26
10.11.2005 10:48:40;    28
17.12.2005 15:30:00;    30
10.01.2006 00:34:15;    29
18.02.2006 11:45:20;    27
08.03.2006 11:04:15;    30
12.04.2006 09:06:00;    27
15.05.2006 07:35:50;    25
30.06.2006 04:08:20;    28
18.07.2006 15:33:10;    28
09.08.2006 06:51:00;    27
27.09.2006 14:47:20;    27
13.10.2006 09:13:15;    29
10.11.2006 05:10:40;    29
12.12.2006 16:13:15;    27
22.01.2007 11:06:15;    27
19.02.2007 13:30:20;    26
13.03.2007 11:27:40;    26
14.04.2007 21:56:15;    25
22.05.2007 13:44:40;    25
18.06.2007 16:05:25;    25
25.07.2007 17:54:40;    26
08.08.2007 19:05:40;    27
27.09.2007 21:46:30;    27
09.10.2007 08:58:50;    28
27.11.2007 07:43:40;    29
31.12.2007 16:57:40;    24
08.01.2008 10:52:30;    26
04.02.2008 10:45:20;    26
13.03.2008 10:20:00;    25
05.04.2008 14:45:00;    25
19.05.2008 10:05:00;    26
16.06.2008 13:50:00;    26
21.07.2008 10:10:00;    27
04.08.2008 11:10:00;    27
30.09.2008 06:40:00;    26
07.10.2008 17:00:00;    26
24.11.2008 07:05:00;    25
16.12.2008 19:45:00;    25
03.01.2009 23:55:00;    27
03.02.2009 15:50:00;    25
02.03.2009 12:10:00;    27
27.04.2009 15:30:00;    26
11.05.2009 23:10:00;    27
02.06.2009 16:20:00;    29
17.07.2009 07:40:00;    26
10.08.2009 14:25:00;    25
21.09.2009 14:05:00;    25
06.10.2009 15:30:00;    25
18.11.2009 10:25:00;    25
22.12.2009 09:20:00;    25
03.01.2010 16:55:00;    25
07.02.2010 10:45:00;    28
25.03.2010 08:50:00;    28
23.04.2010 06:30:00;    22
02.05.2010 07:15:00;    22
17.06.2010 11:55:00;    23
16.07.2010 00:45:00;    21
26.08.2010 05:45:00;    24
14.09.2010 16:55:00;    23
07.10.2010 12:15:00;    24
04.11.2010 09:40:00;    24
02.12.2010 16:55:00;    25
11.01.2011 08:10:00;    26
04.02.2011 07:25:00;    29
03.03.2011 07:25:00;    30
29.04.2011 18:20:00;    31
26.05.2011 20:00:00;    30
30.06.2011 08:10:00;    31
27.07.2011 18:40:00;    22
12.08.2011 06:35:00;    21
29.09.2011 17:10:00;    20
03.10.2011 15:05:00;    20
08.11.2011 15:05:00;    24
01.12.2011 16:30:00;    25
27.01.2012 11:30:00;    27
28.02.2012 11:10:00;    24
17.03.2012 11:10:00;    20
18.04.2012 12:35:00;    24
06.05.2012 13:00:00;    26
24.06.2012 06:45:00;    24
26.07.2012 16:20:00;    24
06.08.2012 11:05:00;    24
05.09.2012 16:45:00;    24
11.10.2012 15:50:00;    24
02.11.2012 15:15:00;    25
01.12.2012 18:45:00;    27
13.01.2013 13:30:00;    27
27.02.2013 18:45:00;    25
04.03.2013 08:15:00;    28
13.04.2013 12:00:00;    26
09.05.2013 15:10:00;    26
07.06.2013 14:50:00;    26
15.07.2013 16:25:00;    25
12.08.2013 16:45:00;    24
11.09.2013 18:15:00;    24
01.10.2013 17:05:50;    25
02.11.2013 16:15:00;    27
22.12.2013 04:25:00;    29
30.01.2014 14:35:00;    28
23.02.2014 10:45:00;    30
11.03.2014 09:30:00;    28
07.04.2014 11:00:00;    28
06.05.2014 23:15:00;    30
26.06.2014 14:25:00;    29
16.07.2014 17:55:00;    28
12.08.2014 14:40:00;    26
10.09.2014 09:50:00;    27
06.10.2014 12:00:00;    26
17.11.2014 14:45:00;    26
18.12.2014 14:50:00;    25
02.01.2015 14:30:00;   100
26.02.2015 15:30:00;    97
20.03.2015 08:30:00;    95
27.04.2015 19:30:00;    96
14.05.2015 07:00:00;   100
27.06.2015 13:30:00;   100
17.07.2015 19:45:00;    94
21.08.2015 06:30:00;    96
30.09.2015 14:15:00;    93
31.10.2015 10:30:00;    95
05.11.2015 16:45:00;    93
16.12.2015 15:00:00;    96
03.01.2016 00:45:00;    99
09.02.2016 17:00:00;    98
07.03.2016 11:45:00;    96
16.04.2016 15:45:00;    94
30.05.2016 11:45:00;    93
26.06.2016 05:00:00;    96
10.07.2016 22:15:00;    90
02.08.2016 08:30:00;    85
06.09.2016 06:30:00;    84
29.10.2016 16:15:00;    83
01.11.2016 17:45:00;    82
27.12.2016 17:30:00;    80
06.01.2017 06:00:00;    85
10.02.2017 15:30:00;    89
06.03.2017 17:15:00;    83
15.04.2017 08:15:00;    83
25.05.2017 18:30:00;    83
10.06.2017 07:30:00;    82
19.07.2017 20:45:00;    81
02.08.2017 17:30:00;    80
27.09.2017 11:00:00;    82
01.10.2017 17:30:00;    85
05.11.2017 18:00:00;    85
30.12.2017 11:30:00;    87
02.01.2018 09:30:00;    97
01.02.2018 16:00:00;   103
20.03.2018 09:15:00;    99
01.04.2018 19:00:00;    94
30.05.2018 05:00:00;    90
30.06.2018 13:45:00;    92
18.07.2018 17:15:00;    88
23.08.2018 18:30:00;    88
19.09.2018 21:45:00;    90
20.10.2018 12:15:00;    90
20.11.2018 16:15:00;    91
26.12.2018 12:45:00;    87
05.01.2019 10:30:00;    92
07.02.2019 01:30:00;    86
14.03.2019 16:30:00;    85
17.04.2019 11:45:00;    83
07.05.2019 10:00:00;    87
20.06.2019 17:15:00;    86
29.07.2019 13:00:00;    84
26.08.2019 19:00:00;    84
25.09.2019 19:00:00;    83
06.10.2019 14:45:00;    85
19.11.2019 17:00:00;    86
04.12.2019 12:45:00;    87
30.01.2020 16:00:00;    84
07.02.2020 11:30:00;    89
25.03.2020 08:15:00;    88
17.04.2020 18:45:00;    81
10.05.2020 20:30:00;    83
25.06.2020 12:45:00;    87
28.07.2020 20:45:00;    85
26.08.2020 11:15:00;    88
17.09.2020 04:00:00;    89
17.10.2020 18:15:00;    90
28.11.2020 18:00:00;    86
28.12.2020 16:45:00;    90
11.01.2021 04:00:00;    90
14.02.2021 16:32:35;    94
03.03.2021 16:30:00;    91
06.04.2021 17:30:00;    93
31.05.2021 09:15:00;    90
14.06.2021 10:30:00;    89
01.07.2021 17:45:00;    89
17.08.2021 18:30:00;    91
01.09.2021 17:00:00;    89
31.10.2021 19:15:00;    91
19.11.2021 14:30:00;    89
12.12.2021 17:30:00;    91
