Messstelle:                ;Kaprun
HZB-Nummer:                ;203109
HD-Nummer:                 ;
DBMS-Nummer:               ;5001010
Gewässer:                  ;Kapruner Ache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Verbund Hydro Power AG
orogr.Einzugsgebiet [km²]: ;88,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00763,83
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1920              ;406580,00 - 237230,00
Exportzeitreihe:           ;(5001010,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:15,01.01.2022 00:00]
Werte:
16.04.1994 22:30:00;    21
11.05.1994 14:45:00;    35
18.06.1994 13:45:00;    49
31.07.1994 05:45:00;    43
17.08.1994 01:45:00;    41
30.09.1994 14:15:00;    41
31.10.1994 05:15:00;    33
17.11.1994 10:00:00;    19
28.12.1994 17:00:00;    23
25.01.1995 10:15:00;    26
12.02.1995 15:00:00;    26
13.03.1995 22:30:00;    19
04.04.1995 04:45:00;    34
22.05.1995 07:15:00;    36
04.06.1995 10:00:00;    46
30.07.1995 04:45:00;    48
12.08.1995 05:00:00;    46
24.09.1995 14:30:00;    46
31.10.1995 04:15:00;    33
23.11.1995 02:00:00;    28
28.12.1995 07:15:00;    26
28.01.1996 13:45:00;    27
24.02.1996 23:45:00;    26
05.03.1996 10:15:00;    26
05.04.1996 10:15:00;    30
06.05.1996 09:15:00;    42
15.06.1996 03:00:00;    50
31.07.1996 20:45:00;    49
31.08.1996 22:15:00;    47
21.09.1996 12:45:00;    44
31.10.1996 11:45:00;    35
28.11.1996 23:00:00;    38
19.12.1996 16:15:00;    30
26.01.1997 07:05:00;    29
12.02.1997 22:45:00;    24
01.03.1997 11:25:00;    26
25.04.1997 22:50:00;    19
01.05.1997 10:40:00;    32
01.06.1997 12:35:00;    43
13.07.1997 18:40:00;    49
24.08.1997 15:45:00;    44
30.09.1997 21:55:00;    36
26.10.1997 16:20:00;    33
26.11.1997 22:15:00;    29
30.12.1997 22:20:00;    30
25.01.1998 02:10:00;    26
21.02.1998 14:30:00;    25
31.03.1998 05:50:00;    24
26.04.1998 20:30:00;    26
07.05.1998 13:45:00;    28
02.06.1998 09:25:00;    45
31.07.1998 05:30:00;    51
30.08.1998 03:15:00;    45
03.09.1998 01:20:00;    43
15.10.1998 12:15:00;    37
18.11.1998 09:05:00;    24
27.12.1998 13:35:00;    29
21.01.1999 20:00:00;    20
13.02.1999 07:00:00;    26
09.03.1999 05:30:00;    24
22.04.1999 19:45:00;    28
02.05.1999 09:15:00;    50
25.06.1999 03:15:00;    51
31.07.1999 15:00:00;    51
26.08.1999 05:00:00;    47
24.09.1999 03:30:00;    39
26.10.1999 01:30:00;    32
28.11.1999 09:00:00;    31
16.12.1999 05:30:00;    23
19.01.2000 06:55:00;    21
17.02.2000 22:30:00;    24
05.03.2000 10:50:00;    24
06.04.2000 00:15:00;    32
02.05.2000 19:00:00;    39
01.06.2000 08:00:00;    49
03.07.2000 01:00:00;    43
30.08.2000 01:05:00;    38
26.09.2000 21:30:00;    39
31.10.2000 13:40:00;    25
27.11.2000 20:55:00;    37
22.12.2000 23:05:00;    30
10.01.2001 22:25:00;    24
04.02.2001 17:55:00;    26
07.03.2001 06:25:00;    24
23.04.2001 04:35:00;    33
10.05.2001 13:05:00;    46
05.06.2001 02:15:00;    47
30.07.2001 04:55:00;    47
27.08.2001 18:05:00;    38
13.09.2001 23:30:00;    39
25.10.2001 19:50:00;    30
12.11.2001 14:10:00;    20
16.12.2001 22:20:00;    24
04.01.2002 22:55:00;    24
13.02.2002 14:10:00;    29
12.03.2002 05:55:00;    28
12.04.2002 06:10:00;    30
01.05.2002 13:20:00;    40
29.06.2002 21:30:00;    48
14.07.2002 00:40:00;    45
27.08.2002 09:05:00;    43
22.09.2002 02:40:00;    36
30.10.2002 18:45:00;    38
30.11.2002 23:59:55;    36
30.12.2002 10:00:00;    31
20.01.2003 23:50:00;    26
19.02.2003 03:50:00;    43
05.03.2003 15:40:00;    18
17.04.2003 15:55:00;    19
01.05.2003 11:55:00;    44
24.06.2003 15:05:00;    53
27.07.2003 19:30:00;    60
31.08.2003 14:20:00;    65
04.09.2003 12:30:00;    47
31.10.2003 17:30:00;    42
02.11.2003 11:45:00;    48
30.12.2003 17:15:00;    30
07.01.2004 15:50:00;    24
29.02.2004 16:50:00;    30
02.03.2004 16:40:00;    23
01.04.2004 05:40:00;    36
11.05.2004 13:25:00;    46
15.06.2004 15:40:00;    52
05.07.2004 15:40:00;    57
17.08.2004 07:50:00;    50
21.09.2004 05:55:00;    45
14.10.2004 08:25:00;    42
28.11.2004 01:00:00;    35
19.12.2004 16:45:00;    32
10.01.2005 01:00:00;    28
02.02.2005 14:55:00;    28
17.03.2005 10:25:00;    21
02.04.2005 08:05:00;    33
13.05.2005 06:40:00;    43
15.06.2005 14:25:00;    45
04.07.2005 19:15:00;    48
10.08.2005 15:45:00;    51
25.09.2005 08:50:00;    47
22.10.2005 03:40:00;    42
30.11.2005 15:25:00;    38
25.12.2005 15:55:00;    34
31.01.2006 15:35:00;    31
24.02.2006 22:25:00;    46
16.03.2006 23:05:00;    30
14.04.2006 06:25:00;    36
03.05.2006 16:15:00;    50
08.06.2006 14:35:00;    52
19.07.2006 23:05:00;    73
01.08.2006 04:20:00;    49
30.09.2006 13:00:00;    44
16.10.2006 12:30:00;    32
11.11.2006 08:10:00;    37
22.12.2006 23:05:00;    32
05.01.2007 21:40:00;    32
17.02.2007 10:05:00;    32
24.03.2007 01:20:00;    33
25.04.2007 06:15:00;    44
09.05.2007 22:10:00;    45
01.06.2007 00:00:00;    46
27.07.2007 17:30:00;    50
19.08.2007 10:10:00;    46
29.09.2007 19:00:00;    48
14.10.2007 12:20:00;    44
16.11.2007 15:20:00;    36
18.12.2007 10:15:00;    25
10.01.2008 16:50:00;    24
26.02.2008 15:50:00;    27
05.03.2008 18:25:00;    26
03.04.2008 16:45:00;    27
02.05.2008 20:50:00;    44
22.06.2008 19:40:00;    55
20.07.2008 04:00:00;    56
28.08.2008 00:35:00;    52
09.09.2008 15:45:00;    47
29.10.2008 16:00:00;    36
02.11.2008 08:00:00;    37
14.12.2008 08:55:00;    31
07.01.2009 23:15:00;    57
26.02.2009 23:30:00;    28
05.03.2009 11:00:00;    23
01.04.2009 02:15:00;    33
01.05.2009 16:45:00;    43
02.06.2009 16:30:00;    45
13.07.2009 15:00:00;    52
17.08.2009 07:00:00;    48
23.09.2009 20:30:00;    56
22.10.2009 09:15:00;    44
25.11.2009 10:15:00;    52
20.12.2009 15:00:00;    31
17.01.2010 00:30:00;    30
02.02.2010 22:30:00;    30
30.03.2010 14:15:00;    32
26.04.2010 22:15:00;    27
21.05.2010 07:15:00;    45
23.06.2010 08:15:00;    54
08.07.2010 05:15:00;    49
22.08.2010 07:15:00;    54
25.09.2010 01:30:00;    51
03.10.2010 15:15:00;    42
28.11.2010 07:15:00;    39
23.12.2010 11:30:00;    36
30.01.2011 03:45:00;    32
11.02.2011 00:45:00;    32
01.03.2011 00:45:00;    36
03.04.2011 11:15:00;    36
28.05.2011 22:00:00;    25
05.06.2011 13:00:00;    48
03.07.2011 15:15:00;    47
31.08.2011 03:00:00;    50
17.09.2011 05:45:00;    43
30.10.2011 07:30:00;    39
16.11.2011 04:15:00;    35
31.12.2011 08:30:00;    30
01.01.2012 00:00:00;    31
12.02.2012 10:30:00;    30
15.03.2012 13:15:00;    26
12.04.2012 08:30:00;    35
19.05.2012 13:00:00;    44
17.06.2012 09:45:00;    47
08.07.2012 13:30:00;    55
13.08.2012 09:15:00;    61
30.09.2012 09:00:00;    62
24.10.2012 09:00:00;    43
06.11.2012 12:30:00;    39
31.12.2012 09:15:00;    34
15.01.2013 23:25:00;    34
15.02.2013 23:20:00;    29
04.03.2013 14:30:00;    21
08.04.2013 18:45:00;    30
21.05.2013 17:20:00;    45
01.06.2013 13:35:00;    58
23.07.2013 12:30:00;    52
23.08.2013 08:55:00;    41
08.09.2013 12:00:00;    63
23.10.2013 06:45:00;    42
22.11.2013 01:55:00;    43
23.12.2013 22:05:00;    33
29.01.2014 18:25:00;    31
26.02.2014 08:55:00;    31
12.03.2014 07:40:00;    31
03.04.2014 11:35:00;    38
05.05.2014 23:50:00;    47
04.06.2014 00:45:00;    48
24.07.2014 06:35:00;    50
06.08.2014 23:15:00;    57
30.09.2014 00:50:00;    46
19.10.2014 00:45:00;    41
29.11.2014 14:15:00;    35
02.12.2014 15:40:00;    29
02.01.2015 13:05:00;    30
04.02.2015 05:30:00;    30
23.03.2015 20:15:00;    28
02.04.2015 07:25:00;    31
01.05.2015 12:05:00;    42
01.06.2015 08:55:00;    54
16.07.2015 12:35:00;    44
10.08.2015 14:00:00;    48
15.09.2015 13:05:00;    39
31.10.2015 13:45:00;    39
22.11.2015 07:20:00;    24
02.12.2015 16:45:00;    23
20.01.2016 09:15:00;    28
28.02.2016 05:10:00;    44
10.03.2016 10:05:00;    27
06.04.2016 17:25:00;    40
06.05.2016 11:50:00;    42
05.06.2016 07:00:00;    56
10.07.2016 05:55:00;    60
28.08.2016 01:25:00;    50
25.09.2016 01:15:00;    43
23.10.2016 00:45:00;    41
13.11.2016 08:35:00;    25
30.12.2016 00:40:00;    29
09.01.2017 21:35:00;    20
05.02.2017 10:00:00;    25
01.03.2017 03:00:00;    27
25.04.2017 09:30:00;    28
01.05.2017 08:55:00;    37
18.06.2017 14:45:00;    38
06.07.2017 10:45:00;    45
25.08.2017 07:00:00;    44
26.09.2017 15:30:00;    42
27.10.2017 03:00:00;    36
18.11.2017 22:00:00;    32
05.12.2017 15:00:00;    20
24.01.2018 07:00:00;    25
04.02.2018 09:45:00;    24
01.03.2018 06:30:00;    25
03.04.2018 15:15:00;    33
24.05.2018 00:00:00;    42
16.06.2018 14:45:00;    45
28.07.2018 17:45:00;    39
18.08.2018 13:30:00;    40
21.09.2018 10:00:00;    39
23.10.2018 16:00:00;    20
30.11.2018 04:15:00;    28
06.12.2018 09:45:00;    22
26.01.2019 22:30:00;    23
01.02.2019 00:00:00;    24
03.03.2019 02:45:00;    27
01.04.2019 11:00:00;    34
09.05.2019 11:00:00;    29
01.06.2019 00:00:00;    51
24.07.2019 05:00:00;    46
28.08.2019 06:15:00;    42
23.09.2019 04:30:00;    39
27.10.2019 00:00:00;    34
13.11.2019 09:45:00;    26
28.12.2019 18:15:00;    32
16.01.2020 18:00:00;    30
15.02.2020 12:45:00;    29
01.03.2020 08:15:00;    32
01.04.2020 05:15:00;    29
30.05.2020 17:00:00;    41
02.06.2020 08:45:00;    40
30.07.2020 10:00:00;    49
22.08.2020 11:45:00;    43
30.09.2020 08:00:00;    38
10.10.2020 10:45:00;    41
30.11.2020 03:00:00;    32
27.12.2020 04:15:00;    28
20.01.2021 15:45:00;    25
02.02.2021 10:45:00;    25
15.03.2021 16:00:00;    26
20.04.2021 09:15:00;    27
03.05.2021 10:00:00;    32
02.06.2021 08:30:00;    42
01.07.2021 09:45:00;    48
06.08.2021 00:30:00;    53
18.09.2021 18:30:00;    41
24.10.2021 23:30:00;    27
03.11.2021 09:15:00;    21
06.12.2021 14:45:00;    20
