Messstelle:                ;Gaming
HZB-Nummer:                ;207746
HD-Nummer:                 ;no090
DBMS-Nummer:               ;3001014
Gewässer:                  ;Gamingbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;51,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00399,00
   01.01.1979              ;00396,15
   01.10.2006              ;00396,14
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1964              ;658312,00 - 312084,00
   01.01.1965              ;658308,00 - 312083,00
Exportzeitreihe:           ;(3001014,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
25.08.1999 15:00:55;   151
30.09.1999 09:07:55;   153
08.10.1999 18:31:50;   148
14.11.1999 14:15:15;   147
01.12.1999 02:44:10;   152
28.01.2000 05:30:25;   153
17.02.2000 06:25:35;   163
06.03.2000 14:30:55;   167
27.04.2000 10:59:00;   158
30.05.2000 08:09:00;   152
22.06.2000 10:50:00;   149
26.07.2000 16:49:00;   148
25.08.2000 17:04:40;   148
06.09.2000 06:06:30;   146
16.10.2000 17:41:50;   149
26.11.2000 11:45:30;   143
05.12.2000 12:41:45;   147
24.01.2001 12:14:10;   148
02.02.2001 12:58:40;   151
01.03.2001 09:38:45;   152
07.04.2001 07:42:40;   158
30.05.2001 14:49:00;   152
30.06.2001 18:42:05;   147
11.07.2001 17:28:55;   147
04.08.2001 17:08:35;   142
03.09.2001 15:21:15;   147
10.10.2001 18:27:35;   149
17.11.2001 13:56:00;   146
18.12.2001 14:38:55;   150
18.01.2002 15:57:05;   154
19.02.2002 23:44:20;   160
14.03.2002 15:27:00;   157
16.04.2002 10:27:40;   152
25.05.2002 16:25:20;   147
26.06.2002 11:16:15;   148
10.07.2002 08:50:35;   150
01.08.2002 23:44:55;   150
21.09.2002 07:26:05;   153
28.10.2002 07:14:00;   156
29.11.2002 16:48:55;   155
02.12.2002 13:29:15;   152
12.01.2003 10:00:00;   158
23.02.2003 04:30:40;   156
02.03.2003 04:04:55;   157
10.04.2003 08:35:15;   156
29.05.2003 19:41:10;   149
14.06.2003 15:52:25;   146
16.07.2003 15:54:45;   144
29.08.2003 00:02:50;   147
07.09.2003 04:40:40;   146
26.10.2003 11:41:15;   148
27.11.2003 13:25:35;   143
04.12.2003 00:21:30;   147
08.01.2004 04:32:20;   148
01.02.2004 03:58:25;   153
11.03.2004 18:26:45;   156
23.04.2004 16:56:00;   160
12.05.2004 16:24:30;   156
14.06.2004 11:23:15;   158
20.07.2004 17:06:15;   150
11.08.2004 06:23:35;   142
08.09.2004 13:01:45;   148
05.10.2004 16:57:35;   149
06.11.2004 17:29:30;   150
21.12.2004 04:14:15;   148
01.01.2005 01:30:40;   152
09.02.2005 21:45:50;   150
12.03.2005 14:15:20;   150
18.04.2005 04:35:00;   162
16.05.2005 15:35:00;   159
30.06.2005 21:24:55;   155
01.07.2005 03:23:55;   155
02.08.2005 13:02:05;   152
24.09.2005 13:10:00;   153
15.10.2005 09:55:00;   144
05.11.2005 14:20:00;   147
10.12.2005 14:50:00;   149
30.01.2006 08:20:00;   148
05.02.2006 09:05:00;   147
08.03.2006 17:10:00;   153
27.04.2006 18:30:00;   170
22.05.2006 21:50:00;   156
26.06.2006 01:05:00;   159
27.07.2006 13:50:00;   156
03.08.2006 07:25:00;   157
13.09.2006 10:50:00;   149
04.10.2006 08:00:00;   150
04.11.2006 22:35:55;   148
26.12.2006 15:45:00;   148
19.01.2007 01:30:00;   145
27.02.2007 14:55:00;   148
20.03.2007 06:05:00;   149
30.04.2007 23:25:00;   149
30.05.2007 05:15:00;   147
28.06.2007 18:35:00;   144
24.07.2007 00:35:00;   147
07.08.2007 08:25:00;   142
01.09.2007 01:35:00;   146
09.10.2007 20:00:00;   146
03.11.2007 10:15:00;   158
29.12.2007 19:30:00;   154
05.01.2008 17:45:00;   153
19.02.2008 16:20:00;   151
11.03.2008 16:30:00;   154
08.04.2008 16:50:00;   150
26.05.2008 09:10:00;   144
28.06.2008 14:00:00;   152
09.07.2008 11:20:00;   153
12.08.2008 10:45:00;   152
13.09.2008 10:25:00;   142
31.10.2008 09:25:00;   149
08.11.2008 08:35:00;   149
01.12.2008 09:45:00;   153
19.01.2009 10:55:00;   149
24.02.2009 20:25:00;   148
02.03.2009 20:30:00;   167
30.04.2009 18:20:00;   166
09.05.2009 16:15:00;   157
19.06.2009 17:16:15;   157
12.07.2009 13:10:00;   145
17.08.2009 11:30:00;   141
30.09.2009 23:10:00;   143
08.10.2009 12:55:00;   137
02.11.2009 12:30:00;   136
