Messstelle:                ;Sturmmühle
HZB-Nummer:                ;206037
HD-Nummer:                 ;9520
DBMS-Nummer:               ;4001145
Gewässer:                  ;Klambach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;87,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.06.1955              ;00232,56
   01.01.1971              ;00231,56
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1976              ;557410,00 - 342600,00
   27.03.2020              ;557396,91 - 342600,85
Exportzeitreihe:           ;(4001145,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 02:00,01.01.2022 00:00]
Werte:
16.05.2000 10:10:00;   122
19.06.2000 08:20:00;   115
26.07.2000 14:15:00;   119
02.08.2000 13:55:00;   124
28.09.2000 16:50:00;   117
01.10.2000 08:00:00;   123
14.11.2000 11:30:00;   123
22.12.2000 22:10:00;   117
14.01.2001 01:58:35;   115
05.02.2001 08:40:00;   125
07.03.2001 17:50:00;   129
06.04.2001 14:05:00;   140
30.05.2001 22:15:00;   123
17.06.2001 09:40:35;   120
16.07.2001 15:05:00;   117
01.08.2001 05:40:00;   117
01.09.2001 06:35:00;   123
21.10.2001 19:45:00;   127
02.11.2001 09:55:00;   128
23.12.2001 22:39:00;   122
16.01.2002 05:03:55;   127
08.02.2002 09:11:40;   136
18.03.2002 07:40:00;   134
29.04.2002 09:40:00;   148
31.05.2002 08:15:00;   133
01.06.2002 07:50:00;   137
13.07.2002 12:48:45;   142
03.08.2002 08:46:25;   144
19.09.2002 15:14:35;   154
03.10.2002 17:29:40;   162
19.11.2002 08:57:35;   168
20.12.2002 07:50:40;   153
13.01.2003 08:20:10;   154
18.02.2003 11:50:10;   152
01.03.2003 10:41:10;   154
30.04.2003 08:42:05;   146
31.05.2003 07:25:25;   136
27.06.2003 08:24:35;   134
01.07.2003 10:32:25;   133
25.08.2003 08:06:40;   130
06.09.2003 11:09:40;   132
25.10.2003 14:22:30;   131
28.11.2003 13:10:05;   112
08.12.2003 09:05:55;   106
06.01.2004 00:50:00;   106
27.02.2004 14:40:00;   121
06.03.2004 02:45:00;   111
29.04.2004 15:10:00;   118
25.05.2004 06:10:00;   106
01.06.2004 18:00:00;   105
22.07.2004 12:25:00;   108
05.08.2004 07:00:00;   112
06.09.2004 15:50:00;   110
30.10.2004 13:45:00;   113
05.11.2004 16:05:00;   115
20.12.2004 22:50:00;   106
17.01.2005 04:25:00;   112
28.02.2005 00:30:00;   126
11.03.2005 03:20:00;   119
17.04.2005 17:50:00;   119
23.05.2005 05:20:00;   116
13.06.2005 19:10:00;   108
04.07.2005 09:50:00;   109
15.08.2005 06:05:00;   120
26.09.2005 13:51:00;   115
12.10.2005 10:29:45;   114
12.11.2005 07:05:00;   116
12.12.2005 00:30:00;   113
09.01.2006 02:36:30;   115
02.02.2006 16:36:20;   126
09.03.2006 07:07:40;   124
29.04.2006 07:50:05;   165
18.05.2006 07:06:20;   145
28.06.2006 02:27:35;   146
13.07.2006 06:15:50;   142
03.08.2006 05:30:00;   149
18.09.2006 06:00:00;   141
11.10.2006 08:00:00;   144
02.11.2006 10:15:00;   148
24.12.2006 10:45:00;   147
01.01.2007 04:00:00;   150
27.02.2007 08:45:00;   154
22.03.2007 08:45:00;   156
29.04.2007 10:00:00;   147
22.05.2007 16:15:00;   144
30.06.2007 23:59:55;   141
01.07.2007 00:00:00;   141
02.08.2007 18:45:00;   141
01.09.2007 03:45:00;   142
17.10.2007 22:15:00;   144
01.11.2007 12:00:00;   145
20.12.2007 12:45:00;   149
03.01.2008 05:00:00;   136
17.02.2008 00:30:00;   132
02.03.2008 12:00:00;   149
16.04.2008 16:15:00;   147
31.05.2008 18:00:00;   142
25.06.2008 19:44:05;   137
03.07.2008 21:26:55;   136
08.08.2008 01:00:00;   137
14.09.2008 07:45:00;   136
22.10.2008 17:15:00;   131
02.11.2008 16:30:00;   136
29.12.2008 08:30:00;   138
28.01.2009 08:15:00;   138
02.02.2009 11:30:00;   134
23.03.2009 19:45:00;   159
23.04.2009 09:00:00;   136
18.05.2009 20:30:00;   129
14.06.2009 07:15:00;   128
21.07.2009 07:15:00;   143
22.08.2009 07:00:00;   147
29.09.2009 10:45:00;   147
09.10.2009 07:45:00;   146
25.11.2009 09:30:00;   149
18.12.2009 21:45:00;   142
26.01.2010 06:30:00;   140
17.02.2010 00:45:00;   138
10.03.2010 04:45:00;   149
30.04.2010 21:30:00;   151
08.05.2010 03:45:00;   138
12.06.2010 18:30:00;   138
23.07.2010 09:15:00;   138
24.08.2010 03:00:00;   144
30.09.2010 13:00:00;   133
27.10.2010 14:15:00;   129
08.11.2010 07:15:00;   126
01.12.2010 12:15:00;   131
10.01.2011 23:00:00;   127
22.02.2011 21:45:00;   128
08.03.2011 02:00:00;   122
24.04.2011 03:15:00;   120
30.05.2011 15:15:00;   123
28.06.2011 01:45:00;   119
02.07.2011 11:15:00;   124
26.08.2011 17:45:00;   127
12.09.2011 15:45:00;   129
04.10.2011 16:15:00;   129
07.11.2011 07:00:00;   125
23.12.2011 15:30:00;   128
19.01.2012 09:15:00;   133
22.02.2012 11:30:00;   152
23.03.2012 09:00:00;   142
30.04.2012 06:15:00;   140
08.05.2012 11:30:00;   132
03.06.2012 17:30:00;   136
03.07.2012 08:45:00;   132
27.08.2012 16:45:00;   130
24.09.2012 16:15:00;   127
01.10.2012 15:15:00;   126
29.11.2012 17:45:00;   134
13.12.2012 13:15:00;   126
26.01.2013 08:45:00;   135
26.02.2013 07:45:00;   144
23.03.2013 21:00:00;   144
30.04.2013 23:59:55;   141
23.05.2013 07:15:00;   136
21.06.2013 10:30:00;   169
29.07.2013 21:00:00;   165
04.08.2013 19:30:00;   149
09.09.2013 10:00:00;   158
25.10.2013 11:00:00;   153
25.11.2013 09:45:00;   157
04.12.2013 10:15:00;   158
09.01.2014 03:00:00;   157
23.02.2014 14:30:00;   158
16.03.2014 13:30:00;   151
04.04.2014 03:30:00;   157
15.05.2014 22:00:00;   156
25.06.2014 14:00:00;   140
07.07.2014 07:00:00;   142
16.08.2014 12:30:00;   142
16.09.2014 03:00:00;   142
15.10.2014 16:00:00;   140
30.11.2014 11:15:00;   144
29.12.2014 07:15:00;   137
02.01.2015 10:15:00;   149
09.02.2015 14:45:00;   142
25.03.2015 05:30:00;   145
29.04.2015 08:15:00;   144
29.05.2015 07:00:00;   143
13.06.2015 22:30:00;   142
19.07.2015 18:30:00;   133
04.08.2015 09:45:00;   135
23.09.2015 14:30:00;   133
31.10.2015 22:45:00;   134
11.11.2015 09:45:00;   134
04.12.2015 16:15:00;   141
02.01.2016 08:30:00;   141
07.02.2016 04:45:00;   148
31.03.2016 20:15:00;   147
14.04.2016 05:00:00;   142
02.05.2016 09:00:00;   141
26.06.2016 12:30:00;   146
02.07.2016 18:15:00;   143
28.08.2016 16:30:00;   145
21.09.2016 07:15:00;   141
02.10.2016 09:15:00;   141
29.11.2016 04:45:00;   144
21.12.2016 01:15:00;   138
18.01.2017 12:45:00;   147
13.02.2017 15:00:00;   144
08.03.2017 18:45:00;   156
20.04.2017 13:30:00;   149
30.05.2017 21:45:00;   140
24.06.2017 14:45:00;   139
08.07.2017 08:00:00;   132
04.08.2017 07:15:00;   133
27.09.2017 06:30:00;   133
01.10.2017 08:15:00;   133
08.11.2017 00:15:00;   135
16.12.2017 02:30:00;   142
15.01.2018 12:00:00;   155
13.02.2018 12:15:00;   143
17.03.2018 07:45:00;   140
05.04.2018 12:45:00;   136
30.05.2018 21:15:00;   134
08.06.2018 19:15:00;   133
05.07.2018 21:15:00;   135
20.08.2018 23:00:00;   135
15.09.2018 15:15:00;   134
08.10.2018 17:45:00;   136
06.11.2018 14:45:00;   136
13.12.2018 18:45:00;   138
31.01.2019 21:15:00;   135
02.02.2019 06:20:00;   139
30.03.2019 08:20:00;   152
29.04.2019 06:25:00;   133
03.05.2019 09:20:00;   135
18.06.2019 08:50:00;   135
28.07.2019 08:20:00;   134
19.08.2019 00:10:00;   134
27.09.2019 03:20:00;   134
23.10.2019 21:20:00;   134
07.11.2019 03:35:00;   133
23.12.2019 19:05:00;   134
07.01.2020 05:45:00;   133
12.02.2020 11:15:00;   142
09.03.2020 10:00:00;   143
21.04.2020 12:15:00;   132
17.05.2020 08:45:00;   131
04.06.2020 10:15:00;   134
28.07.2020 06:45:00;   156
19.08.2020 22:45:00;   144
23.09.2020 03:30:00;   152
22.10.2020 09:15:00;   143
27.11.2020 18:50:00;   142
08.12.2020 21:00:00;   140
15.01.2021 01:05:00;   141
15.02.2021 02:55:00;   149
27.03.2021 16:00:00;   147
06.04.2021 03:55:00;   139
07.05.2021 04:55:00;   140
23.06.2021 11:55:00;   140
09.07.2021 01:10:00;   139
22.08.2021 05:20:00;   140
13.09.2021 10:15:00;   143
28.10.2021 16:35:00;   138
15.11.2021 09:10:00;   137
27.12.2021 04:15:00;   140
