Messstelle:                ;Hammerjäger
HZB-Nummer:                ;211920
HD-Nummer:                 ;ow2494
DBMS-Nummer:               ;6001140
Gewässer:                  ;Ingeringbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;198,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1994              ;00748,95
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1994              ;630546,00 - 235942,90
   01.01.2018              ;630539,10 - 235944,30
Exportzeitreihe:           ;(6001140,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1994 00:15,01.01.2022 00:00]
Werte:
15.06.2014 22:37:00;   101
16.07.2014 15:52:00;   107
11.08.2014 12:07:00;   113
30.09.2014 10:07:45;   119
19.10.2014 16:37:45;   111
01.11.2014 11:07:45;   114
30.12.2014 23:22:45;   108
07.01.2015 12:37:45;   108
04.02.2015 06:13:20;    99
30.03.2015 04:43:20;   107
03.04.2015 07:28:20;   110
19.05.2015 13:58:20;   111
23.06.2015 08:41:05;   105
16.07.2015 13:26:05;   100
30.08.2015 20:56:05;   104
13.09.2015 16:26:05;   101
28.10.2015 07:41:05;   101
15.11.2015 21:11:05;   100
08.12.2015 09:00:00;   100
14.01.2016 22:13:55;    98
04.02.2016 11:15:00;   100
03.03.2016 10:30:00;   100
28.04.2016 18:10:45;   100
05.05.2016 14:10:45;   109
03.06.2016 00:25:45;   107
12.07.2016 14:55:45;   103
05.08.2016 14:55:45;   108
27.09.2016 10:55:45;   101
29.10.2016 09:55:45;    97
29.11.2016 16:40:45;    97
30.12.2016 08:40:45;    97
10.01.2017 18:55:45;    96
14.02.2017 03:28:45;    98
01.03.2017 09:30:00;    99
26.04.2017 21:55:45;   102
24.05.2017 08:10:45;   104
23.06.2017 17:10:45;    98
14.07.2017 18:10:45;    97
03.08.2017 21:10:45;    96
11.09.2017 14:40:45;   119
12.10.2017 22:55:45;    96
09.11.2017 11:55:45;   102
06.12.2017 15:40:45;    96
06.01.2018 09:25:45;    96
14.02.2018 07:40:45;    93
28.03.2018 07:55:45;    93
11.04.2018 08:25:45;    97
22.05.2018 11:40:45;   121
24.06.2018 17:10:45;   113
19.07.2018 13:25:45;    94
05.08.2018 19:25:45;    94
14.09.2018 14:40:45;    97
15.10.2018 10:25:00;    96
12.11.2018 14:10:00;    99
07.12.2018 09:10:00;    97
25.01.2019 16:40:00;    96
01.02.2019 00:00:00;   104
16.03.2019 06:40:00;    98
01.04.2019 13:02:00;   114
12.05.2019 11:56:00;   115
29.06.2019 01:25:00;   103
03.07.2019 17:40:00;    98
29.08.2019 15:55:00;    97
18.09.2019 10:40:00;   104
04.10.2019 15:10:00;   106
03.11.2019 08:55:00;   107
28.12.2019 13:40:00;   101
04.01.2020 14:25:00;    97
21.02.2020 16:10:00;    95
03.03.2020 12:55:00;   102
01.04.2020 07:40:00;   104
24.05.2020 18:40:00;   102
23.06.2020 18:40:00;    97
28.07.2020 20:10:00;   100
22.08.2020 17:25:00;   105
23.09.2020 15:40:00;   100
26.10.2020 14:10:00;   107
27.11.2020 08:40:00;    96
09.12.2020 19:10:00;    98
20.01.2021 16:10:00;    97
02.02.2021 14:55:00;    99
22.03.2021 09:25:00;    99
22.04.2021 15:10:00;    98
01.05.2021 04:55:00;   112
25.06.2021 18:40:00;   103
24.07.2021 22:55:00;    97
10.08.2021 23:40:00;   104
22.09.2021 08:40:00;    97
01.10.2021 07:55:00;    97
23.11.2021 10:25:00;    95
22.12.2021 02:40:00;    97
