Messstelle:                ;Hinterer Gosausee
HZB-Nummer:                ;205575
HD-Nummer:                 ;4155
DBMS-Nummer:               ;4003155
Gewässer:                  ;Hinterer Gosausee
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;16,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.10.2002              ;01110,76
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2020              ;465970,00 - 262808,00
Exportzeitreihe:           ;(4003155,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[17.10.2002 16:00,01.01.2022 00:00]
Werte:
31.08.2019 22:00:00;  3289
30.09.2019 23:59:55;  2990
31.10.2019 23:59:55;  2468
30.11.2019 23:59:55;  2025
31.12.2019 23:00:00;  1588
31.01.2020 23:00:00;  1245
23.02.2020 22:00:00;  1199
11.03.2020 09:00:00;  1150
06.04.2020 13:00:00;  1140
01.05.2020 00:00:00;  1559
04.06.2020 15:00:00;  2015
01.07.2020 00:00:00;  2952
02.08.2020 21:00:00;  3420
29.09.2020 20:00:00;  3169
31.10.2020 23:30:00;  2759
30.11.2020 23:00:00;  2231
31.12.2020 23:30:00;  1718
31.01.2021 22:30:00;  1339
28.02.2021 23:00:00;  1157
29.03.2021 17:30:00;  1042
01.04.2021 00:00:00;  1050
01.05.2021 00:00:00;  1172
01.06.2021 15:00:00;  1926
04.07.2021 19:30:00;  2827
01.08.2021 00:00:00;  3331
30.09.2021 23:59:55;  2869
31.10.2021 23:30:00;  2248
30.11.2021 21:30:00;  1742
29.12.2021 22:00:00;  1378
