Messstelle:                ;Lochen
HZB-Nummer:                ;204602
HD-Nummer:                 ;2140
DBMS-Nummer:               ;4001010
Gewässer:                  ;Mühlberger Bach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;15,71
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00507,00
   01.01.1990              ;00506,07
   19.04.2022              ;00498,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1976              ;438540,00 - 319650,00
   24.03.2020              ;438528,87 - 319647,89
   17.05.2022              ;438396,52 - 320367,85
Exportzeitreihe:           ;(4001010,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
11.06.2001 00:30:30;   142
20.07.2001 10:46:55;   119
10.08.2001 06:48:05;   131
12.09.2001 23:48:30;   139
24.10.2001 16:05:10;    77
26.11.2001 08:09:40;   117
30.12.2001 01:48:25;   144
28.01.2002 00:16:25;   118
25.02.2002 17:45:05;   134
20.03.2002 09:28:20;   162
27.04.2002 05:25:25;    66
10.05.2002 22:04:30;   139
07.06.2002 14:39:15;   164
17.07.2002 05:08:30;   189
07.08.2002 00:24:10;   224
27.09.2002 18:11:25;   123
13.10.2002 02:25:20;   110
05.11.2002 01:36:15;   149
22.12.2002 22:44:15;   134
27.01.2003 23:05:30;   125
01.02.2003 00:00:00;    51
07.03.2003 02:10:35;    96
02.04.2003 19:34:30;    49
14.05.2003 01:21:50;    76
15.06.2003 08:10:55;    59
02.07.2003 04:10:55;    49
31.08.2003 23:59:55;    40
12.09.2003 10:46:20;   103
06.10.2003 03:32:35;    99
17.11.2003 19:24:45;    44
14.12.2003 18:18:50;    63
13.01.2004 17:30:10;   122
02.02.2004 23:50:10;   121
30.03.2004 17:44:10;    89
11.04.2004 16:24:15;   105
16.05.2004 06:17:25;    87
03.06.2004 18:45:25;   157
09.07.2004 05:26:20;   131
26.08.2004 06:41:40;    86
24.09.2004 03:16:10;    99
09.10.2004 06:29:55;   108
23.11.2004 19:47:50;    83
23.12.2004 23:35:15;    57
02.01.2005 19:07:55;    83
12.02.2005 14:17:10;   144
19.03.2005 21:17:15;   145
26.04.2005 08:23:05;   141
18.05.2005 16:49:05;   142
26.06.2005 03:38:45;    93
12.07.2005 16:27:15;   162
23.08.2005 20:50:25;   192
29.09.2005 08:15:50;    91
02.10.2005 13:21:30;    89
02.11.2005 08:01:30;    46
05.12.2005 15:05:30;    87
01.01.2006 15:12:00;    77
17.02.2006 05:53:35;    77
26.03.2006 14:35:00;   148
29.04.2006 06:06:50;   100
28.05.2006 14:42:05;   151
22.06.2006 22:00:05;   140
06.07.2006 21:37:20;    96
07.08.2006 03:47:05;   170
08.09.2006 01:57:50;   167
04.10.2006 04:45:00;    85
05.11.2006 17:30:00;    97
10.12.2006 08:15:00;    77
19.01.2007 10:15:00;   106
28.02.2007 04:00:00;   116
03.03.2007 16:15:00;    91
03.04.2007 14:15:00;    48
09.05.2007 18:45:00;   119
01.06.2007 22:45:00;    90
09.07.2007 20:00:00;    87
30.08.2007 11:00:00;    57
07.09.2007 00:30:00;   168
24.10.2007 00:00:00;    72
11.11.2007 19:45:00;   133
08.12.2007 08:30:00;    78
07.01.2008 20:08:05;    83
29.02.2008 15:15:00;    66
15.03.2008 00:00:00;   132
22.04.2008 03:00:00;    95
19.05.2008 07:00:00;    55
05.06.2008 06:45:00;    72
14.07.2008 18:30:00;   146
16.08.2008 10:00:00;   115
16.09.2008 05:30:00;    81
30.10.2008 08:00:00;    83
21.11.2008 16:00:00;   126
20.12.2008 23:15:00;   154
24.01.2009 00:00:00;    45
28.02.2009 03:30:00;   135
13.03.2009 07:45:00;   156
01.04.2009 19:15:00;    74
06.05.2009 13:00:00;    67
24.06.2009 08:00:00;   175
