Messstelle:                ;Oberlaa
HZB-Nummer:                ;209353
HD-Nummer:                 ;W3
DBMS-Nummer:               ;9001003
Gewässer:                  ;Liesing
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Wien (MA 45)
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;101,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1980              ;00171,68
   01.01.2005              ;00171,48
   16.05.2018              ;00171,46
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1979              ;755323,29 - 333042,85
Exportzeitreihe:           ;(9001003,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1980 00:30,01.01.2022 00:00]
Werte:
03.10.2000 05:20:00;   115
04.11.2000 06:30:00;   109
11.12.2000 06:10:00;   100
08.01.2001 18:15:00;    64
04.02.2001 13:35:00;    87
22.03.2001 12:10:00;    87
09.04.2001 02:45:00;    85
18.05.2001 17:10:00;    85
11.06.2001 05:10:00;   110
20.07.2001 02:50:00;   130
23.08.2001 17:15:40;   156
01.09.2001 01:00:00;   121
28.10.2001 23:40:00;    78
12.11.2001 19:15:00;    89
06.12.2001 15:00:00;   107
21.01.2002 07:05:00;    72
13.02.2002 20:35:00;    97
21.03.2002 05:15:55;   181
14.04.2002 12:20:00;   173
13.05.2002 01:45:00;   109
09.06.2002 16:15:00;   130
30.07.2002 20:25:00;   128
13.08.2002 13:00:30;   190
01.09.2002 02:55:00;    96
12.10.2002 14:40:00;   116
11.11.2002 19:55:00;   135
23.12.2002 13:20:00;   102
28.01.2003 00:40:00;   109
01.02.2003 00:00:00;    62
12.03.2003 15:10:00;    68
19.04.2003 07:00:00;    64
13.05.2003 16:00:00;   198
15.06.2003 00:55:00;    99
02.07.2003 01:40:00;   144
18.08.2003 19:55:00;    69
23.09.2003 21:50:00;   160
05.10.2003 06:15:00;   110
02.11.2003 08:15:00;    93
31.12.2003 21:30:00;    83
01.01.2004 00:00:00;    83
03.02.2004 14:31:40;    85
24.03.2004 21:27:05;   205
05.04.2004 12:49:40;    93
16.05.2004 05:05:10;    95
03.06.2004 22:26:40;   125
01.07.2004 21:24:50;    59
03.08.2004 13:15:25;    44
03.09.2004 15:57:45;    39
17.10.2004 17:45:20;    39
01.11.2004 00:00:00; Lücke
01.12.2004 00:00:00; Lücke
21.01.2005 04:05:00;   111
12.02.2005 13:30:00;   121
16.03.2005 19:35:00;    90
18.04.2005 06:30:00;    98
31.05.2005 06:15:00;    74
16.06.2005 14:55:00;    98
09.07.2005 22:50:00;    99
16.08.2005 10:30:00;    99
10.09.2005 22:50:00;    99
04.10.2005 07:30:00;    71
