Messstelle:                ;Timelkam
HZB-Nummer:                ;205393
HD-Nummer:                 ;5490
DBMS-Nummer:               ;4001086
Gewässer:                  ;Vöckla
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;331,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1940              ;00441,65
   01.01.1977              ;00441,60
   05.12.1989              ;00441,00
   01.01.2006              ;00441,65
   29.06.2013              ;00442,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1962              ;470600,00 - 318500,00
   29.06.2013              ;470204,30 - 318586,40
   01.01.2020              ;470298,62 - 318612,52
Exportzeitreihe:           ;(4001086,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
17.02.2006 15:50:35;   114
29.03.2006 07:22:10;   299
01.04.2006 00:00:00;   192
28.05.2006 17:30:00;   195
01.06.2006 16:45:00;   190
09.07.2006 20:45:00;   220
07.08.2006 12:15:00;   284
19.09.2006 07:30:00;   242
04.10.2006 06:00:00;    67
12.11.2006 09:15:00;   142
05.12.2006 09:30:00;    60
19.01.2007 17:15:30;   251
28.02.2007 07:23:25;   129
03.03.2007 16:53:55;   141
01.04.2007 11:30:50;    44
09.05.2007 12:08:35;   206
01.06.2007 23:23:45;    95
10.07.2007 15:30:00;   102
19.08.2007 22:45:00;    65
07.09.2007 04:23:40;   304
24.10.2007 00:31:40;    55
11.11.2007 21:45:00;   268
08.12.2007 10:00:00;   115
19.01.2008 08:48:20;    94
29.02.2008 23:59:55;    79
15.03.2008 00:45:00;   223
22.04.2008 07:15:00;   145
01.05.2008 00:00:00;    57
08.06.2008 00:15:00;   161
27.07.2008 05:30:00;   120
16.08.2008 12:30:00;   132
16.09.2008 08:00:00;    71
17.10.2008 09:00:00;    50
21.11.2008 18:00:00;   222
21.12.2008 01:30:00;   258
24.01.2009 01:32:45;    40
28.02.2009 17:48:10;   143
13.03.2009 09:53:30;   258
02.04.2009 17:19:35;   146
06.05.2009 17:22:20;    73
24.06.2009 09:42:40;   324
07.07.2009 19:15:40;   280
04.08.2009 15:10:00;   175
05.09.2009 04:11:05;   129
17.10.2009 08:13:15;   110
03.11.2009 05:26:40;    84
11.12.2009 10:46:30;   153
18.01.2010 01:11:15;    70
26.02.2010 18:34:40;    96
22.03.2010 00:43:40;   115
14.04.2010 12:17:35;   110
14.05.2010 01:17:50;   144
03.06.2010 02:31:50;   324
05.07.2010 05:30:00;   298
03.08.2010 09:39:55;   123
01.09.2010 00:00:00;    85
25.10.2010 22:45:00;    88
12.11.2010 16:30:00;    91
09.12.2010 11:28:30;    71
13.01.2011 23:00:00;   405
12.02.2011 12:41:30;   116
18.03.2011 15:15:00;   175
05.04.2011 01:30:00;    45
27.05.2011 22:08:40;   149
23.06.2011 22:23:25;   144
21.07.2011 04:01:30;   178
15.08.2011 05:17:20;   115
05.09.2011 18:00:00;   100
13.10.2011 11:14:35;   159
04.11.2011 16:55:25;    31
07.12.2011 21:12:50;   141
22.01.2012 06:12:30;   295
24.02.2012 16:20:55;   162
01.03.2012 00:00:00;   102
16.04.2012 17:04:20;    99
23.05.2012 22:56:55;    34
21.06.2012 00:00:00;   263
05.07.2012 19:15:00;   127
31.08.2012 23:29:05;    88
13.09.2012 02:54:00;   136
09.10.2012 22:30:00;    67
05.11.2012 10:15:00;   132
23.12.2012 14:30:00;   346
05.01.2013 05:45:00;   327
02.02.2013 13:37:50;   208
07.03.2013 19:07:25;   110
20.04.2013 08:59:30;    87
30.05.2013 23:48:05;   197
02.06.2013 13:00:00;   406
06.07.2013 06:00:00;   144
29.08.2013 01:30:00;   155
18.09.2013 17:45:00;   238
16.10.2013 09:30:00;   142
24.11.2013 17:30:00;   231
10.12.2013 05:45:00;   130
10.01.2014 12:15:00;   125
08.02.2014 06:30:00;   135
24.03.2014 19:45:00;   131
10.04.2014 19:00:00;   123
28.05.2014 07:30:00;   269
01.06.2014 03:30:00;   149
31.07.2014 16:45:00;   204
04.08.2014 04:00:00;   291
13.09.2014 20:45:00;   271
23.10.2014 11:30:00;   332
19.11.2014 17:15:00;   150
19.12.2014 02:30:00;   181
04.01.2015 03:15:00;   261
24.02.2015 19:15:00;   155
30.03.2015 12:30:00;   225
02.04.2015 18:00:00;   242
24.05.2015 03:30:00;   227
09.06.2015 01:00:00;   314
14.07.2015 12:45:00;   136
02.08.2015 18:45:00;   133
04.09.2015 09:00:00;   142
08.10.2015 03:15:00;   188
21.11.2015 05:15:00;   163
02.12.2015 02:00:00;   177
31.01.2016 23:59:55;   187
01.02.2016 11:00:00;   340
03.03.2016 02:30:00;   162
18.04.2016 17:30:00;   141
13.05.2016 12:00:00;   241
25.06.2016 23:15:00;   297
14.07.2016 12:00:00;   239
05.08.2016 20:15:00;   192
20.09.2016 00:30:00;   169
20.10.2016 06:45:00;   171
17.11.2016 02:00:00;   166
28.12.2016 22:00:00;   133
13.01.2017 14:30:00;   134
21.02.2017 22:00:00;   267
19.03.2017 12:30:00;   246
28.04.2017 20:15:00;   178
09.05.2017 03:00:00;   226
06.06.2017 04:15:00;   140
27.07.2017 06:00:00;   294
06.08.2017 21:45:00;   180
03.09.2017 01:15:00;   178
09.10.2017 19:00:00;   170
12.11.2017 03:15:00;   211
31.12.2017 06:45:00;   259
05.01.2018 02:00:00;   314
16.02.2018 23:30:00;   153
29.03.2018 10:45:00;   158
02.04.2018 03:00:00;   146
24.05.2018 17:15:00;   173
14.06.2018 03:30:00;   177
07.07.2018 09:45:00;   137
26.08.2018 09:00:00;   147
24.09.2018 03:45:00;   141
27.10.2018 17:15:00;   138
27.11.2018 11:30:00;   126
24.12.2018 11:00:00;   304
14.01.2019 05:45:00;   281
22.02.2019 17:15:00;   231
15.03.2019 22:15:00;   253
30.04.2019 21:15:00;   146
29.05.2019 15:15:00;   248
01.06.2019 00:00:00;   146
07.07.2019 23:15:00;   135
27.08.2019 02:00:00;   158
02.09.2019 01:00:00;   246
10.10.2019 02:00:00;   150
05.11.2019 17:45:00;   143
25.12.2019 17:00:00;   201
31.01.2020 15:30:00;   147
03.02.2020 17:00:00;   333
11.03.2020 04:00:00;   159
29.04.2020 01:15:00;   131
