Messstelle:                ;Mitterbach (Brücke)
HZB-Nummer:                ;207704
HD-Nummer:                 ;no065
DBMS-Nummer:               ;3001010
Gewässer:                  ;Große Erlauf
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Energieversorgung Niederösterreich-AG.
orogr.Einzugsgebiet [km²]: ;29,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00791,00
   01.01.1977              ;00785,90
   01.01.2014              ;00785,91
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1968              ;672483,40 - 298038,20
   01.01.1977              ;672413,70 - 297773,50
Exportzeitreihe:           ;(3001010,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
01.05.1993 02:15:00;    85
28.06.1993 14:45:00;    93
21.07.1993 00:15:00;    94
31.08.1993 23:59:55;    80
02.09.1993 00:30:00;   102
03.10.1993 00:45:00;    82
15.11.1993 00:00:00;    67
21.12.1993 13:15:00;    93
26.01.1994 23:00:00;    80
01.02.1994 00:00:00;    72
25.03.1994 16:45:00;    99
18.04.1994 09:45:00;    98
02.05.1994 00:15:00;    84
06.06.1994 18:15:00;    89
28.07.1994 16:30:00;    75
20.08.1994 14:15:00;    68
01.09.1994 20:15:00;    81
03.10.1994 19:15:00;    72
21.11.1994 05:30:00;    93
29.12.1994 06:45:00;    86
01.01.1995 17:15:00;    81
22.02.1995 06:45:00;    78
27.03.1995 18:45:00;    80
24.04.1995 00:15:00;   102
01.05.1995 07:00:00;    92
27.06.1995 07:15:00;   114
01.07.1995 00:00:00;    75
30.08.1995 14:15:00;    91
02.09.1995 19:15:00;   103
02.10.1995 22:15:00;    83
18.11.1995 11:30:00;    80
25.12.1995 10:00:00;    71
08.01.1996 15:15:00;    68
21.02.1996 09:00:00;    69
27.03.1996 17:00:00;    74
23.04.1996 03:45:00;    97
13.05.1996 18:15:00;    95
30.06.1996 17:00:00;    86
12.07.1996 20:15:00;    93
04.08.1996 14:00:00;    78
08.09.1996 12:00:00;   109
22.10.1996 04:15:00;   134
02.11.1996 19:00:00;    80
01.12.1996 00:00:00;    67
01.01.1997 00:00:35;    64
12.02.1997 14:07:35;    78
17.03.1997 18:12:10;   131
30.04.1997 23:59:55;    95
06.05.1997 03:09:00;   103
23.06.1997 14:43:45;    89
08.07.1997 09:07:50;   163
02.08.1997 10:22:35;    86
07.09.1997 15:55:30;    72
03.10.1997 02:50:55;    97
30.11.1997 23:59:55;    68
13.12.1997 05:08:50;    83
01.01.1998 00:00:00;    70
18.02.1998 04:50:45;    78
18.03.1998 00:08:45;    86
02.04.1998 14:31:30;    95
19.05.1998 19:18:55;    88
13.06.1998 14:15:40;    91
09.07.1998 13:29:00;   108
01.08.1998 00:00:00;    75
28.09.1998 22:01:55;    91
31.10.1998 03:34:50;    79
11.11.1998 16:23:20;   101
16.12.1998 17:47:10;    84
09.01.1999 02:48:50;    79
22.02.1999 14:26:05;    82
28.03.1999 19:21:30;    86
08.04.1999 06:17:30;    94
