Messstelle:                ;St. Leonhard im Pitztal
HZB-Nummer:                ;201335
HD-Nummer:                 ;
DBMS-Nummer:               ;7001031
Gewässer:                  ;Pitze
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;165,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1941              ;01337,45
   01.01.1976              ;01337,97
   01.01.1982              ;01338,77
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1941              ;188765,00 - 214655,00
Exportzeitreihe:           ;(7001031,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[08.04.1954 00:00,01.01.2022 00:00]
Werte:
23.01.1981 14:00:00;    68
01.02.1981 00:00:00;    65
31.03.1981 19:00:00;    98
01.04.1981 00:00:00;    96
27.05.1981 15:00:00;   105
16.06.1981 14:00:00;   123
18.07.1981 11:00:00;   127
17.08.1981 13:00:00;   115
14.09.1981 13:00:00;    98
01.10.1981 23:00:00;    93
03.11.1981 20:00:00;    87
01.12.1981 00:00:00;    73
07.01.1982 01:30:00;     3
13.02.1982 01:00:00;     3
31.03.1982 23:59:55;     9
08.04.1982 22:30:00;    18
24.05.1982 02:30:00;    43
08.06.1982 12:00:00;    58
20.07.1982 14:30:00;    72
16.08.1982 20:00:00;    59
15.09.1982 17:00:00;    63
01.10.1982 00:00:00;    39
01.11.1982 02:30:00;    18
24.12.1982 14:30:00;    21
27.01.1983 09:15:00;    10
01.02.1983 00:30:00;     5
20.03.1983 19:00:00;    15
22.04.1983 18:15:00;    30
22.05.1983 22:15:00;    46
06.06.1983 17:15:00;    58
13.07.1983 12:45:00;    74
01.08.1983 17:30:00;    72
02.09.1983 18:45:00;    45
11.10.1983 19:00:00;    25
27.11.1983 05:15:00;    16
24.12.1983 09:30:00;    13
03.01.1984 07:30:00;     9
01.02.1984 00:00:00;     7
17.03.1984 09:30:00;    11
23.04.1984 21:30:00;    37
21.05.1984 02:00:00;    40
24.06.1984 13:30:00;    70
12.07.1984 21:15:00;    89
05.08.1984 21:45:00;    47
05.09.1984 16:30:00;    35
05.10.1984 07:15:00;    32
01.11.1984 00:00:00;    16
23.12.1984 14:15:00;    13
05.01.1985 00:00:00;     8
03.02.1985 04:45:00;     8
31.03.1985 17:45:00;     8
21.04.1985 22:00:00;    19
27.05.1985 19:15:00;    43
05.06.1985 19:00:00;    59
05.07.1985 23:30:00;    68
06.08.1985 11:00:00;   110
06.09.1985 14:30:00;    37
01.10.1985 16:45:00;    21
16.11.1985 13:00:00;    12
01.12.1985 00:00:00;     9
01.01.1986 12:15:00;     8
13.02.1986 12:15:00;    11
27.03.1986 13:00:00;    10
26.04.1986 18:15:00;    31
28.05.1986 01:00:00;    66
24.06.1986 04:00:00;    88
30.07.1986 22:30:00;    53
18.08.1986 22:00:00;    78
19.09.1986 17:15:00;    33
05.10.1986 17:45:00;    21
02.11.1986 18:00:00;    13
01.12.1986 15:30:00;    10
01.01.1987 21:00:00;     8
25.02.1987 15:30:00;    11
21.03.1987 14:00:00;    16
29.04.1987 20:15:00;    33
03.05.1987 02:30:00;    38
30.06.1987 22:00:00;    70
19.07.1987 05:30:00;   124
24.08.1987 23:15:00;   140
15.09.1987 16:30:00;    41
01.10.1987 00:45:00;    23
01.11.1987 00:00:00;    15
21.12.1987 01:30:00;    25
09.01.1988 13:30:00;    16
14.02.1988 13:45:00;    20
24.03.1988 11:00:00;    21
18.04.1988 23:45:00;    34
09.05.1988 20:15:00;    44
14.06.1988 11:45:00;    60
29.07.1988 22:45:00;    72
20.08.1988 21:00:00;    75
02.09.1988 13:30:00;    38
13.10.1988 03:30:00;    21
01.11.1988 14:15:00;    14
16.12.1988 13:30:00;    18
24.01.1989 15:45:00;    12
11.02.1989 14:30:00;    11
30.03.1989 18:45:00;    21
05.04.1989 05:15:00;    23
30.05.1989 12:15:00;    46
28.06.1989 07:15:00;    47
07.07.1989 23:00:00;    88
18.08.1989 21:30:00;    72
21.09.1989 16:45:00;    39
02.10.1989 15:15:00;    22
28.11.1989 20:00:00;    17
19.12.1989 12:15:00;    15
01.01.1990 00:00:00;     8
15.02.1990 15:30:00;    25
23.03.1990 16:45:00;    21
30.04.1990 22:30:00;    24
23.05.1990 20:30:00;    44
28.06.1990 21:00:00;    58
10.07.1990 14:45:00;    72
13.08.1990 15:30:00;    58
01.09.1990 20:00:00;    34
04.10.1990 22:30:00;    28
01.11.1990 06:15:00;    15
07.12.1990 16:15:00;    13
03.01.1991 06:00:00;    10
26.02.1991 17:15:00;     8
09.03.1991 14:45:00;    16
16.04.1991 18:30:00;    14
23.05.1991 16:15:00;    31
17.06.1991 03:00:00;    78
13.07.1991 01:15:00;    86
11.08.1991 20:15:00;    74
02.09.1991 17:00:00;    49
01.10.1991 00:00:00;    25
04.11.1991 17:30:00;    13
22.12.1991 19:00:00;    13
23.01.1992 11:45:00;    11
07.02.1992 15:00:00;     9
25.03.1992 15:30:00;    15
27.04.1992 20:45:00;    43
16.05.1992 19:45:00;    52
03.06.1992 21:15:00;    51
31.07.1992 23:59:55;    71
05.08.1992 17:45:00;    72
01.09.1992 02:00:00;    42
05.10.1992 16:30:00;    23
22.11.1992 19:45:00;    24
01.12.1992 00:00:00;    20
01.01.1993 16:45:00;    12
01.02.1993 14:30:00;    12
25.03.1993 11:30:00;    17
27.04.1993 20:00:00;    35
27.05.1993 22:45:00;    52
10.06.1993 01:30:00;    53
19.07.1993 22:00:00;    71
24.08.1993 11:30:00;    74
10.09.1993 18:00:00;    33
02.10.1993 20:00:00;    31
06.11.1993 08:15:00;    22
20.12.1993 13:00:00;    19
19.01.1994 16:45:00;    13
12.02.1994 15:15:00;    10
25.03.1994 19:45:00;    24
30.04.1994 20:45:00;    30
25.05.1994 19:45:00;    48
30.06.1994 23:00:00;    66
26.07.1994 23:45:00;    80
05.08.1994 19:30:00;    97
08.09.1994 20:15:00;    57
03.10.1994 20:30:00;    24
20.11.1994 08:00:00;    20
01.12.1994 14:30:00;    13
25.01.1995 22:45:00;    13
28.02.1995 13:15:00;    10
17.03.1995 13:15:00;    13
23.04.1995 18:45:00;    35
29.05.1995 22:15:00;    51
21.06.1995 23:30:00;    59
27.07.1995 22:00:00;    84
11.08.1995 18:15:00;    64
08.09.1995 03:30:00;    35
01.10.1995 00:00:00;    22
06.11.1995 13:30:00;    15
01.12.1995 00:00:00;    11
11.01.1996 18:30:00;    12
01.02.1996 21:00:00;    10
26.03.1996 22:00:00;    15
23.04.1996 18:30:00;    28
15.05.1996 23:00:00;    41
22.06.1996 10:00:00;    48
28.07.1996 21:45:00;    68
02.08.1996 17:30:00;    53
01.09.1996 18:00:00;    33
21.10.1996 19:00:00;    34
01.11.1996 11:15:00;    23
02.12.1996 12:15:00;    15
01.01.1997 12:15:00;    11
02.02.1997 15:30:00;    10
18.03.1997 18:45:00;    14
29.04.1997 05:00:00;    19
17.05.1997 22:30:00;    42
13.06.1997 00:00:00;    62
29.07.1997 01:30:00;    66
08.08.1997 21:15:00;    58
04.09.1997 19:00:00;    40
12.10.1997 08:15:00;    30
07.11.1997 05:45:00;    23
12.12.1997 05:15:00;    12
09.01.1998 14:00:00;    11
28.02.1998 16:15:00;     9
31.03.1998 17:45:00;    22
26.04.1998 19:15:00;    28
14.05.1998 00:00:00;    42
27.06.1998 23:15:00;    60
27.07.1998 22:30:00;    90
05.08.1998 02:45:00;    90
05.09.1998 12:30:00;    50
07.10.1998 11:00:00;    30
10.11.1998 18:30:00;    27
02.12.1998 13:45:00;    17
01.01.1999 14:00:00;    11
19.02.1999 17:30:00;    19
31.03.1999 21:30:00;    17
29.04.1999 19:45:00;    36
29.05.1999 20:30:00;    56
03.06.1999 02:00:00;    81
05.07.1999 20:30:00;    75
10.08.1999 15:00:00;    68
20.09.1999 20:45:00;    88
01.10.1999 00:00:00;    31
03.11.1999 12:00:00;    17
31.12.1999 14:30:00;    14
20.01.2000 15:45:00;    13
20.02.2000 19:30:00;    22
18.03.2000 13:00:00;    20
29.04.2000 17:30:00;    43
11.05.2000 22:00:00;    51
21.06.2000 23:15:00;    68
25.07.2000 05:00:00;    80
04.08.2000 10:15:00;    66
21.09.2000 01:15:00;    56
15.10.2000 23:30:00;    32
06.11.2000 21:15:00;    21
01.12.2000 00:00:00;    15
01.01.2001 15:00:00;    19
27.02.2001 14:30:00;    15
24.03.2001 20:30:00;    23
30.04.2001 21:30:00;    29
31.05.2001 21:00:00;    54
01.06.2001 00:00:00;    53
16.07.2001 03:45:00;   101
10.08.2001 07:15:00;    74
09.09.2001 04:00:00;    36
04.10.2001 10:15:00;    27
12.11.2001 19:00:00;    18
14.12.2001 15:15:00;    16
02.01.2002 13:15:00;    13
22.02.2002 14:45:00;    12
19.03.2002 23:45:00;    30
26.04.2002 22:15:00;    27
18.05.2002 19:00:00;    45
24.06.2002 06:00:00;    85
17.07.2002 22:45:00;    70
12.08.2002 06:00:00;    60
02.09.2002 17:15:00;    38
23.10.2002 12:15:00;    27
16.11.2002 19:00:00;    36
01.12.2002 00:00:00;    20
21.01.2003 18:30:00;    16
13.02.2003 17:15:00;    13
30.03.2003 18:15:00;    18
30.04.2003 18:45:00;    40
31.05.2003 23:59:55;    47
15.06.2003 01:15:00;    74
17.07.2003 17:15:00;    71
29.08.2003 21:00:00;    88
01.09.2003 00:00:00;    32
10.10.2003 17:30:00;    32
01.11.2003 08:00:00;    22
02.12.2003 15:00:00;    14
04.01.2004 12:45:00;    13
25.02.2004 14:15:00;    14
18.03.2004 15:30:00;    19
29.04.2004 19:00:00;    31
21.05.2004 22:00:00;    37
30.06.2004 05:15:00;    83
