Messstelle:                ;Greimpersdorf
HZB-Nummer:                ;207688
HD-Nummer:                 ;no060
DBMS-Nummer:               ;3001008
Gewässer:                  ;Ybbs
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1116,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00261,00
   01.01.1977              ;00261,73
   01.01.2011              ;00261,89
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1963              ;642756,40 - 331328,00
Exportzeitreihe:           ;(3001008,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
11.09.2000 14:00:00;    74
01.10.2000 17:15:00;    73
08.11.2000 16:00:00;    75
09.12.2000 16:45:00;    79
16.01.2001 09:30:00;    80
02.02.2001 17:30:00;    86
02.03.2001 17:00:00;    87
07.04.2001 08:45:00;    94
23.05.2001 22:15:00;    81
02.06.2001 13:00:00;    82
08.07.2001 07:45:00;    75
03.08.2001 21:45:00;    66
01.09.2001 08:30:00;    80
19.10.2001 13:30:00;    79
07.11.2001 17:00:00;    75
15.12.2001 06:30:00;    84
05.01.2002 06:30:00;    85
20.02.2002 06:30:00;   107
12.03.2002 10:45:00;    97
19.04.2002 07:00:00;    93
27.05.2002 07:15:00;    83
30.06.2002 06:00:00;    77
22.07.2002 19:30:00;    77
05.08.2002 07:15:00;    79
19.09.2002 07:30:00;    83
04.10.2002 16:30:00;    99
29.11.2002 15:15:00;   102
20.12.2002 20:00:00;    91
13.01.2003 08:15:00;    80
20.02.2003 12:45:00;    85
01.03.2003 04:45:00;    97
09.04.2003 15:35:00;    90
30.05.2003 15:55:00;    83
27.06.2003 16:15:00;    76
17.07.2003 08:15:00;    73
28.08.2003 23:10:00;    70
09.09.2003 02:00:00;    70
03.10.2003 18:20:00;    68
20.11.2003 20:05:00;    71
03.12.2003 22:10:00;    73
09.01.2004 17:00:00;    80
01.02.2004 20:35:00;    86
08.03.2004 04:25:00;    87
15.04.2004 13:50:00;   101
11.05.2004 12:50:00;    97
18.06.2004 20:00:00;    90
23.07.2004 06:10:00;    89
13.08.2004 05:30:00;    81
22.09.2004 17:10:00;    77
30.10.2004 13:35:00;    81
04.11.2004 22:15:00;    79
21.12.2004 22:20:00;    78
01.01.2005 01:25:00;    83
08.02.2005 09:45:00;    84
02.03.2005 09:00:00;    87
13.04.2005 04:40:00;   118
17.05.2005 12:25:40;   105
24.06.2005 10:28:00;    86
01.07.2005 06:24:00;    86
13.08.2005 11:03:40;    84
23.09.2005 18:08:25;    85
28.10.2005 12:10:20;    80
12.11.2005 20:35:30;    76
03.12.2005 14:51:10;    77
16.01.2006 05:49:40;    74
14.02.2006 18:37:10;    83
08.03.2006 11:17:20;    91
08.04.2006 20:53:35;   136
26.05.2006 01:30:00;   109
20.06.2006 17:20:00;    95
31.07.2006 22:40:00;    84
03.08.2006 07:20:00;    85
07.09.2006 21:45:00;    80
20.10.2006 19:25:00;    73
04.11.2006 17:20:00;    85
31.12.2006 20:45:00;    79
01.01.2007 00:15:00;    81
26.02.2007 04:45:00;    95
19.03.2007 02:20:00;   103
28.04.2007 14:30:00;    84
08.05.2007 15:25:00;    82
21.06.2007 14:35:00;    80
25.07.2007 19:05:00;    75
27.08.2007 17:20:00;    76
28.09.2007 16:05:00;    80
18.10.2007 00:40:00;    73
04.11.2007 00:00:00;   102
31.12.2007 13:00:00;    92
03.01.2008 06:30:00;    88
22.02.2008 20:05:00;    87
11.03.2008 00:05:00;    96
19.04.2008 01:30:00;   102
31.05.2008 07:15:00;    92
25.06.2008 19:10:00;    84
02.07.2008 11:05:00;    89
31.08.2008 05:25:00;    85
15.09.2008 05:15:00;    77
28.10.2008 22:25:00;    79
05.11.2008 22:30:00;    77
06.12.2008 15:40:00;    92
11.01.2009 08:35:00;    73
02.02.2009 21:55:00;    79
22.03.2009 16:20:00;   116
25.04.2009 20:25:00;   131
28.05.2009 21:45:00;   103
19.06.2009 10:00:00;    83
31.07.2009 17:40:00;    96
22.08.2009 11:00:00;    94
26.09.2009 08:35:00;    86
08.10.2009 04:45:00;    85
20.11.2009 14:45:00;    77
06.12.2009 08:05:00;    81
27.01.2010 00:15:00;    70
02.02.2010 15:35:00;    78
10.03.2010 16:35:00;    87
30.04.2010 01:45:00;   102
08.05.2010 14:25:00;    94
30.06.2010 21:50:00;    98
23.07.2010 08:00:00;    86
22.08.2010 23:51:00;    87
24.09.2010 08:10:00;    84
16.10.2010 15:40:00;    77
26.11.2010 15:10:00;    69
05.12.2010 19:50:00;    71
06.01.2011 10:45:00;    80
27.02.2011 20:40:00;    85
09.03.2011 15:45:00;    76
30.04.2011 18:20:00;    81
26.05.2011 18:50:00;    75
17.06.2011 12:15:00;    79
11.07.2011 11:05:00;    76
31.08.2011 13:45:00;    74
14.09.2011 03:35:00;    72
03.10.2011 18:55:00;    72
29.11.2011 07:35:00;    68
01.12.2011 13:40:00;    69
19.01.2012 14:15:00;    81
22.02.2012 01:05:00;    72
11.03.2012 14:10:00;   106
10.04.2012 19:45:00;   101
29.05.2012 00:35:00;    89
20.06.2012 17:50:00;    91
06.07.2012 15:50:00;    81
28.08.2012 03:20:00;    77
12.09.2012 01:35:00;    76
04.10.2012 15:20:00;    75
28.11.2012 13:15:00;    78
09.12.2012 15:05:00;    76
27.01.2013 15:10:00;    93
26.02.2013 06:15:00;    95
28.03.2013 08:20:00;    93
04.04.2013 17:15:00;   106
24.05.2013 10:05:00;    95
22.06.2013 07:50:00;    96
29.07.2013 13:20:00;    81
07.08.2013 12:35:00;    80
09.09.2013 12:15:00;    82
18.10.2013 03:40:00;    80
03.11.2013 05:45:00;    82
05.12.2013 16:35:00;    88
20.01.2014 12:10:00;    81
28.02.2014 01:00:00;    81
09.03.2014 07:55:00;    75
06.04.2014 12:30:00;    84
11.05.2014 13:20:00;    90
25.06.2014 04:05:00;    80
25.07.2014 14:25:00;    75
21.08.2014 01:10:00;    83
10.09.2014 10:40:00;    98
17.10.2014 08:15:00;    85
30.11.2014 19:15:00;    80
03.12.2014 10:50:00;    77
02.01.2015 12:20:00;    77
07.02.2015 08:20:00;    77
15.03.2015 14:30:00;    94
30.04.2015 22:30:00;   101
20.05.2015 15:30:00;    87
27.06.2015 11:45:00;    83
25.07.2015 08:05:00;    75
16.08.2015 13:50:00;    71
30.09.2015 07:45:00;    71
01.10.2015 07:05:00;    70
13.11.2015 08:45:00;    70
28.12.2015 10:05:00;    74
21.01.2016 03:50:00;    72
21.02.2016 00:10:00;    94
25.03.2016 20:20:00;    91
26.04.2016 08:00:00;    89
01.05.2016 07:50:00;    90
18.06.2016 16:00:00;    90
11.07.2016 18:00:00;    85
26.08.2016 23:00:00;    83
03.09.2016 18:20:00;    86
02.10.2016 06:45:00;    88
30.11.2016 14:15:00;    91
06.12.2016 21:40:00;    84
10.01.2017 21:45:00;    76
01.02.2017 00:35:00;    87
09.03.2017 08:35:00;   104
07.04.2017 15:35:00;    99
29.05.2017 16:30:00;    81
30.06.2017 17:05:00;    79
20.07.2017 07:45:00;    78
17.08.2017 14:35:00;    74
16.09.2017 07:00:00;    80
02.10.2017 16:40:00;    81
05.11.2017 17:20:00;    97
19.12.2017 22:40:00;    91
16.01.2018 12:15:00;   100
28.02.2018 23:40:00;    86
01.03.2018 06:40:00;    85
29.04.2018 02:55:00;    98
31.05.2018 20:05:00;    78
12.06.2018 06:20:00;    76
30.07.2018 13:30:00;    71
19.08.2018 21:00:00;    70
18.09.2018 19:50:00;    71
23.10.2018 00:35:00;    69
25.11.2018 04:25:00;    68
01.12.2018 05:00:00;    70
31.01.2019 17:20:00;    91
01.02.2019 14:25:00;    90
28.03.2019 15:45:00;   107
16.04.2019 12:25:00;   100
08.05.2019 03:25:00;   113
30.06.2019 17:05:00;    83
25.07.2019 00:05:00;    74
26.08.2019 01:20:00;    71
20.09.2019 03:50:00;    71
25.10.2019 08:10:00;    71
01.11.2019 22:20:00;    71
07.12.2019 01:30:00;    72
17.01.2020 05:55:00;    79
22.02.2020 11:55:00;    96
31.03.2020 18:30:00;    84
27.04.2020 19:55:00;    76
23.05.2020 11:55:00;    73
04.06.2020 18:30:00;    95
10.07.2020 19:30:00;    85
02.08.2020 16:00:00;    89
16.09.2020 15:20:00;    92
08.10.2020 12:25:00;    91
30.11.2020 20:25:00;    84
21.12.2020 15:50:00;    80
13.01.2021 03:25:00;    79
15.02.2021 15:50:00;    89
11.03.2021 22:15:00;    86
05.04.2021 21:05:00;    98
10.05.2021 02:45:00;    94
30.06.2021 13:20:00;    77
01.07.2021 00:15:00;    78
15.08.2021 18:30:00;    86
30.09.2021 23:50:00;    84
28.10.2021 06:25:00;    80
22.11.2021 17:05:00;    77
01.12.2021 00:00:00;    85
