Messstelle:                ;Au (Mittlere Au)
HZB-Nummer:                ;206292
HD-Nummer:                 ;6260
DBMS-Nummer:               ;4001171
Gewässer:                  ;Laudach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;72,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1979              ;00367,00
   24.11.1988              ;00367,71
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1978              ;493445,00 - 322375,00
   26.03.2020              ;493451,00 - 322391,00
   27.03.2020              ;493446,85 - 322393,79
   28.03.2020              ;493446,70 - 322393,45
Exportzeitreihe:           ;(4001171,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1979 00:00,01.01.2022 00:00]
Werte:
26.08.1997 22:36:30;   122
30.09.1997 23:01:15;   119
01.10.1997 00:00:00;   120
08.11.1997 03:29:45;   119
31.12.1997 23:30:45;   129
31.01.1998 23:59:55;   123
10.02.1998 18:13:00;   121
05.03.1998 08:17:00;   122
30.04.1998 23:04:20;   115
15.05.1998 20:04:30;   111
07.06.1998 23:19:25;   110
22.07.1998 20:48:00;   115
13.08.1998 12:29:35;   117
03.09.1998 14:24:00;   116
24.10.1998 11:09:30;   121
30.11.1998 23:59:55;   122
24.12.1998 07:09:45;   118
24.01.1999 11:49:35;   113
01.02.1999 00:00:00;   116
23.03.1999 06:15:10;   124
30.04.1999 15:13:15;   123
31.05.1999 13:43:05;   120
09.06.1999 13:37:10;   116
01.07.1999 21:53:30;   115
09.08.1999 19:36:05;   114
26.09.1999 19:30:50;   116
26.10.1999 20:57:45;   114
03.11.1999 05:27:45;   115
01.12.1999 09:00:10;   118
29.01.2000 21:52:50;   117
18.02.2000 20:42:45;   125
08.03.2000 16:03:30;   124
29.04.2000 18:51:00;   117
17.05.2000 19:52:10;   113
23.06.2000 07:45:15;   112
01.07.2000 22:42:35;   113
27.08.2000 23:04:35;   111
15.09.2000 21:04:40;   114
31.10.2000 22:01:15;   116
03.11.2000 23:37:05;   115
15.12.2000 08:43:20;   115
24.01.2001 20:05:50;   116
01.02.2001 03:37:35;   116
01.03.2001 12:38:50;   118
04.04.2001 06:17:45;   119
29.05.2001 16:42:10;   115
06.06.2001 05:28:35;   116
16.07.2001 06:33:40;   112
31.08.2001 06:21:20;   112
04.09.2001 15:20:05;   118
21.10.2001 05:25:20;   114
07.11.2001 00:10:10;   114
20.12.2001 06:09:00;   113
19.01.2002 15:34:30;   113
20.02.2002 03:45:55;   116
19.03.2002 04:28:05;   115
20.04.2002 06:09:30;   107
24.05.2002 05:27:40;   106
06.06.2002 19:02:05;   104
13.07.2002 20:08:10;   103
04.08.2002 00:32:40;   103
20.09.2002 00:54:05;   108
12.10.2002 06:03:00;   114
29.11.2002 04:18:00;   116
16.12.2002 03:14:40;   113
20.01.2003 17:24:05;   119
25.02.2003 03:44:15;   110
01.03.2003 00:00:00;   115
30.04.2003 22:54:25;   110
09.05.2003 08:33:25;   108
30.06.2003 23:59:55;   104
15.07.2003 21:38:05;   101
29.08.2003 17:40:05;   103
10.09.2003 02:14:40;   105
03.10.2003 07:02:05;   107
29.11.2003 01:30:00;   108
06.12.2003 13:23:05;   107
06.01.2004 15:12:10;   109
01.02.2004 05:31:55;   114
06.03.2004 14:31:40;   110
23.04.2004 20:14:10;   117
12.05.2004 13:49:45;   111
30.06.2004 17:10:20;   111
09.07.2004 01:00:00;   108
20.08.2004 22:37:20;   105
21.09.2004 23:28:45;   107
31.10.2004 01:36:10;   109
04.11.2004 13:36:05;   109
16.12.2004 17:58:20;   108
16.01.2005 13:48:35;   110
11.02.2005 00:04:20;   113
14.03.2005 10:02:05;   110
17.04.2005 13:00:10;   114
30.05.2005 16:03:45;   111
25.06.2005 14:52:35;   104
31.07.2005 05:10:40;   102
03.08.2005 18:38:05;   101
10.09.2005 12:54:15;   109
30.10.2005 14:09:00;   105
16.11.2005 07:15:00;   104
02.12.2005 14:27:35;   106
10.01.2006 06:11:00;   107
11.02.2006 22:04:45;   107
07.03.2006 08:00:00;   110
24.04.2006 03:44:25;   114
25.05.2006 02:14:15;   109
22.06.2006 18:17:20;   105
25.07.2006 13:17:10;    98
01.08.2006 07:12:10;   102
18.09.2006 22:16:00;   103
21.10.2006 10:57:55;   100
01.11.2006 15:58:05;   103
28.12.2006 09:38:10;   101
01.01.2007 00:00:05;   103
26.02.2007 00:44:05;   107
18.03.2007 13:50:25;   112
25.04.2007 23:03:10;   113
28.05.2007 21:12:00;   104
20.06.2007 17:39:00;   101
02.07.2007 17:15:00;   101
29.08.2007 06:45:00;   100
30.09.2007 15:39:00;   101
17.10.2007 14:30:00;    97
03.11.2007 12:27:00;   106
30.12.2007 07:24:00;    99
03.01.2008 18:15:00;    99
17.02.2008 14:06:00;    98
10.03.2008 17:09:00;   105
21.04.2008 11:57:00;   106
31.05.2008 05:06:00;    99
25.06.2008 14:51:00;    98
06.07.2008 18:48:30;    98
31.08.2008 00:09:00;    99
06.09.2008 22:12:00;    97
29.10.2008 10:52:25;   100
10.11.2008 13:30:00;    97
15.12.2008 16:21:00;   102
31.01.2009 11:18:00;    99
02.02.2009 14:57:00;    97
22.03.2009 12:33:00;   115
29.04.2009 19:30:00;   106
19.05.2009 01:48:00;   101
14.06.2009 10:57:00;   104
23.07.2009 19:18:35;    95
02.08.2009 15:16:20;   102
30.09.2009 00:33:10;    97
08.10.2009 13:12:00;    96
02.11.2009 09:09:00;   100
18.12.2009 12:45:00;    99
17.01.2010 09:48:00;    95
01.02.2010 12:27:25;    96
14.03.2010 21:24:00;    99
29.04.2010 12:06:00;    97
01.05.2010 01:06:00;    98
29.06.2010 09:45:00;   100
03.07.2010 09:45:00;    99
22.08.2010 18:36:00;   100
24.09.2010 17:24:00;    97
12.10.2010 14:24:00;    95
28.11.2010 09:00:00;    94
01.12.2010 20:00:00;    96
05.01.2011 05:59:05;    96
26.02.2011 13:38:55;    97
08.03.2011 15:30:00;    94
23.04.2011 21:54:00;    92
10.05.2011 22:33:00;    91
16.06.2011 18:30:00;    94
13.07.2011 17:54:00;    94
26.08.2011 14:39:00;    95
18.09.2011 07:42:00;    94
06.10.2011 21:29:45;    87
30.11.2011 14:51:00;    94
02.12.2011 06:21:00;    92
30.01.2012 12:10:35;   103
23.02.2012 10:13:25;    98
28.03.2012 20:33:00;   101
30.04.2012 20:27:55;   100
21.05.2012 17:39:00;    95
30.06.2012 08:12:00;    99
28.07.2012 15:45:15;    94
22.08.2012 17:00:00;    95
11.09.2012 06:48:00;    98
06.10.2012 15:45:00;   100
30.11.2012 19:15:00;   102
07.12.2012 21:55:10;   101
27.01.2013 13:42:05;   107
26.02.2013 14:45:00;   107
28.03.2013 10:00:00;   107
30.04.2013 20:15:00;   107
21.05.2013 18:15:00;   104
22.06.2013 20:30:00;   107
29.07.2013 13:00:00;   101
07.08.2013 09:45:00;   100
10.09.2013 14:15:00;   101
09.10.2013 12:46:20;   100
02.11.2013 18:41:45;   104
29.12.2013 18:45:00;   102
02.01.2014 18:00:00;   101
28.02.2014 21:30:00;   104
15.03.2014 14:15:00;   101
29.04.2014 10:15:00;    99
02.05.2014 19:30:00;    99
28.06.2014 02:45:00;    97
07.07.2014 11:30:00;    97
27.08.2014 09:15:00;   101
30.09.2014 11:15:00;   104
11.10.2014 13:30:00;   100
28.11.2014 13:45:00;    97
03.12.2014 13:45:00;    97
01.01.2015 11:15:00;   100
08.02.2015 09:45:00;    98
20.03.2015 13:00:00;   101
27.04.2015 22:00:00;   101
13.05.2015 16:00:00;    98
08.06.2015 12:45:00;    99
23.07.2015 18:45:00;    93
12.08.2015 08:38:00;    91
02.09.2015 01:02:30;    91
04.10.2015 09:40:30;    92
11.11.2015 22:15:00;    93
30.12.2015 17:15:00;    95
04.01.2016 14:31:50;    95
20.02.2016 14:30:00;   103
31.03.2016 18:15:00;   100
06.04.2016 18:45:00;    96
01.05.2016 14:00:00;   101
25.06.2016 22:44:55;   101
11.07.2016 16:15:00;    98
29.08.2016 13:45:00;    99
04.09.2016 23:15:00;    98
01.10.2016 21:45:00;   101
30.11.2016 12:00:00;   101
23.12.2016 13:45:00;    97
01.01.2017 13:53:50;    97
15.02.2017 13:00:00;   101
31.03.2017 13:30:00;   100
12.04.2017 15:30:00;    99
29.05.2017 18:15:00;    96
20.06.2017 15:30:00;    93
06.07.2017 21:15:00;    92
06.08.2017 00:00:00;    95
01.09.2017 00:00:00;    96
22.10.2017 17:15:00;    99
05.11.2017 15:00:00;   102
04.12.2017 08:45:00;   105
14.01.2018 17:00:00;   106
15.02.2018 11:00:00;   104
05.03.2018 09:00:00;   103
30.04.2018 08:15:00;    98
31.05.2018 14:45:00;    93
08.06.2018 18:30:00;    92
31.07.2018 15:45:00;    94
22.08.2018 18:15:00;    91
21.09.2018 15:30:00;    92
23.10.2018 20:15:00;    91
15.11.2018 21:00:00;    92
01.12.2018 00:00:00;    97
26.01.2019 11:00:00;   104
02.02.2019 15:15:00;   107
31.03.2019 14:30:00;   104
26.04.2019 21:00:00;    99
02.05.2019 21:45:00;   105
30.06.2019 22:00:00;    96
26.07.2019 16:30:00;    92
29.08.2019 17:00:00;    92
01.09.2019 16:15:00;    93
01.10.2019 04:00:00;    94
04.11.2019 22:45:00;    97
20.12.2019 17:30:00;    98
16.01.2020 23:15:00;   100
23.02.2020 21:15:00;   103
29.03.2020 14:45:00;   101
28.04.2020 17:00:00;    95
11.05.2020 09:30:00;    97
07.06.2020 14:30:00;    98
10.07.2020 19:00:00;   103
28.08.2020 17:00:00;   101
21.09.2020 10:15:00;   102
10.10.2020 14:30:00;   107
12.11.2020 14:15:00;   105
08.12.2020 13:45:00;   104
12.01.2021 12:15:00;   102
23.02.2021 19:30:00;   107
05.03.2021 01:45:00;   108
29.04.2021 22:15:00;   107
11.05.2021 14:30:00;   104
21.06.2021 14:30:00;   101
04.07.2021 22:15:00;   101
15.08.2021 00:00:00;   104
26.09.2021 12:30:00;   103
31.10.2021 16:15:00;   101
21.11.2021 01:15:00;   101
23.12.2021 13:00:00;   105
