Messstelle:                ;Haxenmühle
HZB-Nummer:                ;209445
HD-Nummer:                 ;no220
DBMS-Nummer:               ;3001160
Gewässer:                  ;Halbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;91,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1981              ;00396,08
   01.01.2014              ;00396,02
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1981              ;704691,00 - 322090,00
Exportzeitreihe:           ;(3001160,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1981 00:30,01.01.2022 00:00]
Werte:
08.06.2016 13:15:15;   120
10.07.2016 21:18:15;   127
26.08.2016 14:40:00;   122
05.09.2016 08:10:00;   118
03.10.2016 08:20:00;   117
02.11.2016 08:45:00;   123
24.12.2016 17:20:00;   121
26.01.2017 10:55:00;   118
01.02.2017 01:20:00;   123
08.03.2017 22:45:00;   130
06.04.2017 01:30:00;   129
31.05.2017 18:25:00;   128
30.06.2017 19:25:00;   124
23.07.2017 21:15:00;   120
26.08.2017 16:20:00;   119
14.09.2017 17:45:00;   117
16.10.2017 07:35:00;   117
10.11.2017 22:35:00;   125
02.12.2017 20:25:00;   124
16.01.2018 16:50:00;   131
28.02.2018 23:50:00;   126
05.03.2018 10:45:00;   122
22.04.2018 09:15:00;   126
27.05.2018 09:45:00;   121
26.06.2018 00:20:00;   119
31.07.2018 19:20:00;   119
30.08.2018 16:55:00;   116
25.09.2018 09:55:00;   114
17.10.2018 07:15:00;   114
05.11.2018 13:25:00;   115
02.12.2018 17:35:00;   118
31.01.2019 22:05:00;   126
01.02.2019 00:00:00;   126
31.03.2019 18:15:00;   131
19.04.2019 21:25:00;   122
02.05.2019 21:25:00;   128
29.06.2019 08:41:50;   120
31.07.2019 19:19:55;   119
12.08.2019 14:25:00;   114
30.09.2019 15:00:00;   114
23.10.2019 15:05:00;   111
27.11.2019 10:45:00;   113
16.12.2019 16:30:00;   112
19.01.2020 21:30:00;   115
09.02.2020 11:55:00;   125
