Messstelle:                ;Urlaken
HZB-Nummer:                ;212597
HD-Nummer:                 ;00322
DBMS-Nummer:               ;2001025
Gewässer:                  ;Seebach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;160,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00499,00
   01.01.1979              ;00499,74
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1962              ;492078,00 - 166455,00
   01.01.1976              ;492078,00 - 166455,00
Exportzeitreihe:           ;(2001025,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 02:00,01.01.2022 00:00]
Werte:
26.12.2003 16:58:40;    87
31.01.2004 23:59:55;    82
23.02.2004 16:20:35;    81
01.03.2004 00:00:00;    84
01.04.2004 00:00:00;    92
22.05.2004 02:31:00;    89
11.06.2004 08:03:20;    85
31.07.2004 23:59:55;    94
24.08.2004 03:06:00;    86
14.09.2004 11:34:40;    84
09.10.2004 07:00:15;    83
30.11.2004 23:59:55;    89
23.12.2004 08:00:00;    84
31.01.2005 23:59:55;    78
28.02.2005 23:59:55;    76
11.03.2005 15:31:15;    75
01.04.2005 00:00:00;    78
31.05.2005 23:59:55;    83
26.06.2005 20:28:25;    75
01.07.2005 19:50:30;    77
03.08.2005 20:59:40;    80
17.09.2005 00:09:05;    91
03.10.2005 01:00:35;    95
23.11.2005 09:40:00;    88
31.12.2005 23:59:55;    85
31.01.2006 23:59:55;    81
19.02.2006 17:39:05;    80
01.03.2006 00:00:00;    84
01.04.2006 00:00:00;    99
28.05.2006 15:55:00;   100
30.06.2006 23:59:55;    86
31.07.2006 23:59:55;    76
01.08.2006 12:02:05;    76
30.09.2006 23:59:55;    75
31.10.2006 23:59:55;    74
20.11.2006 06:49:00;    70
01.12.2006 00:00:00;    71
23.01.2007 14:13:30;    71
09.02.2007 01:56:35;    70
21.03.2007 22:18:55;    71
01.04.2007 00:00:00;    75
26.05.2007 22:03:35;    71
30.06.2007 23:59:55;    70
03.07.2007 13:58:00;    68
07.08.2007 21:23:05;    71
04.09.2007 03:21:15;    74
01.10.2007 13:28:55;    79
18.11.2007 03:45:00;    77
30.12.2007 12:00:00;    74
01.01.2008 00:15:00;    74
29.02.2008 11:15:00;    73
01.03.2008 08:45:00;    72
11.04.2008 06:15:00;    74
15.05.2008 17:45:00;    75
01.06.2008 00:00:00;    80
06.07.2008 18:45:00;    79
01.08.2008 03:45:00;    80
30.09.2008 16:15:00;    78
25.10.2008 20:00:00;    77
01.11.2008 00:00:00;    82
01.12.2008 00:00:00;    84
20.01.2009 10:30:00;    88
26.02.2009 17:26:30;    86
01.03.2009 00:00:00;    86
01.04.2009 00:00:00;    94
26.05.2009 17:15:00;    89
15.06.2009 16:30:00;    84
31.07.2009 04:00:00;    86
02.08.2009 13:45:00;    85
03.09.2009 06:00:00;    89
31.10.2009 07:45:00;    88
30.11.2009 01:00:00;    86
21.12.2009 21:00:00;    87
28.01.2010 16:30:00;    87
18.02.2010 11:00:00;    85
01.03.2010 00:00:00;    87
26.04.2010 05:30:00;    84
01.05.2010 00:30:00;    84
13.06.2010 21:00:00;    80
26.07.2010 03:30:00;    74
03.08.2010 09:00:00;    75
07.09.2010 02:30:00;    83
24.10.2010 18:30:00;    88
04.11.2010 03:30:00;    91
22.12.2010 19:00:00;   100
31.01.2011 15:15:00;    94
27.02.2011 07:30:00;    87
12.03.2011 16:00:00;    84
24.04.2011 15:30:00;    80
12.05.2011 20:45:00;    78
02.06.2011 20:30:00;    79
15.07.2011 05:45:00;    79
27.08.2011 17:45:00;    79
11.09.2011 18:30:00;    78
06.10.2011 15:00:00;    81
26.11.2011 23:30:00;    80
05.12.2011 05:00:00;    79
30.01.2012 05:45:00;    75
01.02.2012 00:00:00;    75
17.03.2012 13:45:00;    74
02.04.2012 21:15:00;    73
30.05.2012 21:00:00;    77
08.06.2012 18:00:00;    75
08.07.2012 17:00:00;    73
30.08.2012 05:00:00;    86
10.09.2012 22:00:00;    87
12.10.2012 18:45:00;    86
01.11.2012 00:00:00;    96
25.12.2012 13:00:00;    98
30.01.2013 12:15:00;    90
19.02.2013 08:00:00;    89
06.03.2013 00:45:00;    87
01.04.2013 00:00:00;   102
29.05.2013 22:45:00;    98
30.06.2013 21:15:00;    89
29.07.2013 14:30:00;    78
08.08.2013 15:00:00;    76
08.09.2013 02:30:00;    80
01.10.2013 00:00:00;    82
01.11.2013 06:45:00;    85
23.12.2013 22:00:00;    91
03.01.2014 21:30:00;    94
07.02.2014 09:00:00;    99
18.03.2014 16:15:00;   111
29.04.2014 20:45:00;   100
31.05.2014 21:45:00;    89
22.06.2014 05:00:00;    82
26.07.2014 14:15:00;    83
01.08.2014 00:15:00;    83
01.09.2014 00:00:00;    90
28.10.2014 19:45:00;    87
03.11.2014 17:00:00;    86
30.12.2014 19:00:00;    96
28.01.2015 20:00:00;    91
20.02.2015 15:15:00;    87
17.03.2015 20:30:00;    84
26.04.2015 22:45:00;    79
05.05.2015 23:45:00;    78
13.06.2015 12:15:00;    80
08.07.2015 17:30:00;    82
24.08.2015 16:45:00;    81
02.09.2015 17:00:00;    81
03.10.2015 22:30:00;    92
30.11.2015 15:45:00;    87
28.12.2015 18:30:00;    82
02.01.2016 22:15:00;    81
01.02.2016 04:00:00;    83
28.03.2016 22:30:00;    89
29.04.2016 09:45:00;    87
01.05.2016 00:00:00;    88
04.06.2016 07:00:00;    87
12.07.2016 20:45:00;    88
05.08.2016 13:15:00;    90
29.09.2016 21:45:00;    93
18.10.2016 06:15:00;    88
04.11.2016 21:00:00;    89
28.12.2016 03:00:00;    84
26.01.2017 08:30:00;    81
01.02.2017 00:00:00;    81
31.03.2017 08:30:00;    83
21.04.2017 06:00:00;    79
31.05.2017 03:15:00;    81
23.06.2017 05:15:00;    76
21.07.2017 01:30:00;    74
02.08.2017 03:45:00;    76
01.09.2017 01:00:00;    78
29.10.2017 15:00:00;    87
