Messstelle:                ;Woppendorf
HZB-Nummer:                ;210237
HD-Nummer:                 ;
DBMS-Nummer:               ;1001021
Gewässer:                  ;Pinka
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;416,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00242,00
   01.01.1984              ;00242,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1939              ;754550,00 - 229400,00
   03.02.2012              ;754510,00 - 229404,00
   05.10.2018              ;754500,17 - 229420,08
Exportzeitreihe:           ;(1001021,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
14.11.1976 00:00:00;   267
15.11.1976 00:00:00;   265
16.11.1976 00:00:00;   259
17.11.1976 00:00:00;   258
18.11.1976 00:00:00;   262
19.11.1976 00:00:00;   265
20.11.1976 00:00:00;   269
21.11.1976 00:00:00;   267
22.11.1976 00:00:00;   264
23.11.1976 00:00:00;   263
24.11.1976 00:00:00;   263
25.11.1976 00:00:00;   262
26.11.1976 00:00:00;   266
27.11.1976 00:00:00;   267
28.11.1976 00:00:00;   264
29.11.1976 00:00:00;   264
30.11.1976 00:00:00;   270
01.12.1976 00:00:00;   278
02.12.1976 00:00:00;   357
03.12.1976 00:00:00;   385
04.12.1976 00:00:00;   328
05.12.1976 00:00:00;   313
06.12.1976 00:00:00;   299
07.12.1976 00:00:00;   292
08.12.1976 00:00:00;   287
09.12.1976 00:00:00;   285
10.12.1976 00:00:00;   287
11.12.1976 00:00:00;   291
12.12.1976 00:00:00;   295
13.12.1976 00:00:00;   292
14.12.1976 00:00:00;   284
15.12.1976 00:00:00;   281
16.12.1976 00:00:00;   276
17.12.1976 00:00:00;   274
18.12.1976 00:00:00;   272
19.12.1976 00:00:00;   271
