Messstelle:                ;Dobersberg (B30)
HZB-Nummer:                ;214460
HD-Nummer:                 ;no609
DBMS-Nummer:               ;3003163
Gewässer:                  ;Deutsche Thaya
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;597,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   26.03.2015              ;00445,91
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   26.03.2015              ;676429,40 - 420009,30
Exportzeitreihe:           ;(3003163,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[30.03.2015 08:45,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
14.12.2016 00:00:00;   196
15.12.2016 00:00:00;   191
16.12.2016 00:00:00;   189
17.12.2016 00:00:00;   187
18.12.2016 00:00:00;   186
19.12.2016 00:00:00;   186
20.12.2016 00:00:00;   185
21.12.2016 00:00:00;   183
22.12.2016 00:00:00;   182
23.12.2016 00:00:00;   181
24.12.2016 00:00:00;   183
25.12.2016 00:00:00;   188
26.12.2016 00:00:00;   197
27.12.2016 00:00:00;   197
28.12.2016 00:00:00;   210
29.12.2016 00:00:00;   241
30.12.2016 00:00:00;   213
31.12.2016 00:00:00;   193
01.01.2017 00:00:00;   183
02.01.2017 00:00:00;   182
03.01.2017 00:00:00;   182
04.01.2017 00:00:00;   188
05.01.2017 00:00:00;   191
06.01.2017 00:00:00;   188
07.01.2017 00:00:00;   188
08.01.2017 00:00:00;   191
09.01.2017 00:00:00;   190
10.01.2017 00:00:00;   189
11.01.2017 00:00:00;   188
12.01.2017 00:00:00;   190
13.01.2017 00:00:00;   191
14.01.2017 00:00:00;   189
15.01.2017 00:00:00;   187
16.01.2017 00:00:00;   185
17.01.2017 00:00:00;   185
18.01.2017 00:00:00;   185
19.01.2017 00:00:00;   184
20.01.2017 00:00:00;   184
21.01.2017 00:00:00;   184
22.01.2017 00:00:00;   185
23.01.2017 00:00:00;   185
24.01.2017 00:00:00;   186
25.01.2017 00:00:00;   185
26.01.2017 00:00:00;   185
27.01.2017 00:00:00;   185
28.01.2017 00:00:00;   185
29.01.2017 00:00:00;   184
30.01.2017 00:00:00;   184
31.01.2017 00:00:00;   184
01.02.2017 00:00:00;   184
02.02.2017 00:00:00;   185
03.02.2017 00:00:00;   185
04.02.2017 00:00:00;   186
05.02.2017 00:00:00;   189
06.02.2017 00:00:00;   191
07.02.2017 00:00:00;   191
08.02.2017 00:00:00;   188
09.02.2017 00:00:00;   185
10.02.2017 00:00:00;   183
11.02.2017 00:00:00;   183
12.02.2017 00:00:00;   182
13.02.2017 00:00:00;   181
14.02.2017 00:00:00;   181
15.02.2017 00:00:00;   181
16.02.2017 00:00:00;   182
17.02.2017 00:00:00;   186
18.02.2017 00:00:00;   195
19.02.2017 00:00:00;   207
20.02.2017 00:00:00;   209
21.02.2017 00:00:00;   288
22.02.2017 00:00:00;   337
23.02.2017 00:00:00;   287
24.02.2017 00:00:00;   255
25.02.2017 00:00:00;   232
26.02.2017 00:00:00;   221
27.02.2017 00:00:00;   216
28.02.2017 00:00:00;   212
01.03.2017 00:00:00;   210
02.03.2017 00:00:00;   207
03.03.2017 00:00:00;   204
04.03.2017 00:00:00;   202
05.03.2017 00:00:00;   201
06.03.2017 00:00:00;   199
07.03.2017 00:00:00;   200
08.03.2017 00:00:00;   200
09.03.2017 00:00:00;   203
10.03.2017 00:00:00;   220
11.03.2017 00:00:00;   230
12.03.2017 00:00:00;   216
13.03.2017 00:00:00;   209
14.03.2017 00:00:00;   206
15.03.2017 00:00:00;   204
16.03.2017 00:00:00;   203
17.03.2017 00:00:00;   204
18.03.2017 00:00:00;   212
19.03.2017 00:00:00;   289
20.03.2017 00:00:00;   282
21.03.2017 00:00:00;   245
22.03.2017 00:00:00;   232
23.03.2017 00:00:00;   225
24.03.2017 00:00:00;   220
25.03.2017 00:00:00;   217
26.03.2017 00:00:00;   213
27.03.2017 00:00:00;   208
28.03.2017 00:00:00;   206
29.03.2017 00:00:00;   204
30.03.2017 00:00:00;   201
31.03.2017 00:00:00;   198
01.04.2017 00:00:00;   198
02.04.2017 00:00:00;   195
03.04.2017 00:00:00;   194
04.04.2017 00:00:00;   201
05.04.2017 00:00:00;   203
06.04.2017 00:00:00;   199
07.04.2017 00:00:00;   197
08.04.2017 00:00:00;   198
09.04.2017 00:00:00;   196
10.04.2017 00:00:00;   194
11.04.2017 00:00:00;   193
12.04.2017 00:00:00;   191
13.04.2017 00:00:00;   191
14.04.2017 00:00:00;   191
15.04.2017 00:00:00;   189
16.04.2017 00:00:00;   188
17.04.2017 00:00:00;   189
18.04.2017 00:00:00;   199
19.04.2017 00:00:00;   198
20.04.2017 00:00:00;   194
21.04.2017 00:00:00;   191
22.04.2017 00:00:00;   190
23.04.2017 00:00:00;   192
24.04.2017 00:00:00;   189
25.04.2017 00:00:00;   187
26.04.2017 00:00:00;   190
27.04.2017 00:00:00;   197
28.04.2017 00:00:00;   240
29.04.2017 00:00:00;   260
30.04.2017 00:00:00;   233
01.05.2017 00:00:00;   217
02.05.2017 00:00:00;   209
03.05.2017 00:00:00;   204
04.05.2017 00:00:00;   201
05.05.2017 00:00:00;   198
06.05.2017 00:00:00;   197
07.05.2017 00:00:00;   195
08.05.2017 00:00:00;   193
09.05.2017 00:00:00;   192
10.05.2017 00:00:00;   192
11.05.2017 00:00:00;   191
12.05.2017 00:00:00;   190
13.05.2017 00:00:00;   189
14.05.2017 00:00:00;   189
15.05.2017 00:00:00;   188
16.05.2017 00:00:00;   188
17.05.2017 00:00:00;   186
18.05.2017 00:00:00;   184
19.05.2017 00:00:00;   183
20.05.2017 00:00:00;   180
21.05.2017 00:00:00;   180
22.05.2017 00:00:00;   180
23.05.2017 00:00:00;   179
24.05.2017 00:00:00;   179
25.05.2017 00:00:00;   178
26.05.2017 00:00:00;   178
27.05.2017 00:00:00;   177
28.05.2017 00:00:00;   176
