Messstelle:                ;EW-Gmünd
19.05.1965 00:00:00; Lücke
20.05.1965 00:00:00; Lücke
21.05.1965 00:00:00; Lücke
22.05.1965 00:00:00; Lücke
23.05.1965 00:00:00; Lücke
24.05.1965 00:00:00; Lücke
25.05.1965 00:00:00; Lücke
26.05.1965 00:00:00; Lücke
27.05.1965 00:00:00; Lücke
28.05.1965 00:00:00; Lücke
29.05.1965 00:00:00; Lücke
30.05.1965 00:00:00; Lücke
31.05.1965 00:00:00; Lücke
01.06.1965 00:00:00; Lücke
02.06.1965 00:00:00; Lücke
03.06.1965 00:00:00; Lücke
04.06.1965 00:00:00; Lücke
05.06.1965 00:00:00; Lücke
06.06.1965 00:00:00; Lücke
07.06.1965 00:00:00; Lücke
08.06.1965 00:00:00; Lücke
09.06.1965 00:00:00; Lücke
10.06.1965 00:00:00; Lücke
11.06.1965 00:00:00; Lücke
12.06.1965 00:00:00; Lücke
13.06.1965 00:00:00; Lücke
14.06.1965 00:00:00; Lücke
15.06.1965 00:00:00; Lücke
16.06.1965 00:00:00; Lücke
17.06.1965 00:00:00; Lücke
18.06.1965 00:00:00; Lücke
19.06.1965 00:00:00; Lücke
20.06.1965 00:00:00; Lücke
21.06.1965 00:00:00; Lücke
22.06.1965 00:00:00; Lücke
23.06.1965 00:00:00; Lücke
24.06.1965 00:00:00; Lücke
25.06.1965 00:00:00; Lücke
26.06.1965 00:00:00; Lücke
27.06.1965 00:00:00; Lücke
28.06.1965 00:00:00; Lücke
29.06.1965 00:00:00; Lücke
30.06.1965 00:00:00; Lücke
01.07.1965 00:00:00; Lücke
02.07.1965 00:00:00; Lücke
03.07.1965 00:00:00; Lücke
04.07.1965 00:00:00; Lücke
05.07.1965 00:00:00; Lücke
06.07.1965 00:00:00; Lücke
07.07.1965 00:00:00; Lücke
08.07.1965 00:00:00; Lücke
09.07.1965 00:00:00; Lücke
10.07.1965 00:00:00; Lücke
11.07.1965 00:00:00; Lücke
12.07.1965 00:00:00; Lücke
13.07.1965 00:00:00; Lücke
14.07.1965 00:00:00; Lücke
15.07.1965 00:00:00; Lücke
16.07.1965 00:00:00; Lücke
17.07.1965 00:00:00; Lücke
18.07.1965 00:00:00; Lücke
19.07.1965 00:00:00; Lücke
20.07.1965 00:00:00; Lücke
21.07.1965 00:00:00; Lücke
22.07.1965 00:00:00; Lücke
23.07.1965 00:00:00; Lücke
24.07.1965 00:00:00; Lücke
25.07.1965 00:00:00; Lücke
26.07.1965 00:00:00; Lücke
27.07.1965 00:00:00; Lücke
28.07.1965 00:00:00; Lücke
29.07.1965 00:00:00; Lücke
30.07.1965 00:00:00; Lücke
31.07.1965 00:00:00; Lücke
01.08.1965 00:00:00; Lücke
02.08.1965 00:00:00; Lücke
03.08.1965 00:00:00; Lücke
04.08.1965 00:00:00; Lücke
05.08.1965 00:00:00; Lücke
06.08.1965 00:00:00; Lücke
07.08.1965 00:00:00; Lücke
08.08.1965 00:00:00; Lücke
09.08.1965 00:00:00; Lücke
10.08.1965 00:00:00; Lücke
11.08.1965 00:00:00; Lücke
12.08.1965 00:00:00; Lücke
13.08.1965 00:00:00; Lücke
14.08.1965 00:00:00; Lücke
15.08.1965 00:00:00; Lücke
16.08.1965 00:00:00; Lücke
17.08.1965 00:00:00; Lücke
18.08.1965 00:00:00; Lücke
19.08.1965 00:00:00; Lücke
20.08.1965 00:00:00; Lücke
21.08.1965 00:00:00; Lücke
22.08.1965 00:00:00; Lücke
23.08.1965 00:00:00; Lücke
24.08.1965 00:00:00; Lücke
25.08.1965 00:00:00; Lücke
26.08.1965 00:00:00; Lücke
27.08.1965 00:00:00; Lücke
28.08.1965 00:00:00; Lücke
29.08.1965 00:00:00; Lücke
30.08.1965 00:00:00; Lücke
31.08.1965 00:00:00; Lücke
01.09.1965 00:00:00; Lücke
02.09.1965 00:00:00; Lücke
03.09.1965 00:00:00; Lücke
04.09.1965 00:00:00; Lücke
05.09.1965 00:00:00; Lücke
06.09.1965 00:00:00; Lücke
07.09.1965 00:00:00; Lücke
08.09.1965 00:00:00; Lücke
09.09.1965 00:00:00; Lücke
10.09.1965 00:00:00; Lücke
11.09.1965 00:00:00; Lücke
12.09.1965 00:00:00; Lücke
13.09.1965 00:00:00; Lücke
14.09.1965 00:00:00; Lücke
15.09.1965 00:00:00; Lücke
16.09.1965 00:00:00; Lücke
17.09.1965 00:00:00; Lücke
18.09.1965 00:00:00; Lücke
19.09.1965 00:00:00; Lücke
20.09.1965 00:00:00; Lücke
21.09.1965 00:00:00; Lücke
22.09.1965 00:00:00; Lücke
23.09.1965 00:00:00; Lücke
24.09.1965 00:00:00; Lücke
25.09.1965 00:00:00; Lücke
26.09.1965 00:00:00; Lücke
27.09.1965 00:00:00; Lücke
28.09.1965 00:00:00; Lücke
29.09.1965 00:00:00; Lücke
30.09.1965 00:00:00; Lücke
01.10.1965 00:00:00; Lücke
02.10.1965 00:00:00; Lücke
03.10.1965 00:00:00; Lücke
04.10.1965 00:00:00; Lücke
05.10.1965 00:00:00; Lücke
06.10.1965 00:00:00; Lücke
07.10.1965 00:00:00; Lücke
08.10.1965 00:00:00; Lücke
09.10.1965 00:00:00; Lücke
10.10.1965 00:00:00; Lücke
11.10.1965 00:00:00; Lücke
12.10.1965 00:00:00; Lücke
13.10.1965 00:00:00; Lücke
14.10.1965 00:00:00; Lücke
15.10.1965 00:00:00; Lücke
16.10.1965 00:00:00; Lücke
17.10.1965 00:00:00; Lücke
18.10.1965 00:00:00; Lücke
19.10.1965 00:00:00; Lücke
20.10.1965 00:00:00; Lücke
21.10.1965 00:00:00; Lücke
22.10.1965 00:00:00; Lücke
23.10.1965 00:00:00; Lücke
24.10.1965 00:00:00; Lücke
25.10.1965 00:00:00; Lücke
26.10.1965 00:00:00; Lücke
27.10.1965 00:00:00; Lücke
28.10.1965 00:00:00; Lücke
29.10.1965 00:00:00; Lücke
30.10.1965 00:00:00; Lücke
31.10.1965 00:00:00; Lücke
01.11.1965 00:00:00; Lücke
02.11.1965 00:00:00; Lücke
03.11.1965 00:00:00; Lücke
04.11.1965 00:00:00; Lücke
05.11.1965 00:00:00; Lücke
06.11.1965 00:00:00; Lücke
07.11.1965 00:00:00; Lücke
08.11.1965 00:00:00; Lücke
09.11.1965 00:00:00; Lücke
10.11.1965 00:00:00; Lücke
11.11.1965 00:00:00; Lücke
12.11.1965 00:00:00; Lücke
13.11.1965 00:00:00; Lücke
14.11.1965 00:00:00; Lücke
15.11.1965 00:00:00; Lücke
16.11.1965 00:00:00; Lücke
17.11.1965 00:00:00; Lücke
18.11.1965 00:00:00; Lücke
19.11.1965 00:00:00; Lücke
20.11.1965 00:00:00; Lücke
21.11.1965 00:00:00; Lücke
22.11.1965 00:00:00; Lücke
23.11.1965 00:00:00; Lücke
24.11.1965 00:00:00; Lücke
25.11.1965 00:00:00; Lücke
26.11.1965 00:00:00; Lücke
27.11.1965 00:00:00; Lücke
28.11.1965 00:00:00; Lücke
29.11.1965 00:00:00; Lücke
30.11.1965 00:00:00; Lücke
01.12.1965 00:00:00; Lücke
02.12.1965 00:00:00; Lücke
03.12.1965 00:00:00; Lücke
04.12.1965 00:00:00; Lücke
05.12.1965 00:00:00; Lücke
06.12.1965 00:00:00; Lücke
07.12.1965 00:00:00; Lücke
08.12.1965 00:00:00; Lücke
09.12.1965 00:00:00; Lücke
10.12.1965 00:00:00; Lücke
11.12.1965 00:00:00; Lücke
12.12.1965 00:00:00; Lücke
13.12.1965 00:00:00; Lücke
14.12.1965 00:00:00; Lücke
15.12.1965 00:00:00; Lücke
16.12.1965 00:00:00; Lücke
17.12.1965 00:00:00; Lücke
18.12.1965 00:00:00; Lücke
19.12.1965 00:00:00; Lücke
20.12.1965 00:00:00; Lücke
21.12.1965 00:00:00; Lücke
22.12.1965 00:00:00; Lücke
23.12.1965 00:00:00; Lücke
24.12.1965 00:00:00; Lücke
25.12.1965 00:00:00; Lücke
26.12.1965 00:00:00; Lücke
27.12.1965 00:00:00; Lücke
28.12.1965 00:00:00; Lücke
29.12.1965 00:00:00; Lücke
30.12.1965 00:00:00; Lücke
31.12.1965 00:00:00; Lücke
01.01.1966 00:00:00;   131
02.01.1966 00:00:00;   131
03.01.1966 00:00:00;   131
04.01.1966 00:00:00;   131
05.01.1966 00:00:00;   130
06.01.1966 00:00:00;   130
07.01.1966 00:00:00;   130
08.01.1966 00:00:00;   130
09.01.1966 00:00:00;   130
10.01.1966 00:00:00;   130
11.01.1966 00:00:00;   130
12.01.1966 00:00:00;   129
13.01.1966 00:00:00;   128
14.01.1966 00:00:00;   128
15.01.1966 00:00:00;   126
16.01.1966 00:00:00;   128
17.01.1966 00:00:00;   129
18.01.1966 00:00:00;   130
19.01.1966 00:00:00;   130
20.01.1966 00:00:00;   130
21.01.1966 00:00:00;   131
22.01.1966 00:00:00;   130
23.01.1966 00:00:00;   130
24.01.1966 00:00:00;   129
25.01.1966 00:00:00;   129
26.01.1966 00:00:00;   129
27.01.1966 00:00:00;   129
28.01.1966 00:00:00;   129
29.01.1966 00:00:00;   128
30.01.1966 00:00:00;   128
31.01.1966 00:00:00;   129
01.02.1966 00:00:00;   129
02.02.1966 00:00:00;   128
03.02.1966 00:00:00;   128
04.02.1966 00:00:00;   129
05.02.1966 00:00:00;   129
06.02.1966 00:00:00;   129
07.02.1966 00:00:00;   129
08.02.1966 00:00:00;   129
09.02.1966 00:00:00;   130
10.02.1966 00:00:00;   129
11.02.1966 00:00:00;   129
12.02.1966 00:00:00;   129
13.02.1966 00:00:00;   129
14.02.1966 00:00:00;   130
15.02.1966 00:00:00;   129
16.02.1966 00:00:00;   128
17.02.1966 00:00:00;   129
18.02.1966 00:00:00;   129
19.02.1966 00:00:00;   129
20.02.1966 00:00:00;   129
21.02.1966 00:00:00;   135
22.02.1966 00:00:00;   142
23.02.1966 00:00:00;   136
24.02.1966 00:00:00;   133
25.02.1966 00:00:00;   132
26.02.1966 00:00:00;   132
27.02.1966 00:00:00;   132
28.02.1966 00:00:00;   137
01.03.1966 00:00:00;   137
02.03.1966 00:00:00;   134
03.03.1966 00:00:00;   133
04.03.1966 00:00:00;   132
05.03.1966 00:00:00;   131
06.03.1966 00:00:00;   130
07.03.1966 00:00:00;   134
08.03.1966 00:00:00;   134
09.03.1966 00:00:00;   136
10.03.1966 00:00:00;   136
11.03.1966 00:00:00;   134
12.03.1966 00:00:00;   135
13.03.1966 00:00:00;   133
14.03.1966 00:00:00;   131
15.03.1966 00:00:00;   130
16.03.1966 00:00:00;   130
17.03.1966 00:00:00;   131
18.03.1966 00:00:00;   131
19.03.1966 00:00:00;   131
20.03.1966 00:00:00;   132
21.03.1966 00:00:00;   133
22.03.1966 00:00:00;   135
23.03.1966 00:00:00;   136
24.03.1966 00:00:00;   136
25.03.1966 00:00:00;   134
26.03.1966 00:00:00;   133
27.03.1966 00:00:00;   134
28.03.1966 00:00:00;   134
29.03.1966 00:00:00;   133
30.03.1966 00:00:00;   133
31.03.1966 00:00:00;   133
01.04.1966 00:00:00;   134
02.04.1966 00:00:00;   136
03.04.1966 00:00:00;   138
04.04.1966 00:00:00;   139
05.04.1966 00:00:00;   143
06.04.1966 00:00:00;   145
07.04.1966 00:00:00;   148
08.04.1966 00:00:00;   150
09.04.1966 00:00:00;   156
10.04.1966 00:00:00;   159
11.04.1966 00:00:00;   158
12.04.1966 00:00:00;   158
13.04.1966 00:00:00;   156
14.04.1966 00:00:00;   159
15.04.1966 00:00:00;   160
16.04.1966 00:00:00;   157
17.04.1966 00:00:00;   158
18.04.1966 00:00:00;   156
19.04.1966 00:00:00;   160
20.04.1966 00:00:00;   162
21.04.1966 00:00:00;   160
22.04.1966 00:00:00;   155
23.04.1966 00:00:00;   154
24.04.1966 00:00:00;   160
25.04.1966 00:00:00;   162
26.04.1966 00:00:00;   164
27.04.1966 00:00:00;   169
28.04.1966 00:00:00;   173
29.04.1966 00:00:00;   173
30.04.1966 00:00:00;   173
01.05.1966 00:00:00;   174
02.05.1966 00:00:00;   176
03.05.1966 00:00:00;   179
04.05.1966 00:00:00;   182
05.05.1966 00:00:00;   180
06.05.1966 00:00:00;   181
07.05.1966 00:00:00;   176
08.05.1966 00:00:00;   169
09.05.1966 00:00:00;   165
10.05.1966 00:00:00;   163
11.05.1966 00:00:00;   162
12.05.1966 00:00:00;   165
13.05.1966 00:00:00;   170
14.05.1966 00:00:00;   175
15.05.1966 00:00:00;   177
16.05.1966 00:00:00;   180
17.05.1966 00:00:00;   181
18.05.1966 00:00:00;   182
19.05.1966 00:00:00;   187
20.05.1966 00:00:00;   176
21.05.1966 00:00:00;   175
22.05.1966 00:00:00;   181
23.05.1966 00:00:00;   188
24.05.1966 00:00:00;   188
25.05.1966 00:00:00;   186
26.05.1966 00:00:00;   182
27.05.1966 00:00:00;   178
28.05.1966 00:00:00;   173
29.05.1966 00:00:00;   169
30.05.1966 00:00:00;   166
31.05.1966 00:00:00;   165
01.06.1966 00:00:00;   165
02.06.1966 00:00:00;   164
03.06.1966 00:00:00;   165
04.06.1966 00:00:00;   168
05.06.1966 00:00:00;   173
06.06.1966 00:00:00;   175
07.06.1966 00:00:00;   182
08.06.1966 00:00:00;   186
09.06.1966 00:00:00;   185
10.06.1966 00:00:00;   187
11.06.1966 00:00:00;   192
12.06.1966 00:00:00;   194
13.06.1966 00:00:00;   196
14.06.1966 00:00:00;   192
15.06.1966 00:00:00;   189
16.06.1966 00:00:00;   188
17.06.1966 00:00:00;   187
18.06.1966 00:00:00;   189
19.06.1966 00:00:00;   196
20.06.1966 00:00:00;   182
21.06.1966 00:00:00;   176
22.06.1966 00:00:00;   173
23.06.1966 00:00:00;   175
24.06.1966 00:00:00;   193
25.06.1966 00:00:00;   189
26.06.1966 00:00:00;   175
27.06.1966 00:00:00;   182
28.06.1966 00:00:00;   184
29.06.1966 00:00:00;   176
30.06.1966 00:00:00;   168
01.07.1966 00:00:00;   165
02.07.1966 00:00:00;   165
03.07.1966 00:00:00;   165
04.07.1966 00:00:00;   167
05.07.1966 00:00:00;   172
06.07.1966 00:00:00;   184
07.07.1966 00:00:00;   194
08.07.1966 00:00:00;   173
09.07.1966 00:00:00;   166
10.07.1966 00:00:00;   163
11.07.1966 00:00:00;   164
12.07.1966 00:00:00;   165
13.07.1966 00:00:00;   165
14.07.1966 00:00:00;   171
15.07.1966 00:00:00;   188
16.07.1966 00:00:00;   168
17.07.1966 00:00:00;   175
18.07.1966 00:00:00;   181
19.07.1966 00:00:00;   170
20.07.1966 00:00:00;   172
21.07.1966 00:00:00;   167
22.07.1966 00:00:00;   165
23.07.1966 00:00:00;   198
24.07.1966 00:00:00;   187
25.07.1966 00:00:00;   172
26.07.1966 00:00:00;   171
27.07.1966 00:00:00;   171
28.07.1966 00:00:00;   183
29.07.1966 00:00:00;   174
30.07.1966 00:00:00;   167
31.07.1966 00:00:00;   166
01.08.1966 00:00:00;   162
02.08.1966 00:00:00;   161
03.08.1966 00:00:00;   160
04.08.1966 00:00:00;   166
05.08.1966 00:00:00;   166
06.08.1966 00:00:00;   171
07.08.1966 00:00:00;   163
08.08.1966 00:00:00;   163
09.08.1966 00:00:00;   182
10.08.1966 00:00:00;   166
11.08.1966 00:00:00;   160
12.08.1966 00:00:00;   157
13.08.1966 00:00:00;   157
14.08.1966 00:00:00;   156
15.08.1966 00:00:00;   171
16.08.1966 00:00:00;   188
17.08.1966 00:00:00;   195
18.08.1966 00:00:00;   212
19.08.1966 00:00:00;   185
20.08.1966 00:00:00;   174
21.08.1966 00:00:00;   173
22.08.1966 00:00:00;   171
23.08.1966 00:00:00;   168
24.08.1966 00:00:00;   164
25.08.1966 00:00:00;   172
26.08.1966 00:00:00;   166
27.08.1966 00:00:00;   164
28.08.1966 00:00:00;   161
29.08.1966 00:00:00;   159
30.08.1966 00:00:00;   158
31.08.1966 00:00:00;   169
01.09.1966 00:00:00;   162
02.09.1966 00:00:00;   161
03.09.1966 00:00:00;   162
04.09.1966 00:00:00;   159
05.09.1966 00:00:00;   157
06.09.1966 00:00:00;   154
07.09.1966 00:00:00;   153
08.09.1966 00:00:00;   153
09.09.1966 00:00:00;   152
10.09.1966 00:00:00;   152
11.09.1966 00:00:00;   151
12.09.1966 00:00:00;   149
13.09.1966 00:00:00;   151
14.09.1966 00:00:00;   154
15.09.1966 00:00:00;   147
16.09.1966 00:00:00;   168
17.09.1966 00:00:00;   160
18.09.1966 00:00:00;   157
19.09.1966 00:00:00;   155
20.09.1966 00:00:00;   151
21.09.1966 00:00:00;   147
22.09.1966 00:00:00;   145
23.09.1966 00:00:00;   144
24.09.1966 00:00:00;   143
25.09.1966 00:00:00;   141
26.09.1966 00:00:00;   139
27.09.1966 00:00:00;   142
28.09.1966 00:00:00;   139
29.09.1966 00:00:00;   138
30.09.1966 00:00:00;   138
01.10.1966 00:00:00;   139
02.10.1966 00:00:00;   137
03.10.1966 00:00:00;   137
04.10.1966 00:00:00;   137
05.10.1966 00:00:00;   138
06.10.1966 00:00:00;   137
07.10.1966 00:00:00;   137
08.10.1966 00:00:00;   134
09.10.1966 00:00:00;   133
10.10.1966 00:00:00;   133
11.10.1966 00:00:00;   132
12.10.1966 00:00:00;   133
13.10.1966 00:00:00;   137
14.10.1966 00:00:00;   133
15.10.1966 00:00:00;   132
16.10.1966 00:00:00;   132
17.10.1966 00:00:00;   135
18.10.1966 00:00:00;   138
19.10.1966 00:00:00;   135
20.10.1966 00:00:00;   139
21.10.1966 00:00:00;   135
22.10.1966 00:00:00;   135
23.10.1966 00:00:00;   133
24.10.1966 00:00:00;   132
25.10.1966 00:00:00;   131
26.10.1966 00:00:00;   132
27.10.1966 00:00:00;   138
28.10.1966 00:00:00;   134
29.10.1966 00:00:00;   133
30.10.1966 00:00:00;   132
31.10.1966 00:00:00;   131
01.11.1966 00:00:00;   130
02.11.1966 00:00:00;   129
03.11.1966 00:00:00;   129
04.11.1966 00:00:00;   162
05.11.1966 00:00:00;   146
06.11.1966 00:00:00;   141
07.11.1966 00:00:00;   140
08.11.1966 00:00:00;   138
09.11.1966 00:00:00;   140
10.11.1966 00:00:00;   140
11.11.1966 00:00:00;   138
12.11.1966 00:00:00;   136
13.11.1966 00:00:00;   134
14.11.1966 00:00:00;   133
15.11.1966 00:00:00;   130
16.11.1966 00:00:00;   129
17.11.1966 00:00:00;   132
18.11.1966 00:00:00;   132
19.11.1966 00:00:00;   132
20.11.1966 00:00:00;   131
21.11.1966 00:00:00;   131
22.11.1966 00:00:00;   131
23.11.1966 00:00:00;   130
24.11.1966 00:00:00;   130
25.11.1966 00:00:00;   129
26.11.1966 00:00:00;   129
27.11.1966 00:00:00;   129
28.11.1966 00:00:00;   129
29.11.1966 00:00:00;   129
30.11.1966 00:00:00;   129
01.12.1966 00:00:00;   129
02.12.1966 00:00:00;   131
03.12.1966 00:00:00;   131
04.12.1966 00:00:00;   130
05.12.1966 00:00:00;   130
06.12.1966 00:00:00;   128
07.12.1966 00:00:00;   128
08.12.1966 00:00:00;   128
09.12.1966 00:00:00;   128
10.12.1966 00:00:00;   126
11.12.1966 00:00:00;   128
12.12.1966 00:00:00;   126
13.12.1966 00:00:00;   127
14.12.1966 00:00:00;   123
15.12.1966 00:00:00;   119
16.12.1966 00:00:00;   126
17.12.1966 00:00:00;   128
18.12.1966 00:00:00;   125
19.12.1966 00:00:00;   127
20.12.1966 00:00:00;   127
21.12.1966 00:00:00;   126
22.12.1966 00:00:00;   125
23.12.1966 00:00:00;   125
24.12.1966 00:00:00;   125
25.12.1966 00:00:00;   125
26.12.1966 00:00:00;   125
27.12.1966 00:00:00;   126
28.12.1966 00:00:00;   125
29.12.1966 00:00:00;   124
30.12.1966 00:00:00;   125
31.12.1966 00:00:00; Lücke
01.01.1967 00:00:00; Lücke
02.01.1967 00:00:00; Lücke
03.01.1967 00:00:00; Lücke
04.01.1967 00:00:00; Lücke
05.01.1967 00:00:00; Lücke
06.01.1967 00:00:00; Lücke
07.01.1967 00:00:00; Lücke
08.01.1967 00:00:00; Lücke
09.01.1967 00:00:00; Lücke
10.01.1967 00:00:00; Lücke
11.01.1967 00:00:00; Lücke
12.01.1967 00:00:00; Lücke
13.01.1967 00:00:00; Lücke
14.01.1967 00:00:00; Lücke
15.01.1967 00:00:00; Lücke
16.01.1967 00:00:00; Lücke
17.01.1967 00:00:00; Lücke
18.01.1967 00:00:00; Lücke
19.01.1967 00:00:00; Lücke
20.01.1967 00:00:00; Lücke
21.01.1967 00:00:00; Lücke
22.01.1967 00:00:00; Lücke
23.01.1967 00:00:00; Lücke
24.01.1967 00:00:00; Lücke
25.01.1967 00:00:00; Lücke
26.01.1967 00:00:00; Lücke
27.01.1967 00:00:00; Lücke
28.01.1967 00:00:00; Lücke
29.01.1967 00:00:00; Lücke
30.01.1967 00:00:00; Lücke
31.01.1967 00:00:00; Lücke
01.02.1967 00:00:00; Lücke
02.02.1967 00:00:00; Lücke
03.02.1967 00:00:00; Lücke
04.02.1967 00:00:00; Lücke
05.02.1967 00:00:00; Lücke
06.02.1967 00:00:00; Lücke
07.02.1967 00:00:00; Lücke
08.02.1967 00:00:00; Lücke
09.02.1967 00:00:00; Lücke
10.02.1967 00:00:00; Lücke
11.02.1967 00:00:00; Lücke
12.02.1967 00:00:00; Lücke
13.02.1967 00:00:00; Lücke
14.02.1967 00:00:00; Lücke
15.02.1967 00:00:00; Lücke
16.02.1967 00:00:00; Lücke
17.02.1967 00:00:00; Lücke
18.02.1967 00:00:00; Lücke
19.02.1967 00:00:00; Lücke
20.02.1967 00:00:00; Lücke
21.02.1967 00:00:00; Lücke
22.02.1967 00:00:00; Lücke
23.02.1967 00:00:00; Lücke
24.02.1967 00:00:00; Lücke
25.02.1967 00:00:00; Lücke
26.02.1967 00:00:00; Lücke
27.02.1967 00:00:00; Lücke
28.02.1967 00:00:00; Lücke
01.03.1967 00:00:00; Lücke
02.03.1967 00:00:00; Lücke
03.03.1967 00:00:00; Lücke
04.03.1967 00:00:00; Lücke
05.03.1967 00:00:00; Lücke
06.03.1967 00:00:00; Lücke
07.03.1967 00:00:00; Lücke
