Messstelle:                ;Böckstein (Summenpegel)
HZB-Nummer:                ;203851
HD-Nummer:                 ;
DBMS-Nummer:               ;5001080
Gewässer:                  ;Nassfelder Ache m.Werksk.
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Salzburg AG für Energie, Verkehr und Telekommunikation
orogr.Einzugsgebiet [km²]: ;57,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1982              ;01115,02
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1982              ;433400,00 - 216520,00
Exportzeitreihe:           ;(5001080,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1982 02:00,01.01.2022 00:00]
Werte:
26.02.2012 00:00:00; 0,914
03.03.2012 14:30:00;  1,06
09.04.2012 07:15:00; 0,547
20.05.2012 11:30:00;  2,16
02.06.2012 08:45:00;  5,35
29.07.2012 03:30:00;  4,29
18.08.2012 23:59:55; 0,965
23.09.2012 10:00:00;  1,40
26.10.2012 23:59:55; 0,650
04.11.2012 00:00:00; 0,984
16.12.2012 23:59:55; 0,536
05.01.2013 18:30:00; 0,335
10.02.2013 23:59:55; 0,581
17.03.2013 23:59:55; 0,626
04.04.2013 12:15:00; 0,335
26.05.2013 07:45:00;  2,73
01.06.2013 08:15:00;  3,58
28.07.2013 23:59:55;  2,95
31.08.2013 23:59:55; 0,644
08.09.2013 00:00:00; 0,558
06.10.2013 21:15:00; 0,661
24.11.2013 11:30:00; 0,335
21.12.2013 00:00:00; 0,286
25.01.2014 14:30:00; 0,199
01.02.2014 00:00:00; 0,587
26.03.2014 10:30:00; 0,501
02.04.2014 06:30:00; 0,624
18.05.2014 03:00:00;  2,93
07.06.2014 09:00:00;  1,22
13.07.2014 00:00:00;  2,90
24.08.2014 05:00:00;  1,22
28.09.2014 05:30:00; 0,756
22.10.2014 00:00:00; 0,386
01.11.2014 03:45:00; 0,440
20.12.2014 21:30:00; 0,814
01.01.2015 00:15:00; 0,321
01.02.2015 05:15:00; 0,321
03.03.2015 08:30:00; 0,248
08.04.2015 10:00:00; 0,366
01.05.2015 10:30:00; 0,816
29.06.2015 09:15:00;  1,11
19.07.2015 09:45:00; 0,681
30.08.2015 09:15:00; 0,498
01.09.2015 00:00:00; 0,498
31.10.2015 23:59:55; 0,520
25.11.2015 12:15:00; 0,241
15.12.2015 14:30:00; 0,184
21.01.2016 00:45:00; 0,127
01.02.2016 00:00:00; 0,246
17.03.2016 10:45:00; 0,338
29.04.2016 03:45:00; 0,910
01.05.2016 23:15:00;  1,01
24.06.2016 06:45:00;  1,56
23.07.2016 01:15:00; 0,830
27.08.2016 22:15:00; 0,583
30.09.2016 02:45:00; 0,410
