Messstelle:                ;Töbring
HZB-Nummer:                ;213116
HD-Nummer:                 ;00337
DBMS-Nummer:               ;2001067
Gewässer:                  ;Treffner Bach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;140,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1973              ;00514,52
   02.10.1996              ;00512,52
   07.07.2009              ;00512,55
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1974              ;490813,00 - 168328,00
   01.01.1976              ;490771,00 - 168405,00
   01.01.1997              ;490813,00 - 168328,00
Exportzeitreihe:           ;(2001067,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1974 12:00,01.01.2022 00:00]
Werte:
05.02.1989 13:00:00; 0,363
01.03.1989 12:45:00; 0,401
12.04.1989 12:45:00; 0,534
10.05.1989 18:45:00; 0,831
22.06.1989 09:45:00; 0,981
01.07.1989 15:45:00;  1,25
23.08.1989 02:15:00; 0,763
26.09.1989 18:00:00; 0,700
10.10.1989 13:30:00; 0,831
28.11.1989 14:30:00; 0,700
04.12.1989 14:45:00; 0,442
02.01.1990 10:00:00; 0,486
03.02.1990 13:30:00; 0,486
03.03.1990 08:45:00; 0,442
06.04.1990 12:15:00; 0,787
20.05.1990 18:45:00; 0,337
01.06.1990 23:30:00; 0,470
01.07.1990 14:30:00; 0,377
30.08.1990 20:15:00; 0,377
06.09.1990 13:15:00; 0,337
04.10.1990 20:30:00; 0,337
14.11.1990 18:30:00; 0,904
14.12.1990 10:45:00; 0,968
16.01.1991 03:45:00; 0,652
27.02.1991 17:00:00; 0,968
07.03.1991 08:30:00;  1,12
27.04.1991 10:15:00;  1,12
29.05.1991 18:15:00;  1,62
20.06.1991 16:15:00; 0,968
07.07.1991 14:45:00; 0,652
11.08.1991 15:30:00; 0,707
13.09.1991 17:15:00; 0,652
13.10.1991 09:15:00; 0,552
08.11.1991 16:15:00;  1,12
21.12.1991 15:30:00; 0,707
30.01.1992 14:30:00; 0,600
04.02.1992 11:30:00; 0,767
05.03.1992 12:45:00; 0,707
15.04.1992 16:15:00;  1,62
26.05.1992 15:30:00;  1,74
08.06.1992 08:45:00; 0,652
04.07.1992 21:00:00; 0,552
01.08.1992 11:30:00; 0,552
14.09.1992 22:15:00; 0,506
01.10.1992 13:15:00; 0,600
03.11.1992 11:15:00; 0,830
01.12.1992 17:45:00;  1,30
22.01.1993 13:45:00; 0,707
24.02.1993 07:30:00; 0,552
10.03.1993 14:15:00; 0,552
15.04.1993 08:00:00; 0,506
05.05.1993 15:45:00; 0,506
17.06.1993 14:45:00; 0,322
01.07.1993 20:00:00; 0,424
05.08.1993 12:00:00; 0,506
02.09.1993 07:00:00; 0,552
04.10.1993 06:00:00;  1,12
18.11.1993 10:15:00;  1,49
02.12.1993 11:00:00;  1,35
