Messstelle:                ;Obermühl
HZB-Nummer:                ;204883
HD-Nummer:                 ;3170
DBMS-Nummer:               ;4001037
Gewässer:                  ;Kleine Mühl
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;200,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1958              ;00284,08
   17.06.2013              ;00283,50
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1928              ;493630,00 - 368955,00
   27.03.2020              ;493631,54 - 368960,62
Exportzeitreihe:           ;(4001037,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 08:00,01.01.2022 00:00]
Werte:
21.06.1995 18:15:00; 0,601
24.07.1995 20:45:00; 0,601
18.08.1995 16:00:00; 0,474
29.09.1995 15:30:00; 0,658
19.10.1995 10:15:00; 0,367
03.11.1995 08:00:00; 0,812
11.12.1995 12:15:00; 0,530
17.01.1996 16:30:00; 0,706
14.02.1996 03:15:00; 0,706
05.03.1996 00:00:00; 0,706
23.04.1996 13:45:00;  1,44
06.05.1996 07:45:00;  1,28
10.06.1996 23:45:00; 0,706
05.07.1996 21:00:00; 0,425
22.08.1996 14:45:00; 0,469
30.09.1996 08:30:00; 0,519
10.10.1996 21:15:00; 0,493
07.11.1996 02:00:00; 0,758
11.12.1996 07:15:00; 0,758
22.01.1997 04:16:25; 0,198
02.02.1997 09:23:45; 0,680
15.03.1997 01:15:20;  3,18
26.04.1997 09:05:00;  2,27
15.05.1997 09:10:00;  1,28
26.06.1997 19:15:00; 0,854
05.07.1997 17:40:00; 0,567
08.08.1997 15:10:00; 0,340
24.09.1997 00:05:00; 0,155
09.10.1997 11:35:00; 0,395
12.11.1997 08:15:00; 0,504
08.12.1997 08:25:00;  1,21
05.01.1998 02:55:00; 0,605
09.02.1998 11:35:00; 0,451
05.03.1998 14:05:00; 0,806
28.04.1998 08:05:00;  1,07
29.05.1998 16:35:00; 0,344
26.06.1998 23:05:00; 0,418
02.07.1998 09:45:00; 0,418
02.08.1998 01:50:00; 0,284
02.09.1998 23:05:00; 0,205
07.10.1998 08:00:00; 0,523
30.11.1998 13:20:00;  2,90
03.12.1998 15:20:00; 0,605
06.01.1999 11:55:00;  1,16
04.02.1999 07:40:00;  2,59
31.03.1999 13:20:00;  5,29
25.04.1999 16:30:00; 0,784
02.05.1999 14:35:00; 0,736
02.06.1999 22:55:00; 0,610
03.07.1999 10:40:00; 0,692
25.08.1999 23:25:00; 0,534
10.09.1999 14:20:00; 0,201
20.10.1999 14:20:00; 0,201
05.11.1999 14:35:00; 0,445
18.12.1999 13:15:00; 0,610
12.01.2000 07:20:00;  1,18
24.02.2000 11:21:50;  7,47
03.03.2000 12:26:40;  7,18
30.04.2000 17:40:00; 0,650
27.05.2000 15:40:00; 0,445
24.06.2000 04:50:00; 0,784
24.07.2000 23:00:00; 0,392
22.08.2000 16:00:00; 0,610
16.09.2000 16:05:00; 0,392
21.10.2000 10:45:00; 0,667
11.11.2000 08:15:00; 0,850
28.12.2000 16:20:00; 0,538
18.01.2001 16:25:00; 0,363
03.02.2001 10:01:15; 0,790
03.03.2001 01:25:00;  1,90
10.04.2001 10:44:15;  3,32
24.05.2001 02:00:00;  1,02
16.06.2001 07:00:00; 0,902
07.07.2001 16:35:00; 0,436
17.08.2001 21:41:00; 0,562
04.09.2001 10:04:40;  1,87
15.10.2001 06:15:20;  1,09
05.11.2001 11:37:40; 0,615
24.12.2001 01:45:00;  1,34
18.01.2002 11:45:00;  3,03
18.02.2002 13:30:00;  6,37
19.03.2002 04:00:00;  4,73
19.04.2002 18:00:00;  1,74
08.05.2002 08:15:00;  1,12
24.06.2002 05:45:00; 0,437
10.07.2002 19:15:00; 0,270
01.08.2002 11:30:00; 0,658
23.09.2002 13:45:00; 0,232
03.10.2002 16:00:00; 0,462
28.11.2002 11:15:00;  2,85
05.12.2002 08:15:00; 0,717
31.01.2003 21:00:00;  1,30
28.02.2003 04:15:00; 0,347
02.03.2003 16:30:00; 0,985
29.04.2003 10:45:00;  1,50
31.05.2003 19:00:00; 0,567
05.06.2003 12:45:00; 0,582
22.07.2003 14:15:00; 0,273
22.08.2003 11:45:00; 0,264
04.09.2003 09:15:00; 0,220
13.10.2003 10:15:00; 0,325
27.11.2003 21:30:00; 0,286
08.12.2003 13:00:00; 0,201
06.01.2004 12:15:00; 0,402
26.02.2004 07:15:00;  1,54
06.03.2004 06:15:00; 0,907
29.04.2004 05:15:00;  1,71
12.05.2004 20:15:00; 0,644
29.06.2004 07:00:00; 0,671
19.07.2004 07:00:00; 0,367
17.08.2004 20:30:00; 0,355
20.09.2004 13:45:00; 0,413
07.10.2004 06:15:00; 0,621
06.11.2004 21:15:00; 0,706
20.12.2004 10:15:00; 0,825
19.01.2005 14:15:00;  1,05
02.02.2005 18:00:05; 0,684
11.03.2005 04:45:00; 0,785
07.04.2005 10:00:00;  1,43
30.05.2005 18:45:00; 0,728
14.06.2005 20:30:20; 0,617
14.07.2005 13:15:00; 0,511
29.08.2005 06:30:00; 0,214
21.09.2005 06:00:00; 0,237
23.10.2005 18:30:00; 0,329
22.11.2005 14:45:05; 0,200
06.12.2005 15:45:00; 0,126
04.01.2006 05:00:00; 0,222
27.02.2006 11:15:00; 0,255
06.03.2006 03:45:00; 0,437
25.04.2006 09:30:00;  3,82
25.05.2006 04:45:00; 0,502
22.06.2006 00:15:00; 0,720
02.07.2006 05:00:00; 0,312
09.08.2006 15:00:00; 0,587
04.09.2006 08:45:00; 0,226
05.10.2006 13:15:00; 0,271
04.11.2006 22:15:00; 0,302
20.12.2006 12:15:00; 0,262
17.01.2007 13:15:00; 0,851
26.02.2007 08:30:00;  1,48
27.03.2007 07:00:00; 0,788
17.04.2007 08:30:00; 0,783
24.05.2007 13:07:00; 0,587
18.06.2007 07:45:00; 0,353
09.07.2007 11:00:00; 0,293
28.08.2007 06:00:00; 0,234
26.09.2007 07:15:00; 0,364
17.10.2007 09:15:00; 0,650
01.11.2007 13:15:00;  1,03
29.12.2007 05:45:00;  3,63
14.01.2008 11:45:00; 0,619
26.02.2008 11:15:00; 0,654
11.03.2008 17:45:00;  3,90
21.04.2008 06:15:00; 0,218
07.05.2008 23:45:00; 0,619
30.06.2008 15:00:00; 0,248
24.07.2008 14:30:00; 0,339
31.08.2008 12:30:00; 0,325
21.09.2008 13:15:00; 0,264
09.10.2008 14:45:00; 0,313
28.11.2008 17:00:00; 0,286
28.12.2008 06:30:00; 0,500
19.01.2009 14:45:00; 0,456
02.02.2009 07:30:00; 0,490
22.03.2009 10:00:00;  3,55
22.04.2009 15:45:00; 0,240
26.05.2009 21:00:00; 0,437
03.06.2009 11:00:00; 0,361
23.07.2009 20:00:00; 0,377
10.08.2009 13:45:00; 0,432
22.09.2009 12:30:00; 0,444
30.10.2009 10:00:00; 0,229
03.11.2009 07:30:00; 0,307
16.12.2009 11:30:00; 0,454
16.01.2010 08:30:00; 0,295
17.02.2010 05:15:00; 0,490
08.03.2010 02:30:00; 0,684
14.04.2010 05:15:00; 0,593
26.05.2010 19:00:00; 0,381
15.06.2010 11:30:00; 0,322
23.07.2010 00:15:00; 0,304
27.08.2010 02:45:00; 0,420
28.09.2010 06:30:00; 0,333
05.10.2010 12:15:00; 0,345
03.11.2010 09:15:00; 0,925
03.12.2010 03:15:00; 0,979
06.01.2011 05:45:00; 0,930
24.02.2011 02:45:00;  1,16
30.03.2011 10:15:00; 0,821
30.04.2011 20:00:00;  1,01
31.05.2011 21:45:00; 0,337
22.06.2011 17:45:00; 0,403
13.07.2011 18:15:00; 0,288
24.08.2011 23:00:00; 0,542
04.09.2011 14:15:00; 0,592
19.10.2011 11:15:00; 0,262
15.11.2011 14:15:00; 0,339
23.12.2011 10:15:00; 0,804
18.01.2012 08:30:00;  2,93
13.02.2012 15:00:00; 0,603
23.03.2012 11:00:00; 0,851
27.04.2012 09:00:00; 0,728
30.05.2012 15:45:00; 0,288
08.06.2012 17:15:00; 0,496
03.07.2012 11:30:00; 0,333
16.08.2012 16:00:00; 0,302
10.09.2012 00:00:00; 0,304
04.10.2012 10:15:00; 0,357
26.11.2012 18:00:00; 0,314
08.12.2012 04:15:00; 0,629
23.01.2013 10:30:00; 0,571
25.02.2013 10:45:00;  2,21
04.03.2013 09:45:00; 0,496
30.04.2013 09:45:00; 0,276
08.05.2013 08:59:00; 0,247
23.06.2013 04:15:00;  2,56
19.07.2013 14:30:00; 0,217
04.08.2013 02:00:00; 0,369
26.09.2013 08:30:00; 0,425
23.10.2013 15:30:00; 0,481
11.11.2013 10:00:00; 0,413
06.12.2013 03:00:00; 0,254
21.01.2014 14:30:00; 0,148
28.02.2014 06:00:00; 0,834
04.03.2014 16:00:00; 0,520
20.04.2014 12:30:00; 0,079
15.05.2014 09:30:00; 0,085
20.06.2014 15:15:00; 0,353
28.07.2014 13:30:00; 0,158
