Messstelle:                ;Löbenau
HZB-Nummer:                ;203737
HD-Nummer:                 ;
DBMS-Nummer:               ;5001068
Gewässer:                  ;Taurach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;86,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00835,80
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1908              ;461290,00 - 247850,00
Exportzeitreihe:           ;(5001068,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1951 12:00,01.01.2022 00:00]
Werte:
19.07.1976 12:00:00;  3,19
30.08.1976 12:00:00;  4,03
29.09.1976 10:00:00;  3,86
30.10.1976 10:00:00;  3,04
28.11.1976 12:00:00;  2,74
11.12.1976 12:00:00;  2,60
07.01.1977 12:00:00;  2,46
02.02.1977 12:00:00;  2,46
01.03.1977 00:00:00;  2,74
05.04.1977 10:00:00;  3,52
10.05.1977 10:00:00;  5,85
25.06.1977 10:00:00;  4,60
05.07.1977 10:00:00;  4,03
28.08.1977 08:00:00;  3,68
28.09.1977 08:00:00;  3,19
25.10.1977 10:00:00;  2,89
20.11.1977 12:00:00;  2,74
31.12.1977 23:59:55;  2,60
22.01.1978 12:00:00;  2,46
01.02.1978 00:00:00;  2,46
25.03.1978 12:00:00;  2,46
01.04.1978 00:00:00;  2,89
14.05.1978 08:00:00;  4,40
16.06.1978 10:00:00;  5,20
01.07.1978 00:00:00;  5,20
27.08.1978 12:00:00;  4,03
03.09.1978 10:00:00;  4,03
20.10.1978 10:00:00;  4,22
26.11.1978 10:00:00;  3,19
21.12.1978 12:00:00;  3,04
31.01.1979 23:59:55;  2,74
24.02.1979 12:00:00;  2,60
01.03.1979 00:00:00;  2,60
01.04.1979 02:00:00;  3,04
06.05.1979 08:00:00;  3,35
09.06.1979 08:00:00;  5,63
28.07.1979 08:00:00;  4,99
31.08.1979 23:59:55;  4,78
19.09.1979 18:00:00;  3,52
26.10.1979 10:00:00;  3,35
04.11.1979 12:00:00;  3,19
26.12.1979 12:00:00;  3,35
31.01.1980 08:00:00;  2,60
