Messstelle:                ;Spering
HZB-Nummer:                ;206524
HD-Nummer:                 ;8530
DBMS-Nummer:               ;4001193
Gewässer:                  ;Vorderer Rettenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;15
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1980              ;00513,95
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1980              ;514775,00 - 294130,00
   01.01.2018              ;514751,10 - 294100,17
Exportzeitreihe:           ;(4001193,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1980 01:00,01.01.2022 00:00]
Werte:
10.10.2013 14:00:00; 0,096
03.11.2013 08:15:00; 0,119
01.12.2013 11:45:00; 0,179
29.01.2014 11:55:00; 0,078
24.02.2014 09:50:00; 0,124
07.03.2014 07:20:00; 0,104
17.04.2014 14:55:00; 0,268
09.05.2014 15:30:00; 0,447
18.06.2014 18:30:00; 0,109
20.07.2014 14:25:00; 0,148
11.08.2014 12:10:00; 0,306
30.09.2014 23:20:00; 0,377
17.10.2014 00:00:00; 0,155
30.11.2014 20:35:00; 0,132
11.12.2014 23:15:00; 0,089
28.01.2015 09:40:00; 0,112
11.02.2015 02:40:00; 0,070
08.03.2015 11:40:00; 0,154
08.04.2015 05:30:00; 0,220
18.05.2015 13:55:00; 0,601
15.06.2015 10:05:00; 0,158
25.07.2015 09:34:00; 0,124
16.08.2015 04:09:30; 0,029
19.09.2015 19:00:00; 0,023
04.10.2015 17:15:00; 0,029
20.11.2015 01:15:00; 0,009
31.12.2015 21:15:00; 0,054
07.01.2016 14:45:00; 0,033
20.02.2016 17:15:00; 0,066
16.03.2016 15:00:00; 0,146
28.04.2016 17:00:00; 0,300
30.05.2016 23:15:00; 0,734
26.06.2016 23:15:00; 0,304
11.07.2016 23:15:00; 0,217
29.08.2016 11:30:00; 0,169
04.09.2016 14:00:00; 0,110
02.10.2016 15:15:00; 0,105
30.11.2016 23:30:00; 0,097
08.12.2016 20:15:00; 0,061
19.01.2017 18:15:00; 0,074
10.02.2017 15:45:00; 0,214
08.03.2017 14:30:00; 0,263
21.04.2017 11:45:00; 0,322
30.05.2017 13:45:00; 0,326
22.06.2017 13:45:00; 0,071
09.07.2017 13:45:00; 0,092
04.08.2017 20:00:00; 0,190
30.09.2017 21:30:00; 0,047
03.10.2017 10:00:00; 0,034
28.11.2017 14:00:00; 0,190
10.12.2017 15:30:00; 0,011
16.01.2018 13:15:00; 0,103
28.02.2018 14:15:00; 0,076
02.03.2018 14:00:00; 0,011
02.04.2018 15:00:00; 0,399
31.05.2018 23:00:00; 0,092
12.06.2018 13:15:00; 0,061
22.07.2018 05:00:00; 0,075
24.08.2018 17:45:00; 0,027
21.09.2018 16:30:00; 0,029
23.10.2018 18:45:00; 0,016
28.11.2018 18:45:00; 0,010
01.12.2018 00:30:00; 0,015
31.01.2019 15:15:00; 0,170
01.02.2019 11:30:00; 0,167
29.03.2019 12:45:00; 0,562
15.04.2019 15:00:00; 0,525
07.05.2019 15:00:00; 0,885
30.06.2019 14:15:00; 0,192
26.07.2019 15:30:00; 0,081
29.08.2019 15:45:00; 0,045
23.09.2019 21:15:00; 0,046
28.10.2019 19:00:00; 0,055
04.11.2019 00:00:00; 0,066
07.12.2019 20:30:00; 0,068
30.01.2020 15:30:00; 0,134
22.02.2020 16:30:00; 0,270
27.03.2020 15:45:00; 0,160
01.04.2020 13:45:00; 0,158
22.05.2020 13:00:00; 0,140
15.06.2020 06:00:00; 0,180
10.07.2020 14:15:00; 0,156
13.08.2020 12:45:00; 0,156
25.09.2020 04:00:00; 0,097
07.10.2020 04:45:00; 0,158
30.11.2020 22:00:00; 0,049
13.12.2020 17:15:00; 0,027
19.01.2021 08:15:00; 0,028
16.02.2021 13:15:00; 0,142
11.03.2021 16:00:00; 0,128
09.04.2021 13:15:00; 0,300
31.05.2021 18:00:00; 0,665
29.06.2021 15:45:00; 0,023
04.07.2021 16:45:00; 0,013
15.08.2021 18:30:00; 0,315
27.09.2021 01:45:00; 0,098
05.10.2021 13:00:00; 0,063
29.11.2021 18:30:00; 0,042
01.12.2021 00:45:00; 0,167
