Messstelle:                ;Aigen im Ennstal-Ketten
HZB-Nummer:                ;210773
HD-Nummer:                 ;ow1185
DBMS-Nummer:               ;6001028
Gewässer:                  ;Gulling
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;155,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00640,74
   01.01.1994              ;00640,42
   19.11.2003              ;00637,78
   20.01.2014              ;00643,84
   26.05.2021              ;00644,59
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1857              ;00000,00 - 00000,00
   01.01.1994              ;585442,30 - 267950,50
   19.11.2003              ;585469,40 - 268350,20
   20.01.2014              ;585535,50 - 267500,20
   01.01.2018              ;585538,90 - 267487,50
Exportzeitreihe:           ;(6001028,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
26.05.1998 11:08:30;  7,40
26.06.1998 02:59:10;  5,06
24.07.1998 20:04:05;  5,10
17.08.1998 08:11:25;  4,21
03.09.1998 16:26:40;  4,06
11.10.1998 15:49:45;  3,94
30.11.1998 23:59:55;  3,43
19.12.1998 08:42:05;  2,62
25.01.1999 15:45:00;  2,05
13.02.1999 14:16:20;  1,68
01.03.1999 15:54:15;  2,35
01.04.1999 08:51:45;  4,64
28.05.1999 10:32:30;  9,50
30.06.1999 12:53:00;  4,27
20.07.1999 17:20:15;  3,53
09.08.1999 19:49:25;  3,26
30.09.1999 17:35:40;  3,30
27.10.1999 15:54:35;  2,96
27.11.1999 07:20:40;  1,75
25.12.1999 05:07:50;  1,60
06.01.2000 10:18:40;  1,56
18.02.2000 21:10:55;  1,63
05.03.2000 20:18:35;  1,92
09.04.2000 14:14:50;  3,40
31.05.2000 21:56:50;  6,85
22.06.2000 05:09:55;  3,88
07.07.2000 16:40:40;  3,44
29.08.2000 08:44:35;  2,79
15.09.2000 15:56:35;  2,33
01.10.2000 14:27:55;  3,08
16.11.2000 07:55:50;  3,05
24.12.2000 06:07:25;  2,22
15.01.2001 22:24:25;  1,46
28.02.2001 14:54:45;  1,69
02.03.2001 07:51:40;  1,83
18.04.2001 04:38:40;  4,30
31.05.2001 03:52:30;  6,55
30.06.2001 23:52:35;  4,21
07.07.2001 07:48:55;  3,14
30.08.2001 09:20:05;  2,67
03.09.2001 17:56:15;  2,79
28.10.2001 08:49:10;  2,22
28.11.2001 19:43:30;  1,65
27.12.2001 09:37:05;  1,15
19.01.2002 13:38:45;  1,18
09.02.2002 10:06:50;  1,60
01.03.2002 09:19:50;  2,20
17.04.2002 11:48:50;  4,87
31.05.2002 23:36:30;  6,56
27.06.2002 18:29:15;  4,34
03.07.2002 17:43:10;  3,94
03.08.2002 18:12:15;  3,84
19.09.2002 19:31:20;  3,15
11.10.2002 01:10:15;  3,42
03.11.2002 04:34:10;  3,23
20.12.2002 08:25:40;  1,80
19.01.2003 09:06:40;  2,91
24.02.2003 08:13:25;  2,39
17.03.2003 10:05:00;  2,38
08.04.2003 17:57:15;  2,68
11.05.2003 20:08:50;  4,59
30.06.2003 19:59:55;  2,86
27.07.2003 19:45:50;  2,16
27.08.2003 02:58:55;  1,97
07.09.2003 17:58:05;  2,02
03.10.2003 21:29:40;  2,28
25.11.2003 17:38:10;  2,50
30.12.2003 19:23:45;  2,40
24.01.2004 15:33:20;  1,66
01.02.2004 11:22:05;  2,22
05.03.2004 13:02:45;  2,30
15.04.2004 08:31:55;  3,60
11.05.2004 10:17:10;  6,51
30.06.2004 23:59:55;  5,81
31.07.2004 18:06:35;  3,86
19.08.2004 18:09:35;  3,28
21.09.2004 22:47:10;  3,02
30.10.2004 15:55:30;  2,87
14.11.2004 14:07:35;  2,38
20.12.2004 19:26:00;  1,91
15.01.2005 12:56:00;  1,47
07.02.2005 15:41:00;  1,64
15.03.2005 16:11:00;  1,64
12.04.2005 19:11:00;  6,16
12.05.2005 12:26:00;  6,62
29.06.2005 12:11:00;  4,63
01.07.2005 08:26:00;  4,58
14.08.2005 15:41:00;  4,20
26.09.2005 15:26:00;  3,27
31.10.2005 21:56:00;  2,96
17.11.2005 17:26:00;  2,17
17.12.2005 04:11:00;  1,75
16.01.2006 15:56:00;  1,31
28.02.2006 11:45:00;  1,68
08.03.2006 09:00:00;  1,70
13.04.2006 09:45:00;  5,47
25.05.2006 09:15:00;  8,53
27.06.2006 17:00:00;  5,58
27.07.2006 16:00:00;  2,84
02.08.2006 21:45:00;  3,00
17.09.2006 22:00:00;  2,78
26.10.2006 13:02:00;  2,50
04.11.2006 22:32:00;  2,72
30.12.2006 15:02:00;  2,44
19.01.2007 01:32:00;  1,94
28.02.2007 04:51:00;  2,45
04.03.2007 18:21:00;  2,59
01.04.2007 13:36:00;  3,18
30.05.2007 06:12:30;  3,72
21.06.2007 20:27:45;  2,67
27.07.2007 20:36:00;  2,27
07.08.2007 10:45:40;  2,27
02.09.2007 08:08:00;  3,61
16.10.2007 13:47:00;  3,52
17.11.2007 11:02:00;  3,84
29.12.2007 13:47:00;  3,24
27.01.2008 08:17:00;  2,89
17.02.2008 08:11:35;  2,14
29.03.2008 15:20:15;  2,81
08.04.2008 08:48:15;  3,51
03.05.2008 11:48:10;  9,05
21.06.2008 11:38:25;  3,40
09.07.2008 09:57:10;  3,12
14.08.2008 17:37:00;  4,62
24.09.2008 08:22:00;  3,38
23.10.2008 14:59:00;  2,81
16.11.2008 12:14:00;  2,60
30.12.2008 08:11:00;  2,39
09.01.2009 11:56:00;  1,85
16.02.2009 10:26:00;  1,83
22.03.2009 08:41:00;  2,08
01.04.2009 00:00:00;  2,92
06.05.2009 03:56:00;  9,37
19.06.2009 11:56:00;  5,77
30.07.2009 16:11:00;  5,94
20.08.2009 19:41:00;  4,20
30.09.2009 16:41:00;  3,87
20.10.2009 09:41:00;  3,46
12.11.2009 14:11:00;  2,89
18.12.2009 07:41:00;  2,41
30.01.2010 15:26:00;  1,99
09.02.2010 07:26:00;  2,13
08.03.2010 12:33:00;  1,87
03.04.2010 08:33:00;  2,93
20.05.2010 22:18:00;  6,32
29.06.2010 19:33:00;  5,65
22.07.2010 20:18:00;  3,40
23.08.2010 18:33:00;  3,35
25.09.2010 00:03:00;  4,25
