Messstelle:                ;Loipersbach
HZB-Nummer:                ;208785
HD-Nummer:                 ;no705
DBMS-Nummer:               ;3001103
Gewässer:                  ;Schwarza
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;716,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00345,50
   01.01.1977              ;00346,76
   01.01.1984              ;00347,00
   01.01.2002              ;00344,46
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1968              ;734242,60 - 286864,50
Exportzeitreihe:           ;(3001103,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.12.1977 23:59:55,01.01.2022 00:00]
Werte:
01.09.1994 00:00:00; 0,000
01.10.1994 00:00:00; 0,000
01.11.1994 00:00:00; 0,000
01.12.1994 00:00:00; 0,000
02.01.1995 05:51:50; 0,000
02.02.1995 18:57:00; 0,000
01.03.1995 00:00:00; 0,000
01.04.1995 18:15:00;  2,47
30.05.1995 14:45:00; 0,768
04.06.1995 05:54:10; 0,000
12.07.1995 15:07:30; 0,000
01.08.1995 00:00:00; 0,000
10.09.1995 13:55:25; 0,000
01.10.1995 00:00:00; 0,000
01.11.1995 00:00:00; 0,000
03.12.1995 09:20:25; 0,000
02.01.1996 06:09:15; 0,000
01.02.1996 00:00:00; 0,000
01.03.1996 00:00:00; 0,000
04.04.1996 10:00:00; 0,362
31.05.1996 23:59:55;  11,3
19.06.1996 21:00:00;  2,06
31.07.1996 13:45:00; 0,123
01.08.1996 17:39:00; 0,000
01.09.1996 00:00:00; 0,000
15.10.1996 21:00:00;  2,61
29.11.1996 13:30:00; 0,919
12.12.1996 14:15:00; 0,000
01.01.1997 00:00:00; 0,000
01.02.1997 00:00:00; 0,000
01.03.1997 00:00:00; 0,000
24.04.1997 16:58:15;  6,29
31.05.1997 19:06:55;  5,15
11.06.1997 14:07:05;  1,23
04.07.1997 03:18:40; 0,977
31.08.1997 23:59:55; 0,518
20.09.1997 17:24:00; 0,000
01.10.1997 00:00:00; 0,000
01.11.1997 00:00:00; 0,000
01.12.1997 00:00:00; 0,000
01.01.1998 00:00:00; 0,000
01.02.1998 00:00:00; 0,000
01.03.1998 00:00:00; 0,000
20.04.1998 18:18:20; 0,241
15.05.1998 22:55:40; 0,000
10.06.1998 16:50:05; 0,000
01.07.1998 00:00:00; 0,000
10.08.1998 03:40:20; 0,000
01.09.1998 00:00:00; 0,000
05.10.1998 08:58:30; 0,000
06.11.1998 07:15:40; 0,000
03.12.1998 20:25:45; 0,000
18.01.1999 06:48:05; 0,000
01.02.1999 00:00:00; 0,000
22.03.1999 20:24:20;  1,93
15.04.1999 10:38:35; 0,874
31.05.1999 22:52:00;  4,08
15.06.1999 17:48:45; 0,075
05.07.1999 22:44:50; 0,000
05.08.1999 19:20:30;  1,21
29.09.1999 17:31:45; 0,369
18.10.1999 19:24:00; 0,000
01.11.1999 00:00:00; 0,000
01.12.1999 00:00:00; 0,000
01.01.2000 00:00:00; 0,000
23.02.2000 14:26:45; 0,469
07.03.2000 18:40:40;  2,48
13.04.2000 17:12:00;  10,3
31.05.2000 14:35:55; 0,219
06.06.2000 05:29:40; 0,000
01.07.2000 00:00:00; 0,000
01.08.2000 00:00:00; 0,000
01.09.2000 00:00:00; 0,000
01.10.2000 00:00:00; 0,000
01.11.2000 00:00:00; 0,000
01.12.2000 00:00:00; 0,000
01.01.2001 00:00:00; 0,000
01.02.2001 00:00:00; 0,000
01.03.2001 00:00:00; 0,000
07.04.2001 02:38:55; 0,000
14.05.2001 15:25:40; 0,000
01.06.2001 00:00:00; 0,000
01.07.2001 00:00:00; 0,000
01.08.2001 00:00:00; 0,000
01.09.2001 00:00:00; 0,000
01.10.2001 02:32:45; 0,000
01.11.2001 00:00:00; 0,000
01.12.2001 00:00:00; 0,000
01.01.2002 00:00:00; 0,000
22.02.2002 05:00:10; 0,000
03.03.2002 11:53:10; 0,000
24.04.2002 04:47:10; 0,956
24.05.2002 05:50:00; 0,000
01.06.2002 00:00:00; 0,000
01.07.2002 14:59:55; 0,000
03.08.2002 14:07:50; 0,000
08.09.2002 08:07:15; 0,000
06.10.2002 20:12:50; 0,000
29.11.2002 16:37:20;  1,79
16.12.2002 18:54:05; 0,857
19.01.2003 16:45:00; 0,918
13.02.2003 04:45:00; 0,000
01.03.2003 00:00:00; 0,000
09.04.2003 08:30:00; 0,000
05.05.2003 20:30:00; 0,000
01.06.2003 00:00:00; 0,000
01.07.2003 00:00:00; 0,000
